Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
25. La presión arterial aumenta si:,1.  Aumenta el gasto cardiaco.,2.  Hay vasodilatación periférica.,3.  Disminuye el retorno venoso.,4.  Disminuye la viscosidad sanguínea.,5.  Aumenta el tono vagal.,1,2010
26. El cierre de la válvula aórtica ocurre al comie nzo de la:,1.  Contracción isovolumétrica.,2.  Eyección rápida.,3.  Protodiástole.,4.  Relajación isovolumétrica.,5.  Fase de llenado rápido.,4,2010
27. La válvula mitral:,1.  Se cierra por la contracción de los músculos papilares.,2.  Se cierra al final de la contracción isovoluméy trica.,3.  Se cierra durante el complejo QRS.,4.  Evita el reflujo de la sangre hacia el ventrícuy lo.,5.  Presenta tres valvas.,3,2010
"28. El ventrículo izquierdo realiza mayor trabajo que el derecho, por tener:",1.  La contracción más lenta.,2.  La pared más delgada.,3.  El volumen sistólico mayor.,4.  La precarga mayor.,5.  La poscarga mayor.,5,2010
29. La  conexión  eléctrica  entre  aurículas y ven trículos se produce por:,1.  Las válvulas aurículoyventriculares.,2.  Uniones gap.,3.  El haz aurículoyventricular.,4.  El anillo fibroso.,5.  Las cuerdas tendinosas.,3,2010
30. La vasodilatación arteriolar aumenta la:,1.  Resistencia.,2.  Presión arterial.,3.  Presión sistólica.,4.  Reabsorción capilar.,5.  Presión hidrostática capilar.,5,2010
31. Las neuronas de los ganglios de la cadena paravertebral son:,1.  Sensitivas.,2.  Posganglionares parasimpáticas.,3.  Posganglionares simpáticas.,4.  Motoras alfa.,5.  Motoras gamma.,3,2010
32. El lóbulo floculonodular del cerebelo proyecta al núcleo vestibular lateral:,1.  A través del núcleo fastigial.,2.  A través del núcleo interpuesto.,3.  A través del núcleo dentado.,4.  Directamente.,5.  A través del vermis.,4,2010
33. Las fibras nerviosas que salen por la raíz ventral de la médula espinal son siempre:,1.  Motoras.,2.  Sensitivas.,3.  Mixtas.,4.  Amielínicas.,5.  Somáticas.,1,2010
34. El órgano tendinoso de Golgi y el Huso muscular tienen en común que:,1.  Son mecanorreceptores.,2.  Detectan cambios en la longitud del músculo.,3.  Se localizan en el tendón.,4.  Son inervados por la motoneurona gamma.,"5.  Activados, producen la contracción del múscuy lo.",1,2010
"35. En condiciones fisiológicas, las circulaciones pulmonar y sistémica tienen igual:",1.  Resistencia.,2.  Presión sistólica.,3.  Trabajo sistólico.,4.  Postcarga.,5.  Gasto cardiaco.,5,2010
36. El “ Rigor mortis ” del músculo esquelético lo produce:,1.  Ausencia de calcio.,2.  Exceso de calcio.,3.  Ausencia de ATP.,4.  Exceso de ATP.,5.  Descenso del pH.,3,2010
37. Un receptor de tipo tónico responde a un estímulo sostenido:,1.  Durante toda la aplicación del estímulo.,2.  Sólo al final del estímulo.,3.  Al inicio y al final del estímulo.,4.  Sólo al inicio del estímulo.,5.  Es refractario al estímulo aplicado.,1,2010
38. Los fotorreceptores humanos:,1.  Generan potenciales de acción.,2.  Sinapsan con células ganglionares.,3.  Median fenómenos de inhibición lateral.,4.  Sus campos receptores son rectangulares.,5.  Se hiperpolarizan con la luz.,5,2010
39. Pertenece a los núcleos de la base el:,1.  Dentado.,2.  Emboliforme.,3.  Caudado.,4.  Núcleo rojo.,5.  Fastigial.,3,2010
40. El calor activa:,1.  Temblor.,2.  Hambre.,3.  Piloerección.,4.  Vasodilatación cutánea.,5.  Aumento de adrenalina.,4,2010
41. La adenohipófisis libera:,1.  ADH.,2.  Oxitocina.,3.  Prolactina.,4.  Dopamina.,5.  GRH.,3,2010
42. El cortisol:,1.  Aumenta la respuesta inflamatoria.,2.  Disminuye los niveles de glucosa en sangre.,3.  Es el glucocorticoide más importante en humay nos.,4.  Estimula la secreción de aldosterona.,5.  Es sintetizado por la médula adrenal.,3,2010
43. La ovulación se produce tras el aumento súbito de los niveles de:,1.  LH.,2.  Estradiol.,3.  FSH.,4.  Inhibina.,5.  Progesterona.,1,2010
44. Las células de Leydig presentan receptores para la:,1.  FSH.,2.  LH.,3.  Testosterona.,4.  GnRH.,5.  Inhibina.,2,2010
45. La tiroxina:,1.  Presenta 3 átomos de yodo.,2.  Es más activa que la T3.,3.  Se transporta disuelta en el plasma.,4.  Se obtiene a partir de T3 en los tejidos.,5.  Es la principal secreción del tiroides.,5,2010
46. El nucleolo:,1.  Ayuda en la división celular.,2.  Transcribe el ADN a ARNm.,3.  Sintetiza el ARNt.,4.  Sintetiza los ribosomas.,5.  Origina los nucleosomas.,4,2010
47. Se asocian a filamentos de queratina las uniones:,1.  Gap o comunicantes.,2.  Estrechas u oclusivas.,3.  Adherentes.,4.  Desmosomas.,5.  Focales.,4,2010
48. Las vesículas recubiertas de clatrina transportan moléculas desde el:,1.  Núcleo al citoplasma.,2.  Citoplasma al núcleo.,3.  Retículo endoplásmico a Golgi.,4.  Golgi al retículo.,5.  Golgi a endosomas.,5,2010
49. Las reacciones oxidativas y la actividad catala sa son características de:,1.  Mitocondrias.,2.  Peroxisomas.,3.  Lisosomas.,4.  Endosomas.,5.  Fagosomas.,2,2010
"50. En la mayoría de las células animales interfási cas, la red de microtúbulos citoplásmicos se origina en:",1.  Envoltura nuclear.,2.  Centrómeros.,3.  Centrosoma.,4.  Centriolos.,5.  Cuerpo basal.,3,2010
51. Es FALSO afirmar que el aparato de Golgi:,1.  Está estructurado y bioquímicamente polarizay do.,2.  Origina los peroxisomas.,3.  Modifica las glicoproteínas que proceden del retículo endoplásmico.,4.  Origina los lisosomas.,5.  Sus diferentes compartimentos realizan funy ciones diferentes.,2,2010
52. NO contiene actina como constituyente principal:,1.  Huso mitótico.,2.  Anillo contráctil durante la citocinesis.,3.  Microvellosidades.,4.  Fibras de estrés.,5.  Lamelipodios y filopodios.,1,2010
53. El punto de control o de restricción que determina que una célula animal prosiga o no el ciclo celular se localiza al:,1.  Comienzo de la mitosis.,2.  Final de G2.,3.  Inicio de S.,4.  Final de G1.,5.  Comienzo de G1.,4,2010
54. El cinetocoro une:,1.  Cromátidas hermanas.,2.  Cromátidas homólogas.,3.  Cromosomas homólogos.,4.  Microtúbulos al centrómero.,5.  Microtúbulos al polo del huso.,4,2010
55. Durante la metafase I de la meiosis se alinean en el plano ecuatorial:,1.  Cromátidas.,2.  Cromosomas.,3.  Bivalentes.,4.  Politénicos.,5.  Metacéntricos.,3,2010
56. El complejo sinaptonémico une:,1.  Vesículas sinápticas.,2.  Cromosomas homólogos.,3.  Cromátidas hermanas.,4.  Cinetocoros.,5.  Las fibras del huso mitótico.,2,2010
57. En eucariotas el orden de las fases del ciclo celular es:,1.  G0 y G1 y G2 y S y M.,2.  G1 y S y G2 y M.,3.  G1 y G2 y S y M y GO.,4.  G2 y S y G1 y M.,5.  G2 y G1 y  S y M.,2,2010
58.  Si el núcleo tuviera eucromatina muy abundante se podría afirmar que la célula:,1.  Tiene más DNA que otras.,2.  Es poco activa.,3.  Es el caso típico de una célula diferenciada.,4.  Tiene gran actividad transcripcional.,5.  Está en mitosis.,4,2010
59. La capa de matriz extracelular que separa el tejido epitelial del conjuntivo es la:,1.  Membrana basolateral.,2.  Lámina basal.,3.  Pliegues basales.,4.  Borde en cepillo.,5.  Córtex celular.,2,2010
60. Carece de vasos sanguíneos el tejido:,1.  Conjuntivo laxo.,2.  Cartilaginoso.,3.  Óseo.,4.  Muscular.,5.  Nervioso.,2,2010
61. Es verdad afirmar:,1.  El hueso tiene un metabolismo lento.,2.  El cartílago no crece.,3.  El hueso no crece en longitud en ausencia de cartílago epifisario.,4.  La matriz del cartílago no soporta fuertes tensiones.,5.  El cartílago está altamente vascularizado.,3,2010
62. Posee discos intercalares el tejido muscular:,1.  Liso.,2.  Esquelético.,3.  Cardiaco.,4.  Helicoidal.,5.  Mioepitelial.,3,2010
63. Las células musculares:,1.  Lisas contienen varios núcleos alineados en el centro.,2.  Esqueléticas poseen un solo núcleo.,3.  Cardiacas presentan numerosos núcleos periféy ricos.,4.  Esqueléticas presentan cuerpos densos en el citoplasma.,5.  Cardiacas presentan bandas transversales similares a las esqueléticas.,5,2010
64. En la mayoría de los tejidos y órganos adultos la renovación celular depende de células:,1.  Madre embrionarias.,2.  Madre predeterminadas.,3.  Blastocísticas.,4.  Sanguíneas.,5.  Conjuntivas.,2,2010
65. El cartílago de tipo:,1.  Hialino está en el pabellón auditivo.,2.  Elástico está en los discos intervertebrales.,3.  Fibrocartílago contiene colágeno I.,4.  Elástico carece de pericondrio.,5.  Elástico se asemeja mucho al fibrocartílago.,3,2010
66. Las células más abundantes en los islotes pancreáticos son las:,1.  B.,2.  A.,3.  D.,4.  G.,5.  K.,1,2010
67. La osificación intramembranosa se forma por la diferenciación de células mesenquimáticas a:,1.  Osteoblastos.,2.  Osteoclastos.,3.  Condroblastos.,4.  Condroclastos.,5.  Osteoblastos y osteoclastos conjuntamente.,1,2010
68. La secreción de las glándulas sebáceas de la pi el es:,1.  Merocrina.,2.  Apocrina.,3.  Endocrina.,4.  Holocrina.,5.  Autocrina.,4,2010
"69. Las láminas A, B y C son los principales polipéptidos de la/s:",1.  Lámina basal de los epitelios.,2.  Lámina basal de los endotelios.,3.  Lámina nuclear.,4.  Laminillas óseas.,5.  Lamelipodios de células en cultivo.,3,2010
70. La heterocromatina de los telómenos de los cromosomas tiene:,1.  Histonas desacetiladas.,2.  Histonas normales.,3.  Grandes cantidades de RNA mensajero.,4.  Abundantes ribonucleoproteínas.,5.  La cromatina sexual.,1,2010
71. El epitelio de la tráquea es:,1.  Plano estratificado.,2.  Cilíndrico seudoestratificado ciliado.,3.  Cúbico simple.,4.  Cúbico estratificado.,5.  De transición.,2,2010
72. Los pericitos o células perivasculares que se encuentran alrededor de los endotelios capilares son:,1.  Fibroblastos.,2.  Células musculares lisas.,3.  Células madre mesenquimales.,4.  Una segunda capa de células endoteliales.,5.  Miofibroblastos.,3,2010
73. Las E8cadherinas se unen a la vinculina a travé s de:,1.  Catenina.,2.  Actina.,3.  Miosina.,4.  Integrina.,5.  Conexina.,1,2010
74. La proteína dineína del microtúbulo A del axonema ciliar:,1.  Mantiene unidos los microtúbulos periféricos a los radios.,2.  Une el microtúbulo A con el B del par vecino.,3.  Estabiliza la estructura del cilio.,4.  Mantiene unido el axonema a la membrana citoplasmática.,5.  Es una ATPyasa.,0,2010
75. La Anafase I y la Anafase II de la meiosis se diferencian en:,1.  Que en la Anafase I se separan los cromosoy mas homólogos y en la II las cromátidas hery manas.,2. Que ocurre justo lo contrario a lo postulado anteriormente.,3.  Nada.,4.  Que en la Anafase I sólo hay cromátidas.,5.  Que la Anafase II tiene cromosomas con una sola cromátida.,1,2010
76. La cápside de un virus:,1.  Está formada siempre por pentones.,2.  Siempre contiene una única especie de proteíy nas.,3.  Es la cubierta lipídica que envuelve su virión.,4.  Es la cubierta proteica que rodea a su ácido nucleico.,5.  Siempre contiene polimerasas para la replicay ción de su material genético.,4,2010
77. El ácido nucleico del citomegalovirus humano es:,1.  DNA circular de cadena simple.,2.  RNA lineal de cadena simple.,3.  DNA lineal de cadena doble.,4.  DNA lineal de cadena simple.,5.  RNA circular de cadena doble.,3,2010
78. El virión de un retrovirus siempre:,1.  Contiene una integrasa.,2.  Carece de cubierta lipídica.,3.  Contiene DNA de cadena doble segmentado.,4.  Contiene una DNA polimerasa dependiente de DNA.,5.  Contiene una RNA polimerasa dependiente de DNA.,1,2010
79. Presenta un genoma segmentado el virus:,1.  De la polio.,2.  De la gripe.,3.  Herpes.,4.  Coronavirus.,5.  De la rabia.,2,2010
80. El virus del sida y el de la hepatitis B tienen  en común que:,1.  Sus viriones contienen DNA de cadena doble.,2.  Sus viriones contienen RNA de cadena senciy lla.,3.  Su replicación requiere una retrotranscriptasa.,4.  Sus viriones carecen de envuelta lipídica.,5.  Ambos se transmiten vía oralyfecal.,3,2010
81. La cápside de los reovirus presenta simetría:,1.  Helicoidal.,2.  Icosaédrica.,3.  Baciliforme.,4.  Compleja.,5.  Esférica.,2,2010
82. La principal característica del RNA de los poliovirus es:,1.  Su elevada proporción de inopina.,2.  Su elevado número de ticosinas metiladas.,3.  La ausencia de una cola de poliadenina en su extremo 3yprima.,"4.  Su carácter monocistrónico, que dará lugar a una poliproteína.",5.  Su baja eficiencia de traducción por los riboy somas.,4,2010
83. La vía fundamental de transmisión de la varicela es (son):,1.  El contacto con sangre de personas infectadas.,2.  Las picaduras de mosquitos.,3.  Las mordeduras de animales domésticos.,4.  La vía aérea.,5.  La oralyfecal.,4,2010
84. En el proceso de gemación de los viriones del virus herpes participa la(s) membrana(s):,1.  Del retículo endoplasmático.,2.  Plasmática.,3.  Aparato de Golgi.,4.  Mitocondriales.,5.  Nuclear.,5,2010
85. Pueden generar alteraciones cromosómicas en la célula huésped los:,1.  Poliovirus.,2.  Herpesvirus.,3.  Rhabdovirus.,4.  Rotavirus.,5.  Coronavirus.,2,2010
86. La infección por el virus Epstein8Barr puede generar:,1.  Sarcoma de Kaposi.,2.  Cáncer de cerviz.,3.  Linfoma de Burkitt.,4.  Cirrosis hepática.,5.  Carcinoma hepatocelular.,3,2010
87. Los Retroviridae  penetran en la célula huésped mediante:,1.  Fusión de su envoltura con la membrana celuy lar.,2.  Endocitosis.,3.  Fagocitosis.,4.  Transporte activo.,5.  Pinocitosis.,1,2010
88. Los fagos RNA de cadena sencilla con polaridad positiva [ssRNA (+)]:,1.  Mayoritariamente son atenuados.,2.  Mayoritariamente tienen cápsides helicoidales.,3.  Deben generar una molécula de RNA comy plementaria para replicarse.,4.  Deben contener una RNA polimerasa en su virión para desarrollar el proceso infectivo.,5.  Deben contener algún tRNA en su virión para poder desarrollar el proceso infectivo.,3,2010
"89. Durante el ciclo reproductivo de un virus, la síntesis de proteínas estructurales de la cápside tiene lugar:",1.  Inmediatamente después de la liberación del material genético en el interior de la célula.,2.  En la fase de eclipse.,3.  Inmediatamente antes de la replicación de su material genético.,4.  En la fase de maduración.,5.  En la fase de eclosión.,4,2010
90. La amantadita actúa sobre el virus de la gripe:,1.  Bloqueando la entrada de los viriones a las células huésped.,2.  Inhibiendo la replicación de su material genéy tico.,3.  Impidiendo la liberación de los viriones por la célula infectada.,4.  Interfiriendo con la síntesis del mRNA  de las proteínas víricas.,5.  Disminuyendo la afinidad de la polimerasa vírica por sus promotores.,1,2010
91. El aceite de inmersión se emplea:,1.  En la microscopía de campo oscuro.,2.  Para aumentar el contraste.,3.  Para aumentar la captación de la luz por el objetivo y mejorar la apertura numérica.,4.  Con los objetivos de 40X y 100X.,5.  Entre el portaobjetos y el cubreobjetos.,3,2010
92. El primer colorante que se emplea en la tinción de Gram es:,1.  Safranina.,2.  Azul de metileno.,3.  Lugol.,4.  Cristal violeta.,5.  Fucsina.,4,2010
93. Una sustancia que hace inviables a las bacteria s y puede emplearse sobre tejidos como la piel es un:,1.  Desinfectante.,2.  Higienizante.,3.  Antiséptico.,4.  Microbicida.,5.  Microbiostático.,3,2010
94. La microscopía que se utiliza para la observación de una muestra teñida con diamidino82fenilindol (DAPI) es la:,1.  Electrónica.,2.  De contraste de fases.,3.  De campo claro.,4.  De campo oscuro.,5.  De fluorescencia.,5,2010
95. Un medio de cultivo que permite distinguir e incluso puede servir para una identificación preliminar de bacterias se denomina:,1.  General.,2.  Diferencial.,3.  Selectivo.,4.  Normalizado.,5.  De enriquecimiento.,2,2010
96. El método más frecuente para determinar el número de bacterias viables es el (la):,1.  Recuento en placa.,2.  Turbidimetría.,3.  Recuento microscópico directo.,4.  Tinción vital y recuento microscópico.,5.  Filtración y siembra en placa.,1,2010
97. ¿Cuántos niveles de seguridad en el laboratorio se han definido en Microbiología?:,1.  2.,2.  3.,3.  4.,4.  5.,5.  6.,3,2010
98. La lisozima:,1.  Hidroliza el lipopolisacárido.,2.  Abre poros en la membrana citoplasmática.,3.  Inhibe la síntesis de la pared celular.,4.  Hidroliza el péptidoglicano.,5.  Inhibe la síntesis de RNA ribosomal.,4,2010
99. Las propiedades endotóxicas de la envoltura de las bacterias gram8negativas están asociadas con:,1.  El lipopolisacárido.,2.  Las lipoproteínas.,3.  Las porinas.,4.  Los fosfolípidos.,5.  El péptidoglicano.,1,2010
100. (Son) es antibióticos beta8lactámicos:,1.  Las cefalosporinas.,2.  La rifampicina.,3.  El ciprofloxacino.,4.  La sulfanilamida.,5.  Las tetraciclinas.,1,2010
101. Inhiben el funcionamiento normal del ribosoma bacteriano:,1.  Las penicilinas.,2.  Los aminoglucósidos.,3.  Las polimixinas.,4.  La isoniazida.,5.  Las quinolonas.,2,2010
102. Una bacteria que no sintetiza catalasa ni supe róxido dismutasa es:,1.  Aerobia estricta.,2.  Anaerobia facultativa.,3.  Anaerobia estricta.,4.  Aerotolerante.,5.  Microaerófila.,3,2010
103. Las bacterias anaerobias:,1.  Nunca respiran.,2.  Carecen de cadenas transportadoras de elecy trones.,3.  Pueden respirar sulfatos.,4.  Pueden respirar H2O.,5.  Son todas fermentadoras.,3,2010
104. Es una característica común a todos los plásmi dos:,1.  Integrarse en el cromosoma bacteriano.,2.  Codificar genes de resistencia a antibióticos.,3.  Transferirse a otras células mediante conjugay ción.,4.  Tener un origen de replicación propio.,5.  Estar asociados a virus lisogénicos.,4,2010
105. Son bacterias con movimiento debido a flagelos periplasmáticos las (los):,1.  Espiroquetas.,2.  Bacteroides.,3.  Micrococos.,4.  Actinobacterias.,5.  Bdellovibrios.,1,2010
106. Son bacterias gram8negativas típicamente oxidasa8negativa las:,1.  Vibrionaceae.,2.  Enterobacteriaceae.,3.  Deinococcaceae.,4.  Pseudomonadaceae.,5.  Pasteurellaceae .,2,2010
107. Es  un género bacteriano anaerobio estricto fo rmador de endosporas:,1.  Lactobacillus.,2.  Shigella.,3.  Bacillus.,4.  Clostridium.,5.  Pseudomonas.,4,2010
108. Las infecciones nosocomiales son las que:,1.  Afectan principalmente a las vías respiratorias.,2.  Afectan principalmente a los niños.,3.  El ser humano adquiere de los animales doy mésticos.,4.  El ser humano adquiere de los animales salvay jes.,5.  Se pueden adquirir en un centro hospitalario.,5,2010
109. Para el aislamiento primario de Neisseria gho- norrhoeae  se emplea:,1.  Caldo de BHI.,2.  Agar MacConkey.,3.  Agar eosinayazul de metileno.,4.  Caldo de tristona y soja.,5.  Agar de ThayeryMartin.,5,2010
110. Las bacterias del género Staphylococcus :,1.  Pertenecen al grupo de bacterias lácticas.,2.  Residen a menudo en la piel.,3.  No son patógenas.,4.  Son gramynegativas.,5.  Se agrupan en cadenas.,2,2010
111. El sistema de clasificación de Lancefield se a plica a la identificación de:,1.  Streptococcus.,2.  Bacillus.,3.  Salmonella.,4.  Brucella.,5.  Mycoplasma.,1,2010
112. El género Mycobacterium se caracteriza por su:,1.  Bajo contenido en G+C.,2.  Rápido crecimiento.,3.  Pared gramynegativa.,4.  Células en forma de coco.,5.  Ser ácidoyalcohol resistente.,5,2010
"113. En el laboratorio, las rickettsias crecen en:",1.  Medios con extracto de levadura.,2.  Agarysangre.,3.  Agar suero.,4.  Cultivos de células animales.,5.  No es posible cultivar rickettsias.,4,2010
"114. En el hombre, se puede aislar Streptococcus mutants  de:",1.  La piel.,2.  El intestino grueso.,3.  El estómago.,4.  La placa dental.,5.  La vagina.,4,2010
"115. Los géneros Neisseria, Chlamydia, Treponema,  y Mycoplasma  contienen especies bacterianas responsables de enfermedades:",1.  Bucales.,2.  Intestinales.,3.  Pulmonares.,4.  De transmisión sexual.,5.  Urinarias.,4,2010
116. Las infecciones por Campylobacter causan:,1.  Chancro.,2.  Diarreas.,3.  Tracoma.,4.  Úlcera estomacal.,5.  Pustulación.,2,2010
117. Clostridium botulinum  produce una:,1.  Neurotoxina.,2.  Hemolisina.,3.  Citolisina.,4.  Endotoxina.,5.  Enterotoxina.,1,2010
118. Son a menudo responsables de la “diarrea del viajero” ciertas cepas de:,1.  Haemophilus influenzae.,2.  Escherichia coli.,3.  Vibrio cholerae.,4.  Burkholderia cepacia.,5.  Helicobacter pylori.,2,2010
119. La formación de cápsulas es un factor de virulencia de:,1.  Streptococcus pneumoniae.,2.  Brucella abortus.,3.  Chlamydia trachomatis.,4.  Treponema pallidum.,5.  Vibrio cholerae.,1,2010
120. El medio de Löwenstein8Jensen es un medio:,1.  De enriquecimiento para Campylobacter .,2.  Selectivo para Brucella .,3.  Selectivo para Mycobacterium .,4.  Para aislar micoplasmas.,5.  Selectivo para Neisseria .,3,2010
121. Las células T regulado ras son:,1.  CD4 + CD45RA + CD62L +.,2.  CD8 + CD45RO +.,3.  CD8 + CD25 +.,4.  CD4 + CD25 + FoxP3 +.,5.  CD8 + CD45RO + CD62L +.,4,2010
122. Los linfocitos T que expresan el receptor gamma8delta:,1.  Carecen del complejo CD3.,2.  Están presentes en elevadas concentraciones en el epitelio.,3.  Coyexpresan el receptor αβ tras una infección aguda.,4.  Su reconocimiento está restringido por CD1.,5.  Reconocen específicamente superantígenos.,2,2010
123. Indique la asociación correcta citosina8princi pales células productoras:,1.  ILy2 / eosinófilos.,2.  ILy10 / linfocitos Th1.,3.  ILy4 / neutrófilos.,4.  ILy12 / células dendríticas.,5.  IFNyγ / linfocitos Th2.,4,2010
124. Las células presentadoras de antígeno profesio nales (APC) son:,1.  Aquellas que expresan MHC de clase I.,2.  Exclusivas de los órganos linfoides secunday rios.,3.  Cualquier célula en la que se induce la exprey sión de MHC de clase II.,4.  Aquellas reconocidas por los linfocitos CD4+ y CD8+.,"5.  Las dendríticas, los macrófagos y los linfocitos B.",5,2010
125. Es una característica de las moléculas del MHC de clase II el:,1.  Unir péptidos de 8 aminoácidos.,2.  Expresarse en todas las células somáticas.,3.  Pertenecer a la superfamilia de las inmunogloy bulinas.,4.  Ser glicoproteínas formadas por la cadena α y la βy2 microglobulina.,5.  Interaccionar con el correceptor CD8 expresay do en los linfocitos T.,3,2010
126. En una tinción inmunohistoquímica de un tejido empleando un anticuerpo anti8CD14 aparecen marcados los (las):,1.  Monocitos.,2.  Células plasmáticas.,3.  Linfocitos T.,4.  Células endoteliales.,5.  Células NKT.,1,2010
127. La maduración de afinidad y el cambio de isoti po de las inmunoglobulinas se dan en el (la):,1.  Córtex del timo.,2.  Paracórtex de los linfonodos.,3.  Folículo primario.,4.  Centro germinativo.,5.  Vaina periarteriolar.,4,2010
"128. En comparación con la inmunidad adaptativa, la innata:",1.  Se vale de receptores de especificidad alta y muy diversa.,2.  Se desarrolla muy lentamente.,3.  Tiene asociada memoria inmunológica.,4.  Reconoce patrones moleculares.,5.  Modifica progresivamente sus características.,4,2010
129.  Un fragmento Fc de un anticuerpo:,1.  Conserva las funciones efectoras asociadas al isotipo del anticuerpo.,2.  Conserva la capacidad de reconocimiento del antígeno.,3.  Incluye regiones constantes de las cadenas pesadas y ligeras.,4.  Incluye los dominios N terminales de las cay denas pesadas y ligeras.,5.  Tiene una masa molecular del orden de 100 kDa.,1,2010
