Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
11. En el oído humano:,1. Los estereocilios de las células sensoriales están bañados por perilinfa.,2. El estribo encaja sobre la ventana redonda.,3. Las células sensoriales están sobre la me mbrana de Reissner.,4. Las células receptoras sinaptan con fibras del VIII par craneal.,5. El helicotrema comunica las rampas media y timpánica.,4,2014
12. Los receptores gustativos humanos:,1. No se regeneran.,2. Tienen un único mecanismo de transducción para las distintas submodalidades.,3. Son numerosas especializadas.,4. Secretan neurotransmisor en su extremo b asal.,5. Reciben inervación aferente del nervio hip ogloso.,0,2014
13. Tras la ingesta aumenta la liberación de:,1. Insulina.,2. ACTH.,3. Cortisol.,4. Adrenalina de la médula adrenal.,5. GH.,1,2014
14. Los nervios craneales motores:,1. Tienen sus somas en los ganglios dorsales de la región cervical.,2. Se originan en el tronco del encéfalo.,3. Reciben el nombre de la región medular por la que salen.,4. Pertenecen solo al sistema nervioso somático.,5. Se originan en la corteza cerebral.,2,2014
15. La principal función del cerebelo es:,1. Coordinar movimientos musculares compl ejos.,2. Coordinar respuestas endocrinas y nerviosas.,"3. Controlar la digestión, circulaci ón y respir ación.",4. Controlar el ciclo vigilia-sueño.,5. Controlar la ingesta.,1,2014
16. Controla el paso de sustancias al sistema ne rvioso central:,1. Meninges.,2. Plexo coroideos.,3. Barrera hemato-encefálica.,4. Sustancia blanca.,5. Células de Schwann y oligodendrocitos.,3,2014
17. Mandan proyecciones eferentes desde la corteza cerebelosa las:,1. Células de Purkinge.,2. Fibras trepadoras.,3. Células granulosas.,4. Células horizontales.,5. Fibras musgosas.,1,2014
18. Las señales sensitivas llegan principalmente a la capa de la corteza cerebral número:,1. II.,2. III.,3. IV.,4. V.,5. VI.,3,2014
19. Las células del nodo sinusal presentan:,1. Potencial de membrana estable.,2. Capacidad contráctil.,3. Despolarización más rápida que las fibras de Purkinje.,4. Despolarización mediada por canales de Ca2+.,5. Larga meseta.,4,2014
20. Una hemorragia:,1. Activa los barorreceptores arteriales.,2. Produce vasoconstricción periférica.,3. Reduce los niveles de ADH.,4. Inhibe el eje-renina-angiotensina-aldosterona.,5. Libera péptido atrial natriurético.,2,2014
21. Vasoconstriñe las arteriolas sistémicas:,1. Baja pO2.,2. Bajo pH.,3. Angiotensiona II.,4. Acetilcolina.,5. Óxido nítrico.,3,2014
22. Aumenta el volumen sistólico si:,1. Aumenta la poscarga.,2. Aumenta la precarga.,3. Se inhibe el simpático.,4. Disminuye el retorno venoso.,5. Aumenta la frecuencia cardíaca.,2,2014
23. Disminuye el gasto cardíaco el aumento de:,1. La volemia.,2. El retorno venoso.,3. La actividad vagal.,4. El volumen telediastólico.,5. La contractilidad miocárdica.,3,2014
24. Un aumento de la presión sanguínea entre 80 y150 mmHg aumenta la diuresis porque:,1. Aumenta exponencialmente la filtr ación gl omerular.,2. Disminuye la reabsorción peri tubular del agua.,3. Se contrae la arteriola eferente.,4. Aumenta proporcionalmente el flujo sangu íneo renal.,5. Se contrae la arteriola aferente.,2,2014
25. El sincitio auricular está separado del ventric ular por:,1. Las válvulas aurículo-vetriculares.,2. Las válvulas semilunares.,3. El esqueleto fibroso.,4. El tabique interventricular.,5. El Haz de His.,3,2014
26. Tras el complejo QRS del ECG se inicia :,1. La contracción isovolumétrica ventricular.,2. La contracción auricular.,3. La relajación isovolumétrica ventricular.,4. El vaciamiento ventricular.,5. El llenado ventricular.,0,2014
27. Los músculos papilares:,1. Contraen las válvulas aurículo-ventriculares.,2. Evitan el reflujo de sangre a las aurículas.,3. Evitan la eversión de las válvulas semilunares.,4. Forman el tabique interventricular.,5. Están formados por músculo liso visceral.,2,2014
28. El primer nivel de control de  la frecuencia ca rdiaca y respiratoria es:,1. La corteza cerebral.,2. La médula espinal.,3. El cerebelo.,4. El bulbo.,5. El hipotálamo.,4,2014
29. El surfactante pulmonar:,1. Lo secretan los neumocitos tipo I.,2. Estabiliza los alveolos.,3. Su principal componente es la albúmina.,4. Aumenta la tensión superficial del alveolo.,5. Sólo está en los alveolos pequeños.,2,2014
30. La capacidad residual funcional es el volumen:,1. Residual más el de reserva espiratorio.,2. Pulmonar tras una espiración forzada.,3. Residual.,4. Máximo que puede ser inspirado.,5. Corriente más el de reserva espiratorio.,1,2014
31. La estimulación de los cuerpos carotídeos:,1. Disminuye el pH de la sangre arterial.,2. Disminuye la PCO2 en sangre arterial.,3. Aumenta la concentración arterial de bicarb onato.,4. Aumenta la excreción urinaria de sodio.,5. Disminuye la presión arterial.,2,2014
32. La ventilación alveolar es el volumen de aire que:,1. Entra (o sale) de los pulmones en cada respiración.,2. Entra (o sale) en las vías respiratorias cada minuto.,3. Queda en los alveolos tras una espiración normal.,4. Entra (o sale) en las zonas de intercambio pulmonar en un minuto,5. Queda en los alveolos tras una espiración forzada.,4,2014
33. En la rama ascendente gruesa del asa de Henle:,1. Se reabsorbe agua.,2. Se diluye el líquido tubular.,3. La reabsorción de agua depende de ADH.,4. La reabsorción de urea depende de ADH.,5. La aldosterona estimula la reabsorción de Na+.,2,2014
"34. En el riñón, la estimulación simpática aumenta:",1. La excreción renal de sodio.,2. La excreción renal de agua.,3. El radio de la arteriola aferente.,4. La filtración glomerular.,5. La liberación de renina.,5,2014
35. La ADH aumenta la osmolaridad del medio intersticial renal porque aumenta:,1. La permeabilidad a la  urea en el tubo cole ctor.,2. La permeabilidad al agua del asa ascendente de Henle.,3. El flujo en los vasos rectos.,4. La reabsorción de NaCl en el túbulo colector.,5. La excreción renal de agua.,1,2014
36. En la secreción biliar hay:,1. Carboxipeptidasa.,2. Tripsina.,3. Quimotripsina.,4. Lecitina.,5. Elatasa.,4,2014
37. El principal estímulo para la secreción de secr etina es la presencia en el duodeno de:,1. pH ácido.,2. Hidratos de carbono.,3. Proteínas.,4. Quimo hipoosmolar.,5. Quimo hiperosmolar.,1,2014
38. El glucagón estimula:,1. Glucogenosíntesis.,2. Formación de depósitos de grasas.,3. Síntesis de proteínas.,4. Secreción de insulina.,5. Glucolisis.,4,2014
39. La somatomedina IGF-1 causa:,1. Secreción de GHRH.,2. Catabolismo proteico.,3. Hiperglucemia.,4. Activación de osteoblastos,5. Secreción de GH.,4,2014
40. Un aumento de ACTH estimula la síntesis y liberación de:,1. Aldosterona.,2. Cortisol.,3. Tiroxina.,4. CRH.,5. TRH.,2,2014
41. La angiotensina II:,1. Se forma por acción de la renina sobre la a ngiotensina I.,2. Inhibe la secreción de aldosterona.,3. Inhibe la secreción de ADH.,4. Induce reabsorción renal de Na+.,5. Reduce la sed.,4,2014
42. Está bajo control del eje hipotálamo -hipofisario la secreción de:,1. Cortisol.,2. Insulina.,3. Calcitonina.,4. Glucagón.,5. Parathormona.,1,2014
43. La secreción de GH u hormona de crecimiento:,1. Cesa hacia los 20 años.,2. Dura toda la vida.,3. Durante el día es mayor que por la noche.,4. La estimula la somatostatina.,5. La estimulan las sometomedinas.,2,2014
44. La adenohipófisis:,1. Es parte del hipotálamo.,2. Está regulada hormonalmente.,3. Se comunica con la neurohipófisis.,4. Libera ADH y oxitocina.,5. Está formada por neuronas.,2,2014
45. Estimula la lipogénesis y la glucogenosíntesis:,1. Insulina.,2. Glucagon.,3. Cortisol.,4. Adrenalina.,5. GH.,1,2014
46. Las proteínas ribosómicas se unen a los ARNr en el:,1. Complejo de poro nuclear.,2. Citoplasma.,3. Nucleoplasma.,4. Nucleolo.,5. Citosol.,4,2014
47. Las proteínas que no se pliegan adecuadamente en el retículo endoplásmico son degradadas en:,1. Complejo de Golgi.,2. Endosomas.,3. Lisosomas.,4. Citosol.,5. Núcleo.,4,2014
48. La síntesis de fosfolípidos de membrana ocurre en:,1. Citosol.,2. Polirribosomas.,3. Retículo endoplásmico.,4. Complejo del Golgi.,5. Peroxisoma.,3,2014
49. El autofagosoma:,1. Está limitado por una doble membrana.,2. Presenta alto contenido en catalasa.,3. Contiene partículas sólidas captadas del ext erior.,4. Es exclusivo de células fagocíticas.,5. Desempeña un papel destacado en la elimin ación de gérmenes y restos celulares.,0,2014
50. Es responsable del reconocimiento entre la vesícula de transporte y el orgánulo receptor:,1. Clatrina.,2. Dineína.,3. Quinesina.,4. Dinamina.,5. Sangre.,0,2014
51. El complejo ARP2/3:,1. Es un agente nucleador de filamentos inte rmedios.,2. Se localiza en el centrosoma.,3. Es responsable de la ramificación de los fil amentos de actina.,4. Forma parte de la lámina nuclear.,5. Interviene en la formación de vesículas de transporte.,3,2014
52. Las microvellosidades contienen  en su interior un haz de:,1. Microtúbulos.,2. Filamentos de actina.,3. Filamentos intermedios.,4. Espectrina.,5. Fibras de colágeno.,2,2014
"53. En las células animales somáticas, el ciclo cel ular se detiene justo antes de iniciar la división si hay:",1. Escasez de nutrientes.,2. Ausencia de señales proliferativas.,3. Crecimiento celular insuficiente.,4. Recopilación incompleta del ADN.,5. Alineamiento incorrecto de los cromosomas.,0,2014
54. La anafase A se caracteriza por el acortamiento de los microtúbulos:,1. Cinetocóricos.,2. Polares.,3. Interpolares.,4. Astrales.,5. Longitudinales.,1,2014
"55. Durante la meiosis, une físicamente los crom osomas homólogos el:",1. Centrómero.,2. Cinetocoro.,3. Complejo sinaptonémico.,4. Quiasma.,5. Nódulo de recombianción.,0,2014
56. El factor p53 induce:,1. Supervivencia.,2. Proliferación.,3. Senescencia.,4. Apoptosis.,5. Crecimiento,4,2014
57. Unen a las células epiteliales entre sí:,1. Cadherinas.,2. Integrinas.,3. Fibronectinas.,4. Elastinas.,5. Lamininas.,1,2014
58. El término “lámina propia” equivale a:,1. Lámina basal.,2. Lámina elástica interna.,3. Lámina nuclear.,4. Lámina reticular.,5. Tejido conjuntivo laxo.,5,2014
59. Está ausente de los tejidos conjuntivos:,1. Célula calciforme.,2. Adipocito.,3. Mastocito.,4. Linfocito.,5. Eosinófilo.,1,2014
60. Forman parte integral de la barrera hematoe ncefálica los pies de los:,1. Astrocitos,2. Timocitos.,3. Podocitos.,4. Células ependimarias.,5. Oligodendrocitos.,1,2014
61. Es avascular el tejido:,1. Epitelial.,2. Conjuntivo.,3. Óseo.,4. Muscular.,5. Nervioso.,1,2014
62. Deriva de los monocitos de la sangre:,1. Astrocito protoplasmático.,2. Astrocito fibroso.,3. Oligodendrocito.,4. Microgliocito.,5. Célula satélite.,4,2014
63. Las proteínas transmembrana que se unen a proteínas intracelulares y extracelulares son:,1. Ocludinas.,2. Cadherinas.,3. Actinas.,4. Integrinas.,5. Desmocolinas.,4,2014
64. El tejido conjuntivo denso ordenado o model ado forma parte de:,1. Estroma hemopoyético.,2. Tendones.,3. Mucosa digestiva.,4. Mucosa del útero.,5. Esclerótica.,2,2014
65. Las vellosidades intestinales:,1. Se extienden a lo largo de todo el intestino.,2. No están en el intestino grueso.,3. Son visibles únicamente al microscopio ele ctrónico.,4. Contienen únicamente células absorbentes.,5. Carecen de vasos en su lámina propia.,2,2014
66. Las células de Merkel son:,1. Secretoras de neuropéptidos y sensoriales.,2. Secretoras de moco.,3. Migratorias.,4. De Schwann.,5. Fibroblastos.,1,2014
67. La secreción de las glándulas sebáceas es:,1. Merocrina.,2. Apocrina.,3. Paracrina.,4. Holocrina.,5. Endocrina.,4,2014
68. Posee células superficiales con abundante gl ucógeno:,1. Lengua.,2. Esófago.,3. Piel fina.,4. Vagina.,5. Piel gruesa.,4,2014
69. Los nucleosomas están:,1. Solo en la hetrocromatina.,2. Solo en la eucromatina.,3. Solo en los cromosomas.,"4. En la eucromatina, en la heterocromatina y en los cromosomas.","5. En todo tipo de cromatina , pero no en los cromosomas.",4,2014
70. Contiene abundante glucógneo:,1. Hepatocitos.,2. Células plasmáticas.,3. Linfocitos.,4. Células cebadas.,5. Fibroblastos.,1,2014
71. Las dineínas son proteínas:,1. Motoras.,2. Responsables del dinamismo de la matriz extracelular.,3. Exclusivas de los cilios.,4. Exclusivas de los flagelos.,5. Tipo actina.,1,2014
72. En la endocitosis mediada por receptor inte rviene:,1. Solo la clatrina.,2. Solo la adaptina.,3. Adaptina y clatrina.,4. Chaperonas.,5. Solo las proteínas de la membrana.,3,2014
73. Clasifica las proteínas y regula su tráfico hacia sus destinos celulares:,1. Aparato de Golgi.,2. Ribosomas.,3. Retículo endoplasmático rugoso.,4. Mitocondrias.,5. Lisosomas.,1,2014
"74. En el músculo esquelético , tienen capacidad de regeneración, aunque limitada, las células:",1. De menor tamaño.,2. Satélite.,3. Fibroblastos del endomisio.,4. De la glía de las placas motoras.,5. Cualquiera.,2,2014
75. El proteoglucano más importante del cartílago hialino es:,1. Agrecano,2. Condroitín sulfato 4.,3. Heparina.,4. Versicano.,5. Dermatán sulfato.,1,2014
76. Permite comparar proporciones de dos mue stras independientes el test estadístico:,1. De McNemar.,2. De Snedecor.,3. De la mediana.,4. Exacto de Fisher.,5. De U de Mann-Whitney.,4,2014
"77. Si en una prueba diagnóstica se observan un3% de falsos positivos, se puede afirmar que:",1. La sensibilidad es del 97%.,2. La especificidad es del 97%.,3. El valor predictivo positivo es del 97%.,4. La especificidad es del 3%.,5. La sensibilidad es del 3%.,2,2014
78. La media aritmética y no la mediana:,1. Es una medida de localización.,2. En su cálculo intervienen todos los valores de la muestra.,3. Es adimensional.,4. No está influenciada por los valores extremos.,5. Ninguna es correcta.,2,2014
79. En un test de hipótesis se denomina error beta a la probabilidad de:,1. Aceptar una hipótesis nula siendo cierta.,2. Rechazar una hipótesis nula siendo falsa.,3. Aceptar una hipótesis alternativa siendo cie rta.,4. Rechazar una hipótesis alternativa siendo falsa.,5. Aceptar una hipótesis nula siendo falsa.,5,2014
80. Son conceptos que s e refier en a la misma pr obabilidad el nivel de:,1. Confianza y el error tipo II:,2. Significación y el error tipo I.,3. Significación y la especificidad.,4. Confianza y la sensibilidad.,5. Significación y el error tipo II.,2,2014
81. Los tripanosomoas africanos (T. Rhodesiense y T. Gambiense) se transmiten por insectos del género:,1. Glossina.,2. Triatoma.,3. Panstrongylus.,4. Rhodnius.,5. Phebotomus.,1,2014
"82. En relación con el paludismo, los esquizontes preeritrocíticos pueden hallarse en:",1. Reticulocitos.,2. Células hepáticas.,3. Células renales.,4. Linfocitos.,5. Eosinófilos.,2,2014
83. Podemos encontrar en esputo huevos de:,1. Clonorchis sinensis.,2. Paragonimus westermani.,3. Fasciola hepática.,4. Schistosoma japonicum.,5. Dicrocoelium dendriticum.,2,2014
84. El género Anisakis es un:,1. Tremátodo digenético.,2. Tremátodo monogenético.,3. Nemátodo.,4. Platelminto.,5. Artrópodo.,3,2014
85. El vector de la tularemia es un/a:,1. Coleóptero.,2. Piojo.,3. Pulga.,4. Garrapata.,5. Mosquito.,4,2014
"86. En general, los virus que poseen una cápside desnuda:",1. Son estables frente a la desecación.,2. Comúnmente se liberan  de la célula huésped por gemación.,3. Son muy sensibles a los detergentes.,4. Son muy sensibles a las condiciones existe ntes en el tracto intestinal.,5. No pueden ser neutralizados por los anticue rpos del huésped.,1,2014
87. El virión de los retrovirus:,1. Tiene forma helicoidal.,2. Tiene forma icosaédrica.,3. Contiene una sola copia de su genoma.,4. Contiene dos copias de su genoma.,5. Contiene un genoma segmentado.,4,2014
88. El virus de la hepatitis B:,1. Posee RNA bicatenario circular como mat erial genético.,2. Posee RNA monocatenario ci rcular como material genético.,3. Se transmite por vía aérea.,4. Codifica una transcriptasa inversa.,5. No tiene tropismo tisular.,4,2014
"89. En las infecciones latentes del virus del herpes simple humano, las partículas víricas perman ecen característicamente en:",1. Las neuronas.,2. Los linfocitos B.,3. Los linfocitos T.,4. Las células mieloides.,5. Los granulocitos.,1,2014
90. Las enzimas presentes en el interior del virión de los poxvirus son necesarias para la replic ación de su material genético porque:,1. Su genoma es DNA monocatenario (-).,2. Su genoma es RNA monocatenario (-).,3. Se replican en el citoplasma celular.,4. Contiene un porcentaje muy elevado de bases nitrogenadas inusuales como la inosina.,5. Al inicio de la infección se produce un bl oqueo del sistema transcripcional de la célula huésped.,3,2014
91. Los viriones de los Arenavirus contienen:,1. Una molécula de RNA lineal monocatenario.,2. Dos moléculas iguales de RNA lineal bicat enario.,3. Dos moléculas distintas de RNA lineal mon ocatenario.,4. Dos moléculas distintas de RNA circular m onocatenario.,5. Dos moléculas idénticas de RNA circular monocatenario.,4,2014
92. Inhibe la integrasa del VIH el (la):,1. Efavirenz.,2. Tenofovir.,3. Ritonavir.,4. Emtricitabina.,5. Raltegravir.,5,2014
"93. En los coronaviurs, el ensamblaje de los viri ones tiene lugar en el (la):",1. Retículo endoplásmico rugoso.,2. Matriz mitocondrial.,3. Núcleo.,4. Citosol.,5. Membrana citoplasmática.,1,2014
94. El virus respiratorio sincitial es un:,1. Ortomixovirus.,2. Filovirus.,3. Parvovirus.,4. Togavirus.,5. Paramixovirus.,5,2014
"95. Para multiplicarse, los rabdovirus  entran en la célula huésped mediante:",1. Viropexia.,2. Endocitosis.,3. Despolimerización del virión como cons ecuencia de la interacción con el receptor cel ular.,4. Translocación directa.,5. Fagocitosis opsónica.,2,2014
96. Todos los virus RNA (-) presentan:,1. Genoma segmentado.,2. Envoltura lipídica.,3. Nucleocápside helicoidal,4. Nucleocápside icosaédrica.,5. Trasncriptasa inversa.,2,2014
97. Sintetizan una única poliproteína precursora de todas las proteínas necesarias para el resto del ciclo de multiplicación los:,1. Coronavirus.,2. Picornavirus.,3. Rotavirus.,4. Paramixovirus.,5. Calcivirus.,2,2014
98. Son zoonóticos los:,1. Rotavirus.,2. Paramixovirus.,3. Citomegalovirus.,4. Arenavirus.,5. Parvovirus.,4,2014
"99. Para replicarse, los paramixovirus han de i ntroducir en la célula su material genético y una:",1. DNA polimerasa RNA dependiente.,2. DNA polimerasa DNA dependiente.,3. RNA polimerasa RNA dependiente.,4. RNA polimerasa DNA dependiente.,5. No requieren la introducción de enzimas vir ales.,3,2014
100. Los reovirus.:,1. Se liberan de la célula por gemación.,2. Replican su material g enético en el núcleo celular.,3. Tienen envoltura lipídica.,4. Forman viriones resistentes al pH ácido.,5. Se transmiten por vía sanguínea.,4,2014
101. La microscopia más adecuada para identificar Treponema pallidum  en exudados de lesiones sifilíticas es la de:,1. Campo claro sin tinción.,2. Campo claro con tinción simple.,3. Campo oscuro.,4. Contraste de fases.,5. Luz polarizada.,3,2014
102. La tinción de ácido -alcohol resistentes es posit iva en bacterias del género:,1. Mycoplasma.,2. Helicobacter.,3. Borrelia.,4. Mycobacterium.,5. Clostridum.,4,2014
103. Los filtros HEPA se utilizan para la esteriliz ación de:,1. Líquidos orgánicos.,2. Aire.,3. Caldo de cultivo.,4. Antibióticos.,5. Soluciones de azúcares.,2,2014
"104. Si tras sembrar 200 microlitros de una dilución10-4 (10 exp. -4) de un caldo sobre placa de agar crecen 100 colonias, el número estimado de unidades formadoras de colonias por mL de caldo es:","1. 0,2 x 104",2. 2 x 106,3. 5 x 104,4. 5 x 105,5. 5 x 106,5,2014
105. El medio no selectivo comúnmente usado para el crecimiento del gonococo ( Neisseria gon orrhoeae) es el:,1. Agar chocolate.,2. Agar sangre.,3. Agar manitol salino.,4. Agar nutritivo.,5. Agar MacConkey.,1,2014
"106. En una placa de agar sangre, un halo verdoso o marrón alrededor de una colonia bacteriana indica que la bacteria produce:",1. Un sideróforo.,2. α hemolisis.,3. Coagulasa.,4. β galactosidasa.,5. Metabolitos neutros.,2,2014
"107. Si al añadir una gota de H 2O2 a una suspensión bacteriana se generan burbujas (O2), la bacteria produce:",1. Citocromo C oxidasa.,2. Oxigenasa.,3. Superóxido dismutasa.,4. Catalasa.,5. Anhidrasa.,4,2014
108. El componente de las bacterias Gram negativas directamente responsable de la actividad end otóxica es:,1. El lípido A.,2. Las porinas.,3. Las proteínas de unión a penicilina.,4. El antígeno O.,5. Las lipoproteínas.,1,2014
109. Un componente característico de la mureína  o peptidoglicano de la mayoría de las bacterianas es:,1. El ácido dipicolínico.,2. El ácido L-glutámico.,3. La D-alanina.,4. La manosamina.,5. La diaminoglucosa.,3,2014
110. El proceso de la esporulación bacteriana oc urre:,1. Tanto en bacterias Gram positivas como Gram negativas.,2. Tras el agotamiento de ciertos nutrientes esenciales.,3. Cuando aparecen factores ambientales desf avorables como la luz UV o el calor.,4. Durante el crecimiento exponencial.,5. Por gemación de una célula madre.,2,2014
111. Las tetraciclinas actúan sobre la:,1. DNA polimerasa.,2. Transpeptidación del péptidoglicano de la pared.,3. RNA polimeras.,4. Subunidad 30S del ribosoma.,5. DNA girasa.,4,2014
112. Se obtienen sólo por síntesis química las/los:,1. Penicilinas.,2. Cefalosporinas.,3. Macrólidos.,4. Aminoglucósidos.,5. Quinolonas.,5,2014
113. El sistema de la fosfotransferasa (PTS) de m uchas bacterias:,1. Es empleado comúnmente para incorporar azúcares del medio.,2. Participa en la fosforilación oxidativa.,3. Participa en la fosforilación a nivel de sub strato.,4. Consume directamente ATP.,5. Desfosforila substratos como paso previo al transporte.,1,2014
114. Un plásmido contiene necesariamente:,1. Genes de resistencia a antibióticos.,2. Origen de replicación.,3. Integrones.,4. Genes de trasferencia por conjugación.,5. Transposones.,2,2014
"115. Para controlar la expresión de ciertos genes según la densidad poblacional, las bacterias emplean sistemas de:",1. Respuesta estricta.,2. Dos componentes.,3. Percepción del quórum.,4. Adaptación densitométrica.,5. Activación negativa.,3,2014
116. Las enterobacteriaceas son bacterias:,1. Capaces de respirar y de fermentar.,2. Citrocromo C oxidasa positivas.,3. Móviles con flagelación polar.,4. Carentes de lipopolisacárido.,5. Siempre asociadas al intestino de mamíferos.,1,2014
117. Pseudomonas aeruginosa es:,1. Capaz de fermentar una gran variedad de azúcares.,2. A menudo resistente a muchos antibióticos de uso médico.,3. Responsable de toxi-infecciones alimentarias.,4. Parte de la microbiota normal de la piel.,5. Una bacteria comensal del tracto digestivo.,2,2014
118. Son productores de muchos antibióticos de uso médico las (los):,1. Mixobacterias.,2. Cianobacterias.,3. Espiroquetas.,4. Estreptomicetos.,5. Proteobacterias alfa.,4,2014
119. Los micoplasmas:,1. No contienen fosfolípidos en su membrana.,2. Poseen una pared de tipo Gram positivo.,3. Contienen ácidos micólicos.,4. Crecen rápidamente en medios simples.,5. Son naturalmente insensibles a la penicilina.,5,2014
120. Neisseria meningitidis es:,1. Un bacilo gram-negativo.,2. Normalmente r esistente a los antibióticos beta-lactámicos.,3. Un coco anaerobio.,4. Un diplococo capsulado.,5. Móvil por flagelación peritrica.,4,2014
"121. En el ser humano,  Lactobacillus acidophilus forma parte de la microbiota normal de :",1. El tracto genital femenino.,2. La buco-faringe.,3. El tracto urinario.,4. La piel.,5. El tracto respiratorio.,1,2014
122. Streptococcus sobrinus  y Streptococcus mutants son responsables de:,1. Caries dentales.,2. Infecciones de quemaduras.,3. Fiebres reumáticas.,4. Rinitis atípicas.,5. Otitis medias.,1,2014
123. Es un patógeno intracelular obligado:,1. Neisseria gonorrhoeae.,2. Treponema pallidum,3. Chlamydia trachomatis.,4. Streptococcus pneumoniae.,5. Mycobacterium tuberculosis.,3,2014
124. Está asociado a úlceras y cánceres gástricos:,1. Clostridium botulinum.,2. Yersinia enterocolitica.,3. Salmonella enterica.,4. Helicobacter pylori.,5. Shigella sonnei.,4,2014
125. En un patógeno Gram positivo implicado en faringitis y fiebres reumáticas:,1. Staphylococcus aureus.,2. Micrococcus luteus.,3. Moraxella catarrhalis.,4. Haemophilus influenzae.,5. Streptococcus pyogenes.,5,2014
126. Son reservorios de la fiebre Q ( Coxiella burnetti) los (las):,1. Murciélagos.,2. Aves de corral.,3. Roedores.,4. Perros.,"5. Vacas, ovejas y cabras.",5,2014
127. Es un género de bacterias anaerobias estrictas que producen endosporas y que contienen esp ecies patógenas:,1. Bacteroides.,2. Bacillus.,3. Clostridium.,4. Corynebacterium,5. Mycobacterium.,3,2014
128. Es una enfermedad producida por una bacteria patógena de transmisión alimentaria:,1. La listeriosis.,2. La enfermedad de Lyme.,3. La tularemia.,4. La escarlatina.,5. El impétigo.,1,2014
129. Un patógeno de rata que tiene a las pulgas como vectores de transmisión a humanos es:,1. Ricketssia rickettsii.,2. Yersinia pestis.,3. Borrelia burgdorferi.,4. Ehrlichia ewingii.,5. Brucella abortus.,2,2014
130. Una prueba coagulasa positiva es típica de:,1. Staphylococcus aureus.,2. Staphylococcus epidermidis.,3. Haemophilus influenzae.,4. Neisseria meningitidis.,5. Escherichia coli.,1,2014
"131. A diferencia de los receptores  de la inmunidad adaptativa, los de la inmunidad innata se cara cterizan por:",1. Tener una distribución clonal.,2. Su mayor diversidad.,3. Ser idénticos en las células del mismo linaje.,4. Reconocer y reaccionar frente a moléculas propias.,5. Estar sólo en la superficie celular.,3,2014
132. Los receptores de tipo Toll (TLRs) reconocen de manera principal:,1. Proteínas.,2. Superantígenos.,3. Antígenos de histocompatibilidad no polimórficos.,4. Diversos componentes de los microbios.,5. Tolerógenos.,4,2014
133. Entre los componentes característicos del sistema inmunitario adaptativo están:,1. Las células epiteliales.,2. Los macrófagos.,3. Los linfocitos NK.,4. La proteína C reactiva.,5. Los linfocitos B.,5,2014
134. Son órganos linfoides primarios:,1. Bazo y ganglios linfáticos.,2. El bazo y la médula ósea.,3. El timo y la médula ósea.,4. La glándula pineal.,5. Placas de Peyer y amígdalas.,3,2014
