Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
31. El periodo de eclipse del ciclo replicativo de los fagos se caracteriza por la ausencia de:,1. Viriones infectivos extracelulares.,2. viriones no infectivos.,3. viriones infectivos intracelulares.,4. Ácido nucleico vírico intracelular.,5. Proteína vírica intracelular.,3,2005
32. Es correcto afirmar que:,1. Todos los virus causan tumores.,2. Sólo los virus RNA producen tumores.,3. Sólo los virus DNA producen tumores.,4. Sólo los virus que producen lisis causan tumores.,5. Pueden causar tumores tanto virus DNA como RNA.,5,2005
33. Contiene RNA como material genético:,1. Herpesvirus.,2. Adenovirus.,3. Coronavirus.,4. Parvovirus.,5. Poxvirus.,3,2005
34. Carece de una envoltura lipídica:,1. Rhabdovirus.,2. Ortomixovirus.,3. Retrovirus.,4. Herpesvirus.,5. Reovirus.,5,2005
35. La resistencia al desarrollo del SIDA en algunas personas se asocia a la carencia de:,1. La proteína receptora de quimiocinas CCR5.,2. La integrina ICAM-1.,3. La Interleucina I (IL-1).,4. El factor de necrosis tumoral (TNF).,5. El factor de crecimiento derivado de plaquetas (PDGF).,1,2005
36. Requiere la transcripción inversa durante su ciclo replicativo:,1. Herpes simplex.,2. Poliovirus.,3. Gripe.,4. Hepatitis B.,5. Poxvirus.,4,2005
37. Replica su genoma en el núcleo:,1. Poxvirus.,2. Coronavirus.,3. Picornavirus.,4. Rhabdovirus.,5. Ortomixovirus.,5,2005
38. Está basada en virus inactivado la vacuna de:,1. La rubeola.,2. La viruela.,3. El sarampión.,4. La hepatitis A.,5. Varicela.,4,2005
39. Tiene un genoma RNA segmentado:,1. Flavivirus.,2. Birnavirus.,3. Picornavirus.,4. Calicivirus.,5. Paramixovirus.,2,2005
40. El método más exacto para medir la infectividad vírica es:,1. Western-blot.,2. Northern-blot.,3. Ensayo de placas.,4. Microscopía electrónica.,5. No se puede medir la infectividad vírica.,3,2005
41. El primer paso para la síntesis de proteínas de un virus con RNA de cadena positiva es la:,1. Unión de los ribosomas al RNA viral.,2. Síntesis de DNA de doble cadena.,3. Síntesis de RNA de doble cadena.,4. Síntesis de RNA de polaridad negativa.,5. Entrada en el núcleo para utilizar la RNA polimerasa celular.,1,2005
42. Los retrovirus ensamblan su cápside en:,1. La membrana plasmática.,2. El nucleolo.,3. El aparato de Golgi.,4. La mitocondria.,5. El núcleo.,1,2005
43. Una característica fundamental en el proceso replicativo de los bacteriófagos T4 es poseer:,1. Permutación circular en el genoma de DNA de cadena sencilla.,2. Permutación circular en el genoma de DNA de doble cadena.,3. Proteína A unida a los extremos 5’ del genoma de DNA de doble cadena.,4. Proteína A unida a los extremos 5’ del genoma de DNA de cadena sencilla.,5. Extremos cohesivos en el genoma de DNA de cadena sencilla.,2,2005
44. La amantadina y rimantadina inhiben la multiplicación del virus influenza A porque:,1. Interfieren con la glicosilación de la hemaglutinina.,2. Bloquean los mecanismos de corrección de la RNA polimerasa vírica.,3. Compiten con la RNA polimerasa vírica.,"4. Interaccionan con la proteína de la matriz M2, bloqueando la total descapsidación.",5. Las células infectadas no expresan las bombas de eliminación de estas drogas.,4,2005
45. Posee representantes visibles al microscopio óptico la familia:,1. Picornaviridae.,2. Paramyxoiridae.,3. Papillonaviridae.,4. Poxviridae.,5. Ninguna familia vírica.,4,2005
"46. De los epitopos conformacionales, se puede decir que:",1. No existen en proteínas nativas.,2. Son reconocidos por linfocitos T.,3. Son reconocidos por anticuerpos.,4. Son presentados por moléculas HLA de clase I.,5. Son presentados por moléculas HLA de clase II.,3,2005
47. La inmunoglobulina predominante en sangre del recién nacido es:,1. IgA.,2. IgD.,3. IgE.,4. IgG.,5. IgM.,4,2005
48. El idiotipo de un anticuerpo está determinado por la secuencia de aminoácidos de la:,1. Región constante de la cadena ligera.,2. Región variable de la cadena ligera.,3. Región constante de la cadena pesada.,4. Región variable de la cadena pesada.,5. Región variable de la cadena pesada y de la ligera.,5,2005
49. Habitualmente los antí genos HLA se tipifican mediante:,1. Aglutinación en portaobjetos.,2. Microtoxicidad en placa.,3. Inmunofluorescencia por citometría de flujo.,4. Inmunoselección positiva con anticuerpos monoclonales.,5. Reacciones de inhibición de la aglutinación.,2,2005
50. La citoquina implicada en el cambio de clase a IgE es:,1. IL-1.,2. IL-2.,3. TGF-beta.,4. IL-4.,5. IL-5.,4,2005
51. La respuesta inmune frente a una bacteria patógena intracelular se caracteriza por:,1. La producción de IL-4.,2. El desarrollo de citotoxicidad celular dependiente de anticuerpos.,3. La producción de IFN-gamma.,4. La activación de linfocitos Th2.,5. La actuación de anticuerpos neutralizantes.,3,2005
52. Los genes RAG-1 y RAG-2 intervienen en:,1. Activación del sistema del complemento.,2. Recombinación de segmentos VDJ en la codificación de inmunoglobulinas.,3. Procesamiento de péptidos endógenos.,4. Procesamiento de péptidos exógenos.,5. Codificación de factores supresores.,2,2005
53. La selección negativa que tiene lugar en el timo:,1. Consigue que los linfocitos T tengan restricción MHC.,2. Adjudica especificidad antigénica a cada linfocito T individual.,3. Impide que el sistema inmune responda frente a sí mismo.,4. Potencia la viabilidad linfocitaria.,5. Frena la involución tímica.,3,2005
54. La señal estimuladora  necesaria para activar linfocitos T vírgenes la da la molécula:,1. CD28.,2. CD40.,3. LFA-1.,4. IL-2.,5. Inmunoglobulina de membrana.,0,2005
55. La células Th1 segregan:,1. IFN-gamma.,2. IL-4.,3. IL-5.,4. IL-6.,5. IL-10.,1,2005
56. La función de la molécula CD3 en un linfocito T CD4+ es:,1. Inhibir la fijación del complemento.,2. Mediar la transducción de señales de membrana.,3. Reconocer péptidos extraños asociados a moléculas MHC de clase I.,4. Reconocer péptidos extraños asociados a moléculas MHC de clase II.,5. Interaccionar con la molécula CD2.,2,2005
57. La molécula CD40 está implicada en:,1. El reconocimiento del antígeno por el linfocito T.,2. La cooperación  linfocito T-linfocito B.,3. La interacción linfocito T-macrófago.,4. La interacción del linfocito T CD8+ con su diana.,5. La interacción linfocito-endotelio.,2,2005
58. CD80 es:,1. El receptor para IL-2.,2. Una molécula inhibidora de la acción del complemento.,3. Una molécula de membrana propia de células NK.,4. Una molécula que interviene en la activación del linfocito T.,5. El marcador que define a los linfocitos T helper.,4,2005
59. El péptido anti génico y el heterodímero alfa/beta de la molécula MHC de clase II se unen en:,1. El retículo endoplásmico.,2. El aparato de Golgi.,3. Los ribosomas.,4. La membrana plasmática.,5. Los endosomas.,5,2005
60. Los receptores de las células NK:,1. Surgen por recombinación genética.,2. Pueden ser de tipo inhibidor.,3. Tienen asociado el complejo CD3.,4. Reconocen péptidos virales.,5. Requieren la molécula CD28 como coestimuladora.,2,2005
61. El sustrato del factor D del complemento es:,1. El factor B.,2. C3bB.,3. C3b.,4. C3bi.,5. C3d.,1,2005
62. Las células NK se consideran de estirpe:,1. Mieloide.,2. Monocítica.,3. Linfoide.,4. Granulocítica.,5. Megacariocítica.,3,2005
63. Un anticuerpo regula su propia producción por interacción con:,1. TCR.,2. BCR.,3. FcR.,4. Receptor de C3b.,5. Receptor de IL-2.,3,2005
64. Es un órgano linfoide primario:,1. Ganglio linfático.,2. Bazo.,3. Placas de Peyer.,4. Timo.,5. Amígdalas.,4,2005
65. En la protección frente a microorganismos intracelulares participan de forma importante:,1. Los linfocitos T.,2. La IgG.,3. La IgM.,4. El complemento.,5. Los linfocitos B.,1,2005
66. Las toxinas de las bact erias extracelulares son neutralizadas por:,1. Complemento.,2. Anticuerpos.,3. Toxoides.,4. Neutrófilos.,5. Enzimas proteolíticas.,2,2005
67. El cambio de IgM a IgG durante una respuesta de anticuerpos supone que las células B:,1. Han experimentado una activación policlonal.,"2. Son de dos clones distintos, IgM y otro IgG.",3. De un mismo clon cambian el tipo de cadena ligera que producen.,4. De un mismo clon pueden cambiar la clase de inmunoglobulina que producen.,5. No producen la IgG.,4,2005
68. El isotipo de las inmunoglobulinas determina:,1. La especificidad antigénica.,2. La función efectora del anticuerpo.,3. Cualquiera de las dos anteriores dependiendo de la circunstancia.,4. La fuerza de unión al antígeno.,5. Las diferencias genéticas existentes entre individuos de la misma especie.,2,2005
69. En el centro germinal tiene lugar:,1. La exclusión alélica.,2. La aparición de IgM de membrana en células B.,3. El reordenamiento de inmunoglobulinas.,4. La maduración de la afinidad.,5. La selección clonal.,4,2005
"70. En la ontogenia B, el estadío de célula pre-B se caracteriza por:",1. Expresar IgD en la membrana.,2. Expresar IgM en la membrana.,3. Producir cadena µ (mu).,4. Producir cadena ligera kappa.,5. La expresión exclusiva del receptor de IL-2.,3,2005
71. Las lesiones en el músculo esquelético:,1. Son irreversibles.,2. Se substituye el músculo dañado por tejido conjuntivo.,3. Se substituye el músculo dañado por músculo liso.,4. Se regenera por división de otras células musculares estriadas.,5. Se regenera a partir de células satélite.,5,2005
"72. En mamíferos, las neuronas con secreción endocrina se localizan en:",1. Ganglios raquídeos.,2. Ganglios del plexo mesentérico.,3. Cerebro.,4. Médula espinal.,5. Hipotálamo.,5,2005
73. Las células que rodean a los capilares del glomérulo renal se denominan:,1. Astrocitos.,2. Pericitos.,3. Podocitos.,4. Miofibrocitos.,5. Células mesengiales.,3,2005
74. Las glándulas salivares son:,1. Acinares simples.,2. Acinares compuestas.,3. Tubulares ramificadas.,4. Tubulares compuestas.,5. Tubuloacinares compuestas.,5,2005
75. El estrato germinativo de la piel es el:,1. Granuloso.,2. Lúcido.,3. Córneo.,4. Basal.,5. Espinoso.,4,2005
76. Forma parte del revestimiento de los sinusoides hepáticos:,1. Histiocitos.,2. Microglia.,3. Células dendríticas.,4. Células de Kupffer.,5. Pericitos.,4,2005
77. El cartílago de los discos intervertebrales es de tipo:,1. Hialino.,2. Elástico.,3. Fibroso.,4. Reticular.,5. Trabecular.,3,2005
78. La zónula adherens posee la molécula:,1. Desmina.,2. Queratina.,3. E-cadherina.,4. Conexina.,5. Fimbrina.,3,2005
79. La proteína que ancla los filamentos de actina a la punta de las microvellosidades es la:,1. Villina.,2. Desmosina.,3. Tropomiosina.,4. S. 100.,5. Gastrina.,1,2005
80. Los neurofilamentos son filamentos:,1. Finos.,2. Gruesos.,3. Relacionados con la actina.,4. Intermedios.,5. Relacionados con la miosina.,4,2005
81. Almacenan la mayor cantidad de glucógeno:,1. Eritrocitos.,2. Células plasmáticas.,3. Células acinares del páncreas.,4. Células parietales del estómago.,5. Hepatocitos.,5,2005
82. El epitelio de la cavidad bucal de los mamíferos es:,1. Plano simple.,2. Plano estratificado queratinizado.,3. Cúbico estratificado.,4. Plano estratificado no queratinizado.,5. Cilíndrico estratificado.,4,2005
83. La fijación de rutina de las muestras para microscopía electrónica se realiza con:,1. Formol.,2. Alcohol etílico.,3. Acetona.,4. Bicarbonato.,5. Tetróxido de osmio.,5,2005
84. En el ciclo celular la fase de síntesis del DNA es:,1. Mitosis.,2. Fase S.,3. G1.,4. G2.,5. G0.,2,2005
85. Es exclusivo de las células eucarióticas:,1. La síntesis de proteínas.,2. La endocitosis.,3. La glucolisis.,4. El almacenamiento de energía en forma de ATP.,5. La fotosíntesis.,2,2005
86. Reconocen y se asocian a oligosacáridos específicos:,1. Las integrinas.,2. Las caderinas.,3. Las selectinas.,4. La superfamilia e las Igs.,5. La elastina.,3,2005
"87. En los vertebrados a dultos, mantienen las células epiteliales unidas entre sí:",1. Integrinas.,2. Caderinas.,3. Selectinas.,4. Igs.,5. Conexinas.,2,2005
88. Las integrinas forman parte de:,1. Uniones estrechas.,2. Zónulas adherens.,3. Desmosomas.,4. Uniones GAP.,5. Hemidesmosomas.,5,2005
89. La resistencia mecánica de la matriz extracelular se debe a:,1. Colágeno.,2. Fibronectina.,3. Laminina.,4. Elastina.,5. Glucosaminoglucanos.,1,2005
90. La recombinación genética tiene lugar en:,1. Zigoteno.,2. Leptoteno.,3. Diploteno.,4. Paquiteno.,5. Diacinesis.,4,2005
91. Hay filamentos de actina en:,1. Los centriolos.,2. Los cilios.,3. La lámina nuclear.,4. Las microvellosidades.,5. El huso mitótico.,4,2005
92. Los centriolos tienen una estructura similar a:,1. El axonema de cilios y flagelos.,2. Las raíces ciliares.,3. El cuerpo basal de cilios y flagelos.,4. Las microvellosidades.,5. Los estereocilios.,3,2005
93. La gelsolina es una proteína asociada a la actina que:,1. Inhibe la polimerización de los filamentos.,2. Favorece la polimerización de los filamentos.,3. Corta los filamentos en fragmentos más pequeños.,4. Estabiliza el extremo (+) de los filamentos.,5. Estabiliza el extremo (-) de los filamentos.,0,2005
94. Las chaperonas:,1. Recubren las vesículas de endocitosis.,2. Inician el proceso de apoptosis.,3. Destruyen las proteínas mal plegadas.,4. Marcan a las proteínas que tienen que ser degradadas.,5. Ayudan al plegamiento de las proteínas en las células.,5,2005
95. La topología (orientación) de las proteínas de transmembrana se determina en:,1. La propia membrana plasmática.,2. El RE.,3. La cara cis del aparato de Golgi.,4. La cara trans del aparato de Golgi.,5. Las vesículas de secreción constitutiva.,2,2005
96. Las vesículas COPII se encargan del transporte entre:,1. La membrana plasmática y el endosoma temprano.,2. El trans-Golgi y la membrana plasmática.,3. El cis-Golgi y el trans-Golgi.,4. El trans-Golgi y los lisosomas.,5. El retículo endoplásmico y el cis-Golgi.,5,2005
97. El orgánulo más caract erístico de los macrófagos es:,1. El retículo liso.,2. El retículo rugoso.,3. Los lisosomas.,4. Las inclusiones lipídicas.,5. Los ribosomas libres.,3,2005
98. Las secuencias FG (fenilalanina-glicina) son características de:,1. Importinas y exportinas.,2. Proteínas nucleares.,3. Ciertas nucleoporinas.,4. Proteína Ran.,5. Ciertas proteínas de la membrana nuclear externa.,3,2005
99. Las histonas son proteínas:,1. De gran tamaño.,2. Muy variables de una especie a otra.,3. Ricas en aminoácidos hidrófobos.,4. Responsables de la formación del cromosoma mitótico.,5. Responsables de la formación de las fibras de cromatina de 10 y 30 nm.,5,2005
100. La fibronectina es uno de los componentes de:,1. La matriz extracelular.,2. El citoesqueleto.,3. La lámina nuclear.,4. Las uniones estrechas.,5. Los complejos de poro nucleares.,1,2005
"101. En una fibra nerviosa mielínica, la conducción de potenciales de acción es:",1. Con decremento.,2. Saltatoria.,3. Más lenta que en una fibra amielínica.,4. De tipo electrotónico.,5. Más lenta cuanto más gruesa sea la fibra.,2,2005
102. Los potenciales de acción se dan:,1. Cuando la membrana se hiperpolariza.,2. Tras un aumento transitorio de la permeabilidad al sodio.,3. Por una disminución de la permeabilidad al potasio.,4. Con una amplitud variable según la fuerza del estímulo.,5. Sólo en las neuronas.,2,2005
103. Los mecanorreceptores del oído interno:,1. Son células ciliadas.,2. Son de origen nervioso.,3. Cuando se estimulan generan mensajeros intracelulares.,4. Carecen de vesículas sinápticas.,5. Son interoceptores.,1,2005
104. Los canales iónicos:,1. Todos son inespecíficos.,2. Unen el ión a transportar.,3. Son bombas iónicas.,4. Siempre están abiertos.,5. Mueven los iones a favor de gradiente electroquímico.,5,2005
105. La bomba de sodio:,1. Solo transporta sodio.,2. Utiliza el gradiente de sodio para mover otro ión.,3. Es un canal iónico.,4. Intercambia sodio intracelular por potasio extracelular.,5. Es electroneutra.,4,2005
106. El líquido cefalorraquídeo:,1. Contiene hematíes.,2. Es un ultrafiltrado del plasma.,3. Se reabsorbe en los plexos coroideos.,4. Lo sintetiza continuamente las vellosidades aracnoideas.,5. Protege el cerebro y la médula espinal.,5,2005
"107. En la mujer normal, el cuerpo lúteo:",1. Produce exclusivamente progesterona.,2. Alcanza su máximo desarrollo durante la menstruación.,3. Produce hormona luteinizante.,4. Produce progesterona y estrógenos.,5. Degenera hacia la ovulación.,4,2005
108. Las células de Sertoli producen:,1. Testosterona.,2. Proteína fijadora de andrógenos.,3. Líquido seminal.,4. Líquido prostático.,5. Estrógenos.,2,2005
109. Los capilares más permeables están en:,1. Cerebro.,2. Músculo cardiaco.,3. Glándula hipófisis posterior.,4. Hígado.,5. Intestino delgado.,4,2005
110. El segundo ruido cardíaco lo causa el:,1. Cierre de las válvulas semilunares.,2. Vibraciones de la pared ventricular durante la sístole.,3. Flujo turbulento durante el llenado ventricular.,4. Cierre de las válvulas Mitral y Tricúspide.,5. Flujo retrógrado en la vena cava.,1,2005
111. Las válvulas cardiacas se abren por:,1. Gradiente de presión.,2. Contracción de los músculos papilares.,3. Estimulación parasimpática.,4. Estimulación simpática.,5. La acción de las cuerdas tendinosas.,1,2005
112. El gasto cardiaco aumenta si:,1. Disminuye el retorno venoso.,2. Aumenta la actividad parasimpática.,3. Aumenta la actividad simpática.,4. Aumenta la poscarga.,5. disminuye el volumen sistólico.,3,2005
113. Una estimulación simpática disminuye:,1. La frecuencia cardiaca.,2. La fuerza de contracción del corazón.,3. El gasto cardiaco.,4. El radio de las arteriolas.,5. La resistencia venosa.,4,2005
114. La adrenalina produce vasodilatación al unirse a receptores:,1. Muscarínicos.,2. Alfa-adrenérgicos.,3. Beta-adrenérgicos.,4. Nicotínicos.,5. Nunca se une a receptores.,3,2005
115. La estimulación de los barorreceptores produce:,1. Aumento de la frecuencia cardiaca.,2. Vasoconstricción.,3. Disminución de la presión arterial.,4. Aumento de la resistencia periférica.,5. Aumento de la fuerza de contracción del corazón.,3,2005
116. La presión arterial disminuye al aumentar la liberación de:,1. Hormona antidiurética.,2. Angiotensina II.,3. Aldosterona.,4. Nor-adrenalina.,5. Factor natriurético auricular.,5,2005
117. La adrenalina y la nor-adrenalina:,1. Son segregadas por la corteza suprarrenal.,2. Disminuyen la frecuencia cardiaca.,3. Se liberan por estimulación simpática.,4. Son hiperglucemiantes.,5. Antagonizan los efectos del sistema nervioso simpático.,0,2005
118. La PTH u hormona paratiroidea:,"1. Aumenta la formación de 1,25-dihidrocolecalciferol.",2. Se secreta tras un aumento del calcio plasmático.,3. Se sintetiza en las células C del tiroides.,4. Disminuye la permeabilidad osteoclástica al calcio.,5. Aumenta la reabsorción tubular de fosfato.,1,2005
119. La insulina estimula la:,1. Entrada de glucosa al músculo esquelético.,2. Gluconeogénesis.,3. Degradación proteica.,4. Lipolisis.,5. Reabsorción renal de glucosa.,1,2005
120. Los husos musculares:,1. Son fibras extrafusales.,2. Son propios del músculo liso.,3. Reciben inervación motora por motoneuronas alfa.,4. Responden al aumento de tensión activa en la fibra extrafusal.,5. Responden a cambios en la longitud del músculo.,5,2005
121. La oxitocina:,"1. Aumenta la formación de 1,2-dihidrocolecalciferol.",2. Deprime las contracciones del útero.,3. Evita la descarga de la leche materna.,4. Se produce en el núcleo paraventricular.,5. Estimula la producción de melanocitos.,4,2005
122. La distensión auricular produce:,1. Disminución de la liberación de hormona antidiurética.,2. Disminución de la excreción de sodio.,3. Aumento de la retención de agua.,4. Disminución de la filtración glomerular.,5. Reducción de la liberación del péptido natriurético auricular.,1,2005
123. La ACTH u hormona adrenocorticotrópica:,1. Se secreta en respuesta al aumento del sodio plasmático.,2. Se sintetiza en la hipotálamo.,3. Estimula la secreción de esteroides en la médula suprarrenal.,4. Regula la síntesis de hormonas glucocorticoideas.,5. Incrementa el riego sanguíneo adrenal.,4,2005
124. La aldosterona se sintetiza:,1. En la médula suprarrenal.,2. Tras la estimulación por un factor hipotalámico.,3. A partir del colesterol.,4. En la zona fascicular de la corteza suprarrenal.,5. A partir del aminoácido tirosina.,3,2005
125. La secreción de hormona del crecimiento es estimulada por:,1. Somatostatina.,2. Glucocorticoides.,3. Factores de crecimiento tipo insulina (IGF).,4. Vigilia.,5. Hipoglucemia.,5,2005
126. Durante la espiración pasiva:,1. Aumenta la presión alveolar.,2. Aumenta el volúmen de líquido intrapleural.,3. La presión intrapleural se hace más negativa.,4. No cambia la presión transpulmonar.,5. Se contraen los músculos respiratorios.,1,2005
127. La respiración espontánea cesa después de:,1. Sección del tallo encefálico por arriba de la protuberancia.,2. Sección caudal del tallo cerebral a nivel del bulbo.,3. Vagotomía bilateral.,4. Sección espinal a nivel del primer segmento torácico.,5. Bloqueo farmacológico de los músculos intercostales internos.,2,2005
128. Los quimiorreceptores bulbares se estimulan fisiológicamente por:,1. Disminución del pH en el líquido cefalorraquídeo (LCR).,2. Aferencias del centro respiratorio bulbar.,3. Disminución de la presión parcial de O 2 arterial.,4. Aumento en la presión osmótica del líquido LCR.,5. Disminución en el volumen del LCR.,1,2005
129. El agente surfactante:,1. Es sintetizado por los neumocitos tipo I.,2. Reduce la tensión superficial alveolar.,3. Favorece la existencia de alveolos de diferente tamaño.,4. Disminuye la difusión de gases.,5. Su concentración depende del radio alveolar.,2,2005
130. El CO 2 sanguíneo se transporta mayoritariamente:,1. En forma de bicarbonato.,2. Disuelto en el plasma.,3. En forma de compuestos carbamínicos.,4. Ligado a la hemoglobina.,5. Unido a la mioglobina.,1,2005
131. El ritmo respiratorio se genera en:,1. En los músculos respiratorios.,2. En el bulbo.,3. En el hipotálamo.,4. La corteza cerebral.,5. En los cuerpos carotídeos.,2,2005
132. Las sales biliares:,1. Son productos de la degradación de la hemoglobina.,2. Son moléculas hidrófobas.,3. Ayudan a la absorción de vitaminas hidrosolubles.,4. Se sintetizan en la vesícula biliar.,5. Se absorben principalmente en el ileon distal.,5,2005
133. Estimula la secreción de gastrina gástrica la:,1. Secretina.,2. Colecistocinina.,3. GIP.,4. Acetilcolina.,5. HCl.,4,2005
