Question,Option_1,Option_2,Option_3,Option_4,RC,year
14. La succinato deshidrogenasa:,1. Promueve la síntesis de succinato a partir de succinil-CoA.,2. Es una enzima de la matriz mitocondrial que oxida el fumarato a succinato.,3. Es una flavoproteína integral de la membrana mitocondrial interna que oxida el succinato a fumarato.,4. Utiliza NAD+ como aceptor de electrones.,3,2023
"15. En la regulación de la expresión génica en eucariotas, un “enhancer” (potenciador o amplificador):",1. Es una secuencia de ARN mensajero localizado en el punto de inicio de la transcripción.,2. Es una proteína que modula el inicio de la transcripción.,3. Es una secuencia corta de ADN localizada en el punto de inicio de la transcripción.,"4. Puede estar localizado lejos de los genes sobre los que actúa, incluso en un cromosoma distinto.",4,2023
16. ¿Qué significa que el código genético es degenerado?:,1. Que una misma secuencia puede traducirse en ambos sentidos (5’→3’ y 3’→5’).,2. Que los aminoácidos pueden estar codificados por una secuencia de 3 o 4 nucleótidos.,3. Que un aminoácido puede ser codificado por más de un codón.,4. Que existen varios codones de inicio de la traducción.,3,2023
17. ¿Qué coenzima requiere la piruvato carboxilasa para la conversión de piruvato en oxalacetato?:,1. Tiamina pirofosfato.,2. Biotina.,3. Lipoato.,4. Tetrahidrofolato.,2,2023
18. ¿Cuál de los siguientes monosacáridos NO tiene6 átomos de carbono?:6 átomos de carbono?:,1. Ribulosa.,2. Glucosa.,3. Fructosa.,4. Manosa.,1,2023
19. Sobre las enzimas alostéricas:,1. La unión del efector alostérico a la enzima es irreversible.,2. Las enzimas alostéricas presentan una cinética sigmoidea.,3. El efector alostérico se une al sitio activo de la enzima.,4. Los efectores alostéricos transforman la holoenzima en apoenzima.,2,2023
20. ¿Cuál de los siguientes complejos de la cadena respiratoria mitocondrial NO contiene ninguna subunidad codificada por el ADN mitocondrial?:,1. Complejo I (NADH deshidrogenasa).,2. Complejo II (Succinato deshidrogenasa).,"3. Complejo III (Ubiquinona, citocromo C oxidorreductasa).",4. Complejo IV (Citocromo oxidasa).,2,2023
21. ¿Cuál de los siguientes aminoácidos se considera esencial?:,1. Alanina.,2. Serina.,3. Leucina.,4. Asparagina.,3,2023
"22. Sobre la -oxidación de los ácidos grasos, es verdadero que:",1. Se produce en el citosol.,2. Tiene como objetivo final producir moléculas de acetil-CoA.,3. El defecto genético más común relacionado con la -oxidación de los ácidos grasos es la deficiencia de la enzima VLCAD.,4. Solo es posible en ácidos grasos de cadena par.,2,2023
23. ¿Cuál de los siguientes procesos tiene lugar en más de un compartimento celular?:,1. Biosíntesis de ácidos grasos.,2. Glucólisis.,3. Ciclo de la urea.,4. Vía de las pentosas fosfato.,3,2023
24. ¿Cuál es la diferencia entre las enzimas sintasas y las enzimas sintetasas?:,1. Las enzimas sintasas no utilizan ATP.,2. Las enzimas sintasas son las precursoras de las sintetasas.,3. Las enzimas sintasas catalizan reacciones de hidrólisis.,4. No existe diferencia entre ambas.,1,2023
25. ¿Cuál de los siguientes efectos biológicos está producido por la acción de la insulina?:,1. Aumento de la degradación de glucógeno.,2. Aumento de la glucólisis.,3. Disminución de la síntesis de ácidos grasos.,4. Disminución de la captación de glucosa en el hígado.,2,2023
26. ¿Cuál de los siguientes aminoácidos se sintetiza a partir de la ribosa 5-fosfato?:,1. Histidina.,2. Aspartato.,3. Alanina.,4. Prolina.,1,2023
27. ¿Cuál de las siguientes lipoproteínas contiene apolipoproteína A1?:,1. VLDL.,2. HDL.,3. IDL.,4. LDL.,2,2023
28. La esfingomielina es un esfingolípido formado por:,1. Una ceramida y un grupo de fosforilcolina.,2. Una ceramida y un ácido graso.,3. Una esfingosina y un ácido graso.,4. Una esfingosina y un azúcar.,1,2023
29. ¿Cuál es el paso limitante en la biosíntesis de ácidos grasos?:,1. La formación de palmitato.,2. La condensación de un grupo acilo activado y dos carbonos procedentes del malonil-CoA.,3. La síntesis de malonil-CoA en la reacción catalizada por la acetil-CoA carboxilasa.,4. La reducción del doble enlace para formar el correspondiente grupo acilo saturado.,3,2023
"30. El precursor común en la síntesis de adrenalina, noradrenalina y dopamina es:",1. Tirosina.,2. Triptófano.,3. Arginina.,4. Metionina.,1,2023
31. El ATP es un ejemplo de:,1. Desoxirribonucleótido trifosfato.,2. Ribonucleósido.,3. Ribonucleótido.,4. Ácido nucleico.,3,2023
32. Señale la opción que NO deriva en anemia megaloblástica:,1. Déficit de cobalamina.,2. Déficit de hierro.,3. Déficit de ácido fólico.,4. Síndrome de Lesch-Nyhan.,2,2023
"33. En el metabolismo del glucógeno, señale la respuesta INCORRECTA:",1. La síntesis del glucógeno requiere la intervención de la enzima fosforilasa.,2. La fosforilasa se regula por interacciones alostéricas y por fosforilación reversible.,3. La adrenalina y el glucagón indican la necesidad de degradar el glucógeno.,"4. El glucógeno está formado por unidades de glucosa unidas por enlaces glicosídicos α-1,4 y ramificaciones con enlaces glicosídicos α1,6.",1,2023
34. ¿Cuál de las siguientes enzimas cataliza una reacción irreversible de la gluconeogénesis?:,1. Gliceraldehido 3-fosfato deshidrogenasa.,2. Fosfoglicerato quinasa.,"3. Fructosa 1,6-bisfosfatasa.",4. Enolasa.,3,2023
"35. ¿Cómo afecta la unión de 2,3-bisfosfoglicerato (BPG) a la afinidad de la hemoglobina por el oxígeno?:",1. Reduce la afinidad uniéndose a un sitio alejado del sitio de fijación del O2.,2. Aumenta la afinidad uniéndose a un sitio alejado del sitio de fijación del O2.,3. Reduce la afinidad uniéndose al sitio de fijación del O2.,4. Aumenta la afinidad uniéndose al sitio de fijación del O2.,1,2023
36. ¿Cuál de los siguientes elementos traza NO tiene ninguna función conocida en el organismo y puede ser un importante agente tóxico?:,1. Molibdeno.,2. Selenio.,3. Aluminio.,4. Cromo.,3,2023
37. La prueba de referencia para identificar la presencia del SARS-CoV-2 es la reacción en cadena de la polimerasa con transcriptasa inversa (RT-qPCR). ¿Qué parámetro se valora para interpretar un resultado como positivo o negativo?:,1. El tiempo que tarda en realizarse la RTqPCR.,2. El valor umbral del número de ciclos (Ct).,3. La temperatura de desnaturalización de las hebras de ADN.,4. La intensidad de la señal fluorescente en el décimo ciclo de amplificación.,2,2023
38. Indique cuál de las siguientes parejas de “transportador de glucosa (GLUT) – tejido de expresión principal” es la correcta:,1. GLUT2 – Hígado.,2. GLUT3 – Músculo.,3. GLUT1 – Intestino delgado.,4. GLUT4 – Cerebro.,1,2023
39. La osmolaridad es la medición de la concentración de solutos definida como:,1. Número de osmoles de un soluto por litro de disolución (Osm/L).,2. Número de osmoles de un soluto por kilogramo de disolución (Osm/kg).,3. Número de osmoles de un soluto por mililitro de disolución (Osm/mL).,4. Número de osmoles de un soluto por miligramo de disolución (Osm/mg).,1,2023
40. La enfermedad de la orina con olor a jarabe de arce está causada por una deficiencia de:,1. Fenilalanina hidroxilasa.,2. Complejo deshidrogenasa del α-cetoácido de cadena ramificada.,3. Arginasa.,4. Cistationina β-sintasa.,2,2023
