year,exam,question,option1,option2,option3,option4,option5,correct
2024,bir,18. Los estrógenos:,1. Estimulan el desarrollo de los genitales internos femeninos.,2. Producen natriuresis y diuresis.,3. Promueven la osteoporosis.,4. Inhiben el cierre de las placas epifisarias.,,1
2024,bir,19. En el inicio de la fase lútea ovárica:,1. El folículo se transforma en cuerpo albicans.,2. Las células luteinizadas secretan progesterona.,3. El endometrio comienza su proliferación.,4. Se estimula la ovulación.,,2
2024,bir,"20. En la mujer, durante el embarazo, disminuye:",1. La volemia.,2. La contractilidad uterina.,3. La secreción de aldosterona.,4. El metabolismo basal.,,2
2024,bir,21. Lesiones en el hipotálamo ventromedial provocan:,1. Afagia y pérdida de peso.,2. Ingesta excesiva y obesidad.,3. Disminución de la ingesta hídrica.,4. Caquexia.,,2
2024,bir,"22. Sobre la deglución, es cierto que:",1. El bolo alimenticio es enviado a la orofaringe de forma involuntaria.,2. El paso del alimento de la faringe al esófago es un acto voluntario.,3. Su control nervioso (centro de la deglución) se sitúa en el bulbo raquídeo y parte inferior de la protuberancia.,4. Durante la fase faríngea la respiración se estimula momentáneamente.,,3
2024,bir,"23. Sobre la salivación, podemos afirmar que:","1. Es la única secreción digestiva que está bajo doble control, nervioso y hormonal.",2. Es estimulada vía parasimpática a través de los nervios facial (VII) y glosofaríngeo (IX).,3. Simpático y parasimpático la regulan siempre de forma antagónica.,4. Es inhibida por IP 3/Ca2+ vía parasimpática.,,2
2024,bir,24. La circulación enterohepática se refiere a:,1. La velocidad de vaciamiento del intestino delgado y al grado de contracción del esfínter de Oddi.,2. El flujo de secreciones pancreáticas al duodeno.,3. El reflujo del contenido del intestino grueso al intestino delgado.,4. La reabsorción ileal de sales de ácidos biliares.,,4
2024,bir,25. Necesita para su absorción intestinal el factor intrínseco secretado por las células parietales u oxínticas del estómago:,1. Vitamina B9 o ácido fólico.,2. Vitamina C o ácido ascórbico.,3. Vitamina D (D2 o ergocalciferol y D3 o colecalciferol).,4. Vitamina B12 o cobalamina.,,4
2024,bir,26. Las estructuras implicadas en el mecanismo de filtración glomerular renal son:,"1. Células endoteliales, membrana basal y podocitos.","2. Células epiteliales del túbulo proximal, cápsula de Bowman y células mesangiales.","3. Tejido conjuntivo, células mesangiales, y cápsula de Bowman.","4. Vasa recta, células mesangiales y cápsula de Bowman.",,1
2024,bir,27. Respecto a la reabsorción renal de bicarbonato en el túbulo proximal es FALSO que:,"1. Implica un trasportador a través de la membrana apical, y otro en la membrana basolateral.",2. Implica un transportador a través de la membrana basolateral.,3. Procede del bicarbonato filtrado en una proporción 1:1.,4. Necesita de la actividad de la anhidrasa carbónica.,,1
2024,bir,28. En relación con el manejo renal del Na+ es FALSO que:,1. El aumento de la presión coloidosmótica glomerular favorece la filtración de Na+.,2. La filtración glomerular de Na+ es favorecida por la menor resistencia en la arteriola aferente que en la eferente.,3. El mayor porcentaje del Na+ filtrado se reabsorbe en el túbulo proximal de la nefrona.,4. La aldosterona regula la concentración plasmática de Na+ actuando a nivel del túbulo distal y colector.,,1
2024,bir,29. La estimulación de la actividad simpática provoca:,1. Aumento de la resistencia arteriolar aferente y disminución del flujo sanguíneo glomerular.,2. Aumento de la presión hidrostática en la cápsula de Bowman y de la filtración glomerular.,3. Aumento de la presión coloidosmótica en capilares glomerulares y de la filtración glomerular.,4. Disminución de la resistencia arteriolar aferente y aumento de la presión hidrostática capilar glomerular.,,1
2024,bir,30. Son respuestas a la alcalosis metabólica:,"1. Aumento de la presión parcial de CO 2, de la bicarbonaturia y de la cetonemia.","2. Disminución de la presión parcial de CO2, de la bicarbonaturia y de la cetonemia.",3. Disminución de la kalemia y aumento de la natremia.,4. Aumento de la presión parcial de O 2 y disminución de la bicarbonaturia y de la cetonuria.,,1
2024,bir,31. ¿Cuál es la osmolaridad (mOsm/l) de una solución que contiene NaCl 150 milimolar y KCl 50 milimolar?:,1. 200.,2. 250.,3. 300.,4. 400.,,4
2024,bir,32. ¿Qué vía de coagulación comienza con tromboplastina tisular?:,1. Vía extrínseca.,2. Vía intrínseca.,3. Vía común.,4. Estabilización de la fibrina.,,1
2024,bir,33. Sólo un grupo sanguíneo contiene aglutininas anti-A y anti-B:,1. 0.,2. A.,3. B.,4. AB.,,1
2024,bir,"34. ¿Qué unidad de sangre comporta los menores riesgos de inducir una reacción transfusional inmediata en un receptor B , Rh+ (B, rhesus positivo)?:","1. Sangre completa A, Rh+.","2. Sangre completa O, Rh+.","3. Sangre completa AB, Rh+.","4. Concentrados de eritrocitos O, Rh+.",,4
2024,bir,"35. Sobre los líquidos corporales, es CIERTO que:",1. El efecto Donnan es atribuible a los cationes no ionizados.,2. Los aniones no difusibles son principalmente extracelulares.,3. El plasma y el líquido intersticial no difieren esencialmente en sus concentraciones iónicas.,4. La mayor cantidad de K+ se encuentra en el plasma.,,3
2024,bir,36. Se denomina distensibilidad pulmonar:,1. Al volumen que se expanden los pulmones por cada aumento unitario de presión transpulmonar.,2. Al volumen residual.,3. Al volumen de reserva menos el volumen corriente.,4. Al volumen de reserva inspiratoria.,,1
2024,bir,"37. La cantidad máxima de aire que puede expulsar una persona, tras llenar los pulmones hasta su máxima dimensión y espirando la máxima cantidad, se denomina:",1. Capacidad pulmonar total.,2. Capacidad residual funcional.,3. Capacidad vital.,4. Capacidad inspiratoria.,,3
2024,bir,38. El cociente de la tasa de producción de CO2 respecto a la tasa de captación de O2 se denomina:,1. Cociente de intercambio respiratorio.,2. Cociente alveolar.,3. Cociente residual funcional.,4. Cociente de reserva inspiratoria.,,1
2024,bir,39. La excesiva insuflación pulmonar activa una respuesta de retroalimentación que desconecta la rampa respiratoria impidiendo la inspiración adicional. Este hecho se denomina:,1. Ley de Henry.,2. Efecto Bohr.,3. Reflejo de insuflación de Hering-Breuer.,4. Efecto Haldane.,,3
2024,bir,40. La diferencia entre la presión que hay en el interior de los alvéolos y la que hay en las superficies externas de los pulmones se denomina:,1. Presión transpulmonar.,2. Presión alveolar.,3. Presión neta.,4. Presión pleural.,,1
2024,bir,41. ¿A partir de qué tejido se desarrollan las valvas de las válvulas atrioventriculares cardíacas?:,1. Cresta neural.,2. Endodermo.,3. Miocardio.,4. Endocardio.,,4
2024,bir,42. ¿La expresión de qué factor de transcripción marca el inicio de la diferenciación de progenitores pancreáticos a partir del endodermo?:,1. Pdx1.,2. Scl/Tal1.,3. p53.,4. Pu.1.,,1
2024,bir,43. ¿Qué proceso celular media la aparición del fenotipo ectomesenquimático y migratorio en las células de la cresta neural?:,1. Transición epitelio-mesénquima.,2. Transición mesénquima-epitelio.,3. Apoptosis.,4. Autofagia.,,1
2024,bir,44. ¿En qué dominios específicos se encuentran las células madre intestinales  de las que depende la renovación del epitelio digestivo?:,1. En los villi (vellosidades) intestinales.,2. En la pared de los vasos sanguíneos subendodérmicos.,3. En el tejido conectivo de la mucosa intestinal.,4. En las criptas intestinales.,,4
2024,bir,45. ¿De la interacción entre qué dos tejidos depende el desarrollo embrionario de los folículos pilosos?:,1. Dermis y vasos sanguíneos.,2. Epidermis y sistema nervioso periférico.,3. Epidermis y dermis.,4. Estratos basales y córneos de la epidermis.,,3
2024,bir,46. ¿Cómo se llama el proceso mediante el cual el agua se mueve a través de las membranas celulares siguiendo el gradiente de concentración de solutos?:,1. Difusión facilitada.,2. Transporte activo.,3. Ósmosis.,4. Endocitosis.,,3
2024,bir,47. ¿Qué molécula es esencial para la importación de proteínas grandes al núcleo a través del poro nuclear en células eucariotas?:,1. GTP.,2. ATP.,3. ARN mensajero.,4. ADP,,1
2024,bir,48. ¿Qué mecanismo actúa para transmitir la señal en un receptor acoplado a un canal iónico localizado en una sinapsis neuronal?:,"1. Reciben la señal de un neurotransmisor, cambian de conformación y activan a una proteína G.",2. La unión de un neurotransmisor activa a una enzima acoplada al receptor que bombea iones en contra de gradiente.,3. Actúan directamente sobre la expresión génica de la neurona postsináptica.,4. Transducen la señal química de un neurotransmisor en una señal eléctrica (cambio de voltaje de la membrana plasmática).,,4
2024,bir,49. ¿Cuál es la enzima que termina la señalización mediada por el AMP cíclico?:,1. AMP cíclico fosfodiesterasa.,2. Adenililciclasa.,3. ATPasa.,4. Fosfolipasa C.,,1
2024,bir,50. ¿Cuál de los siguientes NO es de la familia de los filamentos intermedios?:,1. Filamentos de queratina.,2. Filamentos de vimentina.,3. Neurofilamentos.,4. Microfilamentos de actina.,,4
2024,bir,51. Acerca del transportador de glucosa dependiente de Na + de la membrana de las células eucariotas animales:,1. El transporte de glucosa es contra gradiente.,2. Transporta Na+ al exterior de la célula.,3. El transporte es de tipo antiporte acoplado.,4. Es una ATPasa dependiente de Ca2+.,,1
2024,bir,52. La enzima ATP sintasa implicada en la fosforilación oxidativa mitocondrial:,1. Bombea protones al espacio intermembrana mitocondrial para sintetizar ATP.,"2. Está formada por dos subunidades, una central y otra periférica.",3. Puede actuar como ATPasa bombeando protones al espacio intermembrana mitocondrial.,4. Se localiza en el espacio intermembrana mitocondrial.,,3
2024,bir,53. Las cohesinas:,1. Condensan filamentos de colágeno.,2. Aglutinan vesículas citoplásmicas.,3. Mantienen cromátidas hermanas unidas.,4. Forman haces de filamentos de colágeno.,,3
2024,bir,54. Respecto a las proteínas SNARE se sabe que:,1. Al unirse las SNAREv con las SNAREt se acercan las membranas de la zona de fusión de la vesícula (v) y la diana (t).,2. La separación de las SNAREv y SNAREt requiere Ca2+.,3. Las SNAREv impiden el recubrimiento de clatrina.,4. Las SNAREv y SNAREt atraen moléculas de agua a la zona de fusión.,,1
2024,bir,55. ¿Qué tipo celular es el responsable de producir anticuerpos?:,1. Fibroblastos.,2. Células plasmáticas o plasmocitos.,3. Macrófagos.,4. Células cebadas o mastocitos.,,2
2024,bir,56. ¿Qué tipo de colágeno es el más abundante en el tejido óseo?:,1. Tipo I.,2. Tipo II.,3. Tipo III.,4. Tipo IV.,,1
2024,bir,57. ¿Qué componentes forman la tríada en el músculo estriado esquelético?:,1. Dos túbulos T y una cisterna terminal del retículo sarcoplasmático.,2. Dos cisternas terminales del retículo sarcoplasmático y un túbulo T.,3. Dos sarcómeras y un túbulo T.,4. Dos túbulos T y una sarcómera.,,2
2024,bir,58. ¿Qué componente celular forma los grumos o gránulos de Nissl de las neuronas?:,1. Aparato de Golgi.,2. Lisosomas.,3. Retículo endoplásmico rugoso y ribosomas libres.,4. Retículo endoplásmico liso.,,3
2024,bir,59. Señale cuál de las siguientes opciones justifica que la pancreatitis sea especialmente grave:,1. Su localización en el cuadrante superior izquierdo del marco intestinal la hace inaccesible para la cirugía.,2. Su carácter exclusivamente endocrino y la abundancia de enzimas digestivas como la ptialina en sus productos de secreción.,3. La liberación autolítica de enzimas como el tripsinógeno.,4. Su escaso árbol vascular y la falta de vasos linfáticos.,,3
2024,bir,60. En el sistema nervioso el periodo refractario absoluto:,1. Ocurre tras el periodo refractario relativo.,2. Es el periodo durante el cual para generar un nuevo potencial de acción se requiere un estímulo de mayor intensidad.,3. Ocurre simultáneamente con el periodo refractario relativo.,"4. Es el periodo durante el cual no se puede generar un nuevo potencial de acción, aunque el estímulo sea de gran intensidad.",,4
2024,bir,61. Cuando la luz alcanza la retina ¿que atraviesa en primer lugar?:,1. Coroides.,2. Capa de los conos y bastones.,3. Capa de células pigmentarias.,4. Capa de las fibras del nervio óptico.,,4
2024,bir,62. El sistema nervioso central necesita aclarar sus productos catabólicos hacia el líquido cefalorraquídeo (LCR) que circula por los ventrículos cerebrales y el espacio subaracnoideo. ¿Cómo se reabsorbe el LCR?:,1. Se drena a los vasos linfáticos del conducto torácico.,2. Lo reabsorben los propios plexos coroideos.,3. Se reabsorbe mediante vellosidades aracnoideas.,4. Mediante vasos linfáticos del sistema nervioso central.,,3
2024,bir,63. Los vasos sanguíneos de diámetro mayor que los capilares están constituidos por:,1. Una túnica íntima solamente.,2. Una túnica íntima y otra media.,"3. Una túnica íntima, una media y otra adventicia.","4. Una túnica íntima, una media (que puede faltar en vasos delgados) y otra adventicia.",,4
2024,bir,64. Los corpúsculos de Hasall son propios de:,1. La corteza del linfonodo.,2. La médula del riñón.,3. La corteza del cerebro.,4. La médula del timo.,,4
2024,bir,65. El aparato yuxtaglomerular renal lo forman:,1. Las células yuxtaglomerulares.,2. Las células mesangiales extraglomerulares y las células yuxtaglomerulares.,"3. Las células mesangiales extraglomerulares, las células yuxtaglomerulares y la mácula densa.","4. Las células mesangiales extraglomerulares, las células yuxtaglomerulares, la mácula densa y el glomérulo renal.",,3
2024,bir,66. Las células de Clara son propias de:,1. Tráquea.,2. Alveolos.,3. Bronquios.,4. Bronquiolos.,,4
2024,bir,67. El espacio de Disse se encuentra en:,1. Bazo.,2. Hígado.,3. Páncreas.,4. Riñón.,,2
2024,bir,68. ¿Cuál de las siguientes es una definición adecuada de memoria inmunológica?:,1. El mecanismo por el cual un organismo impide el desarrollo de una respuesta inmunitaria contra los tejidos propios del huésped.,2. El mecanismo por el que un organismo evita la exposición a microbios.,"3. La persistencia de anticuerpos y linfocitos específicos de un patógeno una vez eliminada la infección original, de modo que se puede prevenir la reinfección.",4. El proceso de reducción o eliminación de un patógeno.,,3
2024,bir,69. Indique cuál de los siguientes órganos se considera sistema inmune primario:,1. Médula ósea.,2. Ganglios linfáticos.,3. Bazo.,4. Mucosa intestinal.,,1
2024,bir,70. ¿Cuál de los siguientes eventos NO se considera dentro del proceso de la inflamación?:,1. Secreción de citocinas.,2. Secreción de quimiocinas.,3. Reclutamiento de células inmunitarias innatas.,4. Constricción de los vasos sanguíneos.,,4
2024,bir,71. ¿Qué molécula de reconocimiento inmunitario innato permite a  los macrófagos reconocer y fagocitar bacterias?:,1. FcRγ.,2. C3b.,3. C7.,4. IL2R.,,2
2024,bir,72. ¿Cuál de estas células puede presentar antígeno?:,1. Linfocito B.,2. Linfocito T.,3. Linfocito citotóxico.,4. Hemocitoblasto.,,1
2024,bir,73. ¿Existe alguna célula que pueda expresar los marcadores CD4 y CD8 simultáneamente?:,"1. No, ninguna.","2. Si, en linfocitos B.","3. Si, en cierto estadio de los timocitos.",4. En un tipo de linfocito de mucosa.,,3
2024,bir,74. El tejido linfoideo asociado a mucosas de tipo “GALT”:,1. Se encuentra en el timo.,2. Se asocia a células denominadas M epiteliales.,3. Está compuesto exclusivamente de células epiteliales.,4. Se asocia al tejido adiposo.,,2
2024,bir,75. ¿Cuál es la principal función de las células NK?:,1. Citotoxicidad natural.,2. Producción de anticuerpos.,3. Presentación de antígenos.,4. Fagocitosis.,,1
2024,bir,76. ¿Qué moléculas presentan antígenos a los linfocitos T?:,1. Inmunoglobulinas.,2. Receptores Toll.,3. MHC.,4. Complemento.,,3
2024,bir,77. ¿Qué clase de inmunidad es mediada por los linfocitos T citotóxicos?:,1. Inmunidad humoral.,2. Inmunidad celular.,3. Inmunidad innata.,4. Inmunidad pasiva.,,2
2024,bir,78. ¿Cuál es el principal objetivo de la selección clonal en los linfocitos?:,1. Aumentar la especificidad de anticuerpos.,2. Eliminar antígenos de origen bacteriano.,3. Generar un repertorio de células específicas para antígenos.,4. Presentar antígenos a los linfocitos T.,,3
2024,bir,79. ¿Qué citocina es crucial para la activación de los macrófagos?:,1. IFN-γ.,2. IL-4.,3. TNF-α.,4. IL-10.,,1
2024,bir,80. ¿Cuál es la función principal del sistema del complemento?:,1. Activar la inmunidad adaptativa.,2. Opsonizar y destruir patógenos.,3. Producir citocinas.,4. Regular la producción de anticuerpos.,,2
2024,bir,81. ¿Cuál es el principal mecanismo por el cual los linfocitos T CD8+ eliminan células infectadas?:,1. Citotoxicidad mediada por perforinas y granzimas.,2. Producción de anticuerpos.,3. Activación del complemento.,4. Fagocitosis.,,1
2024,bir,82. ¿Cuál de las siguientes células del sistema inmune NO es de estirpe linfoide?:,1. Células de Langerhans.,2. Células NK.,3. ILC.,4. Células plasmáticas.,,1
2024,bir,83. ¿Cuál de los siguientes mecanismos inmunológicos NO forma parte de la tolerancia periférica a los autoantígenos en los linfocitos T?:,1. Apoptosis de células efectoras.,2. Edición del receptor de los linfocitos B.,3. Anergia (falta de respuesta funcional) de las células efectoras.,4. Supresión de células efectoras por células T reguladoras.,,2
2024,bir,84. ¿Qué tipo de célula es la principal responsable de la respuesta inmune adaptativa?:,1. Macrófago.,2. Neutrófilo.,3. Eosinófilo.,4. Linfocito.,,4
2024,bir,"85. El paso de los anticuerpos maternos al feto que permite a los recién nacidos combatir las infecciones, se considera:",1. Inmunización adaptativa humoral.,2. Inmunización pasiva.,3. Inmunización mixta.,4. Inmunización activa.,,2
2024,bir,86. ¿Cuál de las siguientes señales NO es producida tras la unión del ligando al receptor tipo I para el TNF?:,1. Inhibición de la transcripción génica de mediadores inflamatorios y de supervivencia.,2. Activación del NF-B.,3. La inducción de la muerte c elular por apoptosis.,4. Activación de la cinasa (quinasa) MAP.,,1
2024,bir,87. La tolerancia central a lo propio es un proceso que se adquiere durante el desarrollo de:,1. Los linfocitos T.,2. Los linfocitos T y B.,3. Las células dendríticas.,4. Los linfocitos T y las células dendríticas.,,2
2024,bir,88. ¿Cómo se denomina al síndrome relacionado con mutación en LYST que conlleva a un defecto en la exocitosis de gránulos secretores y en la función lisosómica de muchos tipos celulares?:,1. Síndrome de Kostmann.,2. Enfermedad granulomatosa crónica.,3. Neutropenia congénita severa.,4. Síndrome de Chédiak-Higashi.,,4
2024,bir,89. ¿Qué correceptores principales están implicados en la infección por el virus causante del síndrome de inmunodeficiencia humana?:,1. CD5 y CCR5.,2. CD5 y CXCR4.,3. CXCR5 y CXCR4.,4. CXCR4 y CCR5.,,4
2024,bir,90. ¿Qué célula es la principal secretora de histamina al activarse?:,1. Mastocitos.,2. Eosinófilos.,3. Neutrófilos.,4. Macrófagos.,,1
2024,bir,91. ¿Cuál es el principal isotipo de inmunoglobulina presente en las secreciones  mucosas?:,1. IgA.,2. IgE.,3. IgG.,4. IgM.,,1
2024,bir,92. ¿Cuál es el mecanismo de acción principal de los anticuerpos biespecíficos tipo  BiTE (Bi-specific T-cell Engager) en la inmunoterapia contra el cáncer?:,1. Bloquean la señalización de los receptores PD-1 en las células T para   potenciar la respuesta inmune contra los tumores.,2. Inducen apoptosis en células tumorales mediante la activación de  receptores de muerte celular Fas.,"3. Unen simultáneamente a células T y células tumorales, activando las   células T y dirigiéndolas a eliminar  las células tumorales.",4. Neutralizan citocinas proinflamatorias en el microambiente tumoral   para reducir la inflamación crónica.,,3
2024,bir,93. ¿Cuál de las siguientes interleucinas participa en la diferenciación de los   linfocitos T CD4+ en células Th17?:,1. IL-4.,2. IL-12.,3. IL-6.,4. IL-10.,,3
2024,bir,94. Indique cuál de los siguientes es un interferón (IFN) de tipo II:,1. IFNα.,2. IFNω.,3. IFNγ.,4. IFNβ.,,3
2024,bir,95. ¿Cuál de los siguientes NO es un receptor de membrana para PAMP (Pathogen Associated Molecular Patterns) o DAMP (Danger Associated Molecular Patterns)?:,1. TLR.,2. LRP5.,3. NLR.,4. CLR.,,2
2024,bir,"96. El z -score, puntuación z o puntuación estandarizada ( 𝒛𝒊 = (𝒙𝒊 −𝒙̅)/𝒔 donde 𝒙̅ es la media y 𝒔 la desviación típica) de una observación es 2, entonces:",1. La distribución de la variable X NO es normal.,2. La observación está por encima del cuantil 98%.,3. La observación está por encima de la media más dos veces su desviación típica.,4. La observación está por debajo de la media 2 menos dos veces su desviación típica.,,3
2024,bir,97. El modelo de distribución más apropiado para analizar el número de infectados mensuales que acuden a un servicio de urgencias de una zona concreta es:,1. La distribución de Poisson.,2. La distribución binomial.,3. La distribución binomial negativa.,4. La distribución uniforme discreta.,,1
2024,bir,"98. En un informe se ha aplicado un test Chi cuadrado a una tabla de contingencia 2x3 donde el valor mínimo de las frecuencias esperadas en cada celda es 15 obteniéndose un p-valor de 0,49. Entonces:",1. La conclusión es que hay dependencia positiva entre las categorías por filas y por columnas de la tabla.,"2. El valor mínimo de las frecuencias esperadas es demasiado bajo y por tanto, el test que se ha aplicado no es apropiado en este contexto.",3. Algo se ha hecho incorrectamente ya que no es posible obtener un p -valor tan elevado.,4. La conclusión es que las categorías por filas y por columnas de la tabla se pueden aceptar como independientes.,,4
2024,bir,"99. Si tenemos dos eventos aleatorios A y B que son independientes, entonces:",1. Su intersección (la probabilidad de que ocurran los dos a la vez) es cero.,"2. Su unión (la probabilidad de que ocurra alguno de ellos) es la suma de las probabilidades de los eventos, esto es, P(A)+P(B).","3. Su intersección (la probabilidad de que ocurran los dos a la vez) es el producto de las probabilidades de los dos eventos, esto es, P(A)xP(B).",4. Su unión (la probabilidad de que ocurra alguno de ellos) es la suma de la probabilidad del mayor más la probabilidad de la intersección.,,3
2024,bir,100. Se ha construido una recta de regresión (regresión lineal simple) entre las variables X e Y (Y=a+bX+e) que han sido previamente estandarizadas (tienen media cero y varianza unidad). Entonces:,1. La correlación lineal (r) entre X e Y es cero.,2. El parámetro pendiente (b) es cero.,3. El parámetro ordenada en el origen (a) es cero.,4. El parámetro pendiente (b) es igual a uno.,,3
2024,bir,101. ¿Cuál es la diferencia entre  un desoxinucleótido y un didesoxinucleótido?:,1. Al desoxinucleótido le  falta un grupo  3'hidroxilo en su azúcar.,2. Al didesoxinucleótido le falta un grupo 3'hidroxilo en su azúcar.,3. Al desoxinucleótido le  falta un  grupo 5'fosfato.,4. Al didesoxinucleótido le falta un grupo 5'fosfato.,,2
2024,bir,102. ¿Cuál es la cantidad aproximada de genes que codifican proteínas (genes  codificantes) presentes en el genoma humano?:,1. 2.000.,2. 20.000.,3. 200.000.,4. 1.200.000.,,2
2024,bir,103. ¿Cuál es la mejor descripción del  cambio genético siguiente: c.1138G>A?:,1. Transcripción.,2. Transversión.,3. Transición.,4. Traducción.,,3
2024,bir,"104. ¿Qué término describe mejor las siguientes unidades genéticas en humanos:  LINE‐1, SINE y Alu?:",1. Elementos transponibles.,2. Genes HOX.,3. Elementos P.,4. Genes Homeobox.,,1
2024,bir,105. ¿En qué momento ocurre la recombinación (entrecruzamiento) durante la meiosis?:,1. Mitosis.,2. Meiosis I.,3. Meiosis II.,4. Citocinesis.,,2
2024,bir,106. ¿Qué se analiza al      secuenciar el transcriptoma?:,1. ADN.,2. Metabolitos.,3. Proteínas.,4. ARN.,,4
2024,bir,107. ¿Cuál es el  cromosoma humano  más pequeño?:,1. 1.,2. 21.,3. 22.,4. Y.,,2
2024,bir,108. ¿Cuál de los siguientes conceptos se refiere a la presencia de dos o más poblaciones de  células con  información genética diferente en un individuo?:,1. Heterocigosidad.,2. Aneuploidía.,3. Mosaicismo.,4. Deleción.,,3
2024,bir,109. Si una persona manifiesta un carácter codificado por un gen que se localiza en el ADN mitocondrial ¿cuáles de sus ancestros deben haberlo manifestado?:,1. Su abuela materna y su madre.,2. Su abuelo paterno y su padre.,3. Sus dos abuelos maternos.,4. Sus dos abuelas.,,1
2024,bir,110. ¿Qué transcribe la ARN polimerasa II?:,1. Los ARN de transferencia y algunos ARN ribosómicos.,2. Los ARN ribosómicos y algunos ARN de transferencia.,3. Los ARN mensajeros y algunos ARN ribosómicos.,4. Los ARN mensajeros y algunos ARN no codificantes.,,4
2024,bir,111. La inactivación del cromosoma X:,1. Origina fenotipos en mosaico.,2. Favorece su inestabilidad cromosómica.,3. Incrementa las tasas de mutación de sus genes.,4. Impide su recombinación meiótica.,,1
2024,bir,112. Si un gen se localiza en el 13q14 significa que:,1. Está situado en el brazo largo del cromosoma 13.,2. Está situado en el cromosoma 13 y en el14.,3. Está situado en el brazo largo del cromosoma 14.,4. Está situado en el brazo corto del cromosoma 14.,,1
2024,bir,113. Cuando la expresión de un gen o de un par de genes enmascaran o modifican la expresión de otro gen o par génico se denomina:,1. Endogamia.,2. Eugenesia.,3. Euploidía.,4. Epistasia.,,4
2024,bir,114. La expresividad es:,1. La gravedad de la expresión del fenotipo en individuos que presentan el mismo genotipo causante de la enfermedad.,2. Probabilidad de que un gen presente cualquier nivel de expresión fenotípica.,3. El fenómeno de la diferente expresión de alelos dependiendo del progenitor de origen.,4. Rasgo que solo se expresa en un sexo.,,1
2024,bir,115. El orgánulo más asociado con herencia extranuclear es:,1. El ribosoma.,2. La mitocondria.,3. El aparato de Golgi.,4. Los lisosomas.,,2
