Question,Option_1,Option_2,Option_3,Option_4,RC,year
35. ¿Cuál es la forma mayo ritaria de transporte del anhídrido carbónico por la sangre?:,1. Unido a albúmina y globulinas.,2. Disuelto en el plasma sanguíneo.,3. En forma de ion bicarbonato.,4. Unido a proteínas intraeritrocitarias.,3,2021
36. La principal función de la vitamina B12 y el ácido fólico en la eritropoyesis es:,1. Producción de porfirina.,2. Formación de trifosfato de timidina.,3. Diapédesis de reticulocitos.,4. Estimular la formación de progenitores eritroides.,2,2021
37. El hierro absorbido del intestino es transportado en sangre por:,1. Apoferritina.,2. Hemosiderina.,3. Ferritina.,4. Transferrina.,4,2021
38. ¿Cuál es la osmolarida d (mOsm/L) de una solución que contiene NaCl 100 milimolar y KCl 50 milimolar?:,1. 300.,2. 150.,3. 250.,4. 600.,1,2021
39. ¿Qué vía de coagulación comienza con tromboplastina tisular?:,1. Vía intrínseca.,2. Vía extrínseca.,3. Vía común.,4. Fibrinolisis.,2,2021
40. El principal mecanismo por el que la heparina impide la coagulación de la sangre es:,1. Unirse al calcio.,2. Inhibir al factor tisular.,3. Activar la antitrombina III.,4. Inhibir al fibrinógeno.,3,2021
41. ¿Qué tipo de neuronas son las células olfatorias?:,1. No son neuronas.,2. Pseudopolares.,3. Bipolares.,4. Multipolares.,3,2021
42. ¿Qué sensación gustativa presenta la estimulación umbral más baja?:,1. Dulce.,2. Amargo.,3. Salado.,4. Ácido.,2,2021
43. La exposición de los ba stones a la luz determina la descomposición de la rodopsina y la consiguiente disminución de la conductancia de la membrana del bastón para iones sodio en su segmento externo. Este hecho determina:,1. Una despolarización.,2. Un potencial de acción.,3. Una hiperpolarización.,4. Una descarga capacitiva.,3,2021
44. ¿Quién es el responsable de la transducción mecanoeléctrica de las ondas sonoras?:,1. El martillo.,2. La membrana tectorial.,3. El órgano de Corti.,4. La rampa timpánica.,3,2021
45. ¿Qué determina que el sistema auditivo interprete un sonido como intenso?:,1. La inhibición de las células ciliadas.,2. Un aumento de la vibración de la membrana tectorial.,3. La estimulación de un pequeño número de células ciliadas.,4. Un aumento de la amplitud de vibración de la membrana basilar o de la región de la membrana basilar involucrada.,4,2021
46. ¿En qué fase de la meiosis se detiene la ovogénesis durante el desarrollo fetal hasta la pubertad?:,1. Diploteno de la meiosis I.,2. Diploteno de la meiosis II.,3. Metafase de meiosis I.,4. Metafase de meiosis II.,1,2021
47. ¿Cuál es el origen embriológico de los melanocitos?:,1. La somatopleura.,2. El ectodermo epidérmico no neural.,3. La cresta neural.,4. El tubo neural.,3,2021
48. ¿Qué es la focomelia?:,1. La falta parcial o total de una extremidad.,2. La fusión con acortamiento de los dedos de la mano y del pie.,3. El acortamiento significativo de todos los huesos de la extremidad.,4. Manos y pies conectados al tronco directamente o por huesos pequeños e irregulares.,4,2021
49. ¿Dónde se forman los centros de osificación secundarios?:,1. En las diáfisis.,2. En las epífisis.,3. En el cartílago de crecimiento.,4. En los huesos planos.,2,2021
50. ¿Cuál de las siguientes afirmaciones define las propiedades de las balsas lipídicas identificadas en la membrana plasmática?:,1. Contienen predominantemente dos especies de lípidos: colesterol y esfingomielina.,2. Se definen por ser altamente solubles en detergentes no iónicos.,3. En su composición nunca contienen glucolípidos.,"4. A pesar de presentar receptores de superficie celular, no se ha observado que estabilicen sus interacciones ni faciliten la señalización.",1,2021
51. ¿Cuál de las siguientes funciones NO está asociada a los microtúbulos?:,1. Participar en el mantenimiento estructural de los axones.,2. Formar parte de la estructura interna de los estereocilios (o microvellosidades) de las células auditivas del oído interno.,3. Formar la estructura interna de los cilios.,4. Generar el huso mitótico durante la división celular.,2,2021
52. ¿Cuál de los siguientes componentes es específicamente importante en el nivel de hidratación de la matriz extracelular?:,1. Integrinas.,2. Fibronectinas y lamininas.,3. Fibras de colágeno IV.,4. Glucosaminoglucanos.,4,2021
53. ¿Cómo regulan la progresión del ciclo celular las ciclinas?:,1. Activando directamente a ciertas proteínas G.,2. Induciendo la síntesis de receptores para factores de crecimiento.,3. Activando proteínas quinasas que son reguladores críticos de la división celular.,4. Aumentando la producción de ADN polimerasas.,3,2021
54. ¿Qué características presenta el proceso de apoptosis?:,1. Está provocado generalmente por las mismas causas que inducen la necrosis.,"2. Está inducida por la activación de caspasas, producida siempre por la liberación mitocondrial del citocromo c.",3. Produce una degradación reversible de la lámina nuclear por fosforilación.,4. Se caracteriza por la presencia de fosfatidilserina en la cara externa de la membrana plasmática.,4,2021
55. ¿Cuál de las siguientes proteínas interviene en las uniones adherentes de las células?:,1. Titina.,2. Cateninas.,3. Conexina.,4. Troponina.,2,2021
56. Para que una enzima se incorpore a los lisosomas debe:,1. Ir marcada con glucosa-6-fosfato.,2. Fijarse en la membrana del retículo endoplásmico rugoso.,3. Tener un grupo ácido.,4. Ir marcada con manosa-6-fosfato.,4,2021
57. ¿Qué proteína determina la longitud precisa de los filamentos de actina en el sarcómero?:,1. Troponina.,2. Titina.,3. Tropomiosina.,4. Nebulina.,4,2021
58. ¿Qué función NO es propia del retículo endoplásmico liso?:,1. Síntesis de hormonas esteroideas.,2. Síntesis de lípidos.,3. Detoxificación.,4. Proteólisis.,4,2021
59. Los receptores acoplados a proteína G:,1. Son receptores intracelulares que activan cinasas.,"2. Son transductores de señales que activan, entre otras rutas, vías metabólicas.",3. Intervienen en el transporte pasivo.,4. Actúan como intercambiadores iónicos.,2,2021
"60. La clasificación de un  epitelio estratificado como plano, cúbico o cilíndrico se determina por la forma de las:",1. Células basales.,2. Células intermedias.,3. Células superficiales.,4. Células más frecuentes.,3,2021
61. El tejido conjuntivo laxo es propio de:,1. Los ligamentos.,2. Los tendones.,3. La lámina propia de las mucosas.,4. La córnea.,3,2021
62. ¿Cuál de los siguientes órganos presenta una corteza con folículos y una médula con grandes vasos sanguíneos?:,1. Bazo.,2. Adenohipófisis.,3. Hígado.,4. Ovario.,4,2021
63. ¿Cuál de los siguientes tipos neuronales de la retina de los mamíferos carece de axón?:,1. Todas las neuronas tienen axón.,2. Neuronas horizontales.,3. Neuronas amacrinas.,4. Neuronas ganglionares.,0,2021
64. Los alveolos pulmonares se deben mantener dilatados para permitir el  intercambio gaseoso. Esta condición física solo se puede producir si:,1. Se produce surfactante pulmonar.,2. El tejido muscular mantiene los alveolos distendidos.,3. El cartílago mantiene dilatado el alveolo.,4. Las fibras elásticas regulan la tensión de la pared alveolar.,1,2021
65. En la mucosa gástrica las células de Paneth tienen la misión de:,1. Producir y secretar proteínas antimicrobianas.,2. Producir ácido clorhídrico.,3. Producir hormonas endocrinas y paracrinas.,4. Secretar moco para la protección de la pared gástrica.,1,2021
"66. En el núcleo celular se pueden distinguir zonas más oscuras e irregulares, electro-densas al microscopio electrónico, y zonas claras (no densas). Estas últimas corresponden a:",1. Cromatina inactiva o no transcripcional.,2. Un artefacto de tinción.,3. Las regiones que contienen genes que se transcriben (eucromatina).,4. Cromatina activa o heterocromatina.,3,2021
"67. ¿Dónde ocurre la fusión del espermatozoide y el oocito, también denominada fertilización?:",1. En el istmo del oviducto.,2. En la ampolla del oviducto.,3. En la región intramural del oviducto.,4. En el infundíbulo del oviducto.,2,2021
68. ¿Qué caracteriza al epitelio seudoestratificado columnar?:,1. Está compuesto por varias capas celulares.,2. Todas sus células alcanzan la superficie del epitelio.,3. Todas sus células descansan en la membrana basal.,4. El tamaño de la célula es siempre el mismo.,3,2021
69. ¿Qué función tienen las células caliciformes del intestino?:,1. Intervienen en la regeneración intestinal.,"2. Producen mucinógeno, como precursor de integrantes del moco, con acción protectora.",3. Aumentan la superficie de absorción intestinal.,4. Producen una proteína de acción bactericida llamada lisozima.,2,2021
70. ¿Qué células reticulares epiteliales componen los corpúsculos de Hassall del timo?:,1. Células tipo I.,2. Células tipo III.,3. Células tipo V.,4. Células tipo VI.,4,2021
71. ¿A qué células del sistema inmunitario afecta directamente el síndrome de DiGeorge?:,1. Macrófagos.,2. Células de Langerhans.,3. Linfocitos T.,4. Keratinocitos.,3,2021
72. Un hombre de 52 años que recibe radioterapia y fármacos citotóxicos para el tratamiento del cáncer sufre un daño importante en la médula ósea. ¿Cuál de los siguientes cambios es más probable que se produzca?:,1. Producción normal de todas las células sanguíneas debido a la hematopoyesis extramedular compensatoria.,2. Disminución de la producción de linfocitos B pero no de linfocitos T.,3. Disminución de la producción de neutrófilos y monocitos pero no de linfocitos B.,"4. Disminución de la producción de linfocitos B y T, monocitos, neutrófilos y glóbulos rojos.",4,2021
73. ¿A través de que vía estimula las respuestas inmunitarias innatas el ADN microbiano?:,1. TLR9 de la membrana plasmática que conduce a la activación de NF-κB.,2. Lectina de unión a manosa (MB) de la membrana plasmática que conduce a la activación del complemento.,3. Receptores citosólicos  tipo dinucleótidos cíclicos y STING que conducen a la activación de los factores reguladores del interferón (IRF).,4. La proteína C reactiva de la sangre (PCR) que conduce a la activación del complemento.,3,2021
74. La maduración de la afinidad de los anticuerpos significa que:,1. Aparecen mutaciones en el DNA que codifican las regiones constantes de las inmunoglobulinas.,2. La afinidad es mayor en las respuestas primarias que en las secundarias.,"3. Cuando se estimula un linfocito B, puede expresar el segundo alelo parental del gen de las inmunoglobulinas.",4. La afinidad aumenta con la estimulación antigénica.,4,2021
75. En la respuesta inmuno lógica frente a virus:,1. Son esenciales los linfocitos citotóxicos CD8CTL.,2. Sólo se activa la repuesta humoral.,3. No pueden ser reconocidos por las células dendríticas.,4. Sólo responden los linfocitos Th2.,1,2021
76. ¿Qué célula residente en tejidos es de linaje mieloide?:,1. Célula plasmática.,2. Eosinófilo.,3. Macrófago.,4. Monocitos.,3,2021
77.  ¿Qué molécula del complemento desencadena la vía clásica?:,1. C3a.,2. C1q.,3. C5a.,4. C1s.,2,2021
78. ¿Qué inmunoglobulina es capaz de atravesar la placenta?:,1. IgA.,2. IgE.,3. IgG.,4. IgD.,3,2021
79. ¿En qué proceso participa la molécula C5b del complemento?:,1. Liberación de sustancias inflamatorias.,2. Quimiotaxis.,3. Proliferación celular.,4. Lisis de membranas bacterianas.,4,2021
80.  ¿Qué subtipo de IgG tiene menor vida media en el suero?:,1. IgG1.,2. IgG2.,3. IgG3.,4. IgG4.,0,2021
81. ¿Cuál de las siguientes enfermedades de base inmunológica se asocia a una reacción de hipersensibilidad inmediata o de tipo I?:,1. Fiebre del Heno.,2. Anemia hemolítica autoinmune.,3. Lupus eritematoso sistémico.,4. Dermatitis de contacto por níquel.,1,2021
82. ¿Cuál de los siguientes mediadores preformados de los mastocitos que se liberan en una reacción de hipersensibilidad de tipo I puede cuantificarse en suero y se utiliza de manera rutinaria en el diagnóstico de anafilaxia?:,1. Histamina.,2. β-glucosaminidasa.,3. Proteoglicanos (heparina).,4. Triptasa.,4,2021
83. ¿Cuál de las siguientes enfermedades NO se considera una inmunodeficiencia primaria asociada a un defecto monogénico que afecta a los linfocitos T?:,1. Síndrome linfoproliferativo autoinmune (ALPS).,"2. Síndrome de inmunodesregulación, poliendocrinopatía y enteropatía ligada al cromosoma X (IPEX).",3. Síndrome de Job o de Hiper IgE.,4. Inmunodeficiencia común variable (IDCV).,4,2021
84. ¿Cuál de las siguientes citoquinas producidas por células del sistema inmune innato se ha implicado en el inicio de la respuesta antiviral contra el SARS CoV 2?:,1. IL10.,2. IL25.,3. IFNs tipo I.,4. IL33.,3,2021
85. Las citoquinas características producidas por linfocitos T CD4+ del subgrupo TH1 son:,"1. IL-4, IL-5 e IL-13.",2. IL-17 y TGF-beta.,3. IL-17 e IL-22.,4. IFN-gamma e IL-2.,4,2021
86. La unión al antígeno por moléculas de anticuerpo es principalmente una función:,1. De las regiones hipervariables VH y VL.,2. Ligada a los segmentos constantes.,3. Constitutiva de las regiones VC y VFab.,4. Del isotipo G maduro.,1,2021
87. Indique qué enfermedad específica de órgano NO se debe a la interacción de linfocitos autorreactivos T con antígenos propios:,1. Psoriasis.,2. Esclerosis múltiple.,3. Diabetes de tipo 1.,4. Diabetes de tipo 2.,0,2021
88.  NO es una inmunodeficiencia primaria:,1. Agammaglobulinemia ligada al cromosoma X.,2. Síndrome de inmunodeficiencia común variable.,3. Enfermedad granulomatosa crónica.,4. Síndrome de inmunodeficiencia adquirida.,4,2021
89. ¿Cuál es una citoquina clave para el desarrollo de células B en la médula ósea?:,1. IL-4.,2. IL-7.,3. IL-10.,4. IL-12.,2,2021
90. ¿Qué célula deriva de progenitores linfoides?:,1. Célula natural killer.,2. Basófilo.,3. Mastocito.,4. Macrófago.,1,2021
91. ¿Cómo puede evadir una célula tumoral el reconocimiento inmunitario?:,1. Fagocitando linfocitos T.,2. Aumentando su expresión de MHC I.,3. Reduciendo su expresión de PD-L1 (ligando1 de la proteína de muerte programada).,4. Secretando proteínas supresoras como TGF- β (factor de crecimiento transformante β).,4,2021
92.  ¿Qué tipo de hipersensibilidad es la dermatitis alérgica por contacto?:,1. Tipo I o inmediata.,2. Tipo II o mediada por anticuerpos.,3. Tipo III o mediada por inmunocomplejos.,4. Tipo IV o retardada.,4,2021
"93. Todos los siguientes elementos forman parte de las barreras frente a los microorganismos de los epitelios y mucosas, EXCEPTO:",1. El sebo de las glándulas sebáceas.,2. La lisozima de las lágrimas y la saliva.,3. El pH básico de la piel.,4. Los péptidos antimicrobianos secretados por las células epiteliales.,3,2021
94. ¿Cuál es el conjunto de células y moléculas que mejor se adapta al patrón de respuesta inmune frente a virus?:,"1. Interferón ϓ, neutrófilos, linfocitos TH1 y células linfoides innatas de tipo 2 (ILC-2).","2. Interferones α y β, neutrófilos, linfocitos TH1 y células linfoides innatas de tipo 3 (ILC-3).","3. Interferones α y β, eosinófilos, linfocitos TCD8+ y células linfoides innatas de tipo 3 (ILC-3).","4. Interferones α y β, células natural killer, linfocitos T-CD8+, linfocitos TH1 y células linfoides innatas de tipo 1 (ILC-1).",4,2021
95. Las células responsables de la memoria inmunológica se diferencian del resto de células inmunitarias en:,1. La secreción de citoquinas proinflamatorias con un marcado papel patogénico en las enfermedades autoinmunes.,2. La existencia de un receptor variable para el antígeno con especificidad diferente entre unas células y otras del mismo tipo.,3. La localización en los órganos linfoides secundarios.,4. La capacidad para responder a múltiples quimiocinas de las familias CCL y CXCL.,0,2021
"96. Para comparar una s ecuencia de DNA de interés con las registradas en las bases de datos, se utiliza la siguiente herramienta bioinformática:",1. BLAST.,2. OMIM.,3. PUBMED.,4. ENCODE.,1,2021
97. Si un gen se localiza en 17q21 significa que:,1. Se localiza en el brazo largo del cromosoma17.,2. Se localiza en el cromosoma 17 y en el 21.,3. Se localiza en el brazo largo del cromosoma21.,4. Se localiza en el braz o corto del cromosoma17.,1,2021
98. La cadena antisentid o de ADN hace referencia a:,1. La cadena molde de ADN en la transcripción.,2. La cadena molde de ADN en la replicación.,"3. La cadena de nueva síntesis, discontinua, de ADN en la replicación.",4. La cadena codificante de ADN en la transcripción.,1,2021
99. ¿Cuál de las siguientes mutaciones disminuiría la tasa de transcripción de un gen?:,1. Una mutación en el promotor.,2. Una mutación en el codón ATG/AUG.,3. Una mutación en un sitio de splicing.,4. Una mutación en un exón codificante.,1,2021
100. Los factores de transcripción son:,1. Proteínas reguladoras que se unen a secuencias específicas del ADN.,2. Secuencias reguladoras de ADN que se unen a la RNApol II.,3. Proteínas reguladoras que se unen al codón de iniciación (ATG/AUG) de un gen.,4. Proteínas reguladoras que acetilan las histonas.,1,2021
101. La respuesta INCORRECTA respecto al uso de SYBR-green es:,"1. Las moléculas SYBR-green se unen a moléculas de ADN de doble hebra, en la hendidura menor.",2. Las moléculas SYBR-green se unen a secuencias específicas de ADN.,3. Sólo emiten fluorescencia las moléculas de ADN que tengan SYBR-green unidas.,4. No sería recomendable utilizar SYBR-green en un ensayo de detección de un virus de ADN en suero humano mediante RT-PCR.,2,2021
"102. Respecto a las técnicas de hibridación molecular, indica cuál de los siguientes enunciados es correcto:","1. En la técnica de Northern blot, las moléculas de ADN en estudio se transfieren a un soporte sólido y las secuencias de interés se detectan con sondas específicas de oligonucleótidos marcados.","2. La técnica de Southern blot es parecida a la de Northern blot, pero en el Southern se transfieren moléculas de ARN al soporte sólido.","3. La técnica de Western blot (o inmunoblot) consiste en la separaci ón y transferencia de proteínas a un soporte sólido, detectándolas con anticuerpos específicos.","4. La primera técnica de hibridación que se desarrolló fue la de Northern blot, y se denomina así en honor del investigador que la describió en 1975.",3,2021
103. ¿Qué probabilidad de desarrollar una enfermedad causada por una muta ción en el genoma mitocondrial tendrán los hijos varones de una pareja formada por una mujer sana y un hombre afectado por dicha enfermedad?:,1. 100%.,2. 50%.,3. 25%.,4. 0%.,4,2021
104. Cuando el fenotipo de  un heterocigoto es cuantitativamente intermedio entre el de los dos homocigotos nos encontramos ante un caso de herencia:,1. Con dominancia incompleta.,2. Codominante.,3. Epistática.,4. Epigenética.,1,2021
105. El portador de un cromosoma con una inversión presenta:,1. Mayor riesgo de producir gametos desequilibrados.,2. Mayor expresión de los genes del cromosoma homólogo.,3. Mayor riesgo de fracaso mitótico.,4. Menores tasas de recombinación VDJ.,1,2021
106. ¿Cómo es posible que  diferentes tripletes de nucleótidos del ARNm se traduzcan en un mismo aminoácido?:,1. Porque cada triplete es reconocido por un ARN transferente diferente.,2. Porque un mismo ARN transferente puede reconocer diferentes tripletes.,3. Porque un mismo ARN transferente puede cargar diferentes aminoácidos.,4. Porque las aminoacil-ARNt-sintetasas son poco específicas.,2,2021
"107. Las topoisomerasas de tipo I se diferencian de las de tipo II, en que:",1. Cortan ambas hebras de la doble cadena de ADN.,2. Cortan una sola hebra de la doble cadena de ADN.,3. Unen ambas hebras de la doble cadena de ADN.,4. Unen fragmentos de una hebra de la doble cadena de ADN.,2,2021
108. Un cromosoma metacéntrico es aquel cuyo centrómero se localiza:,1. En el extremo del cromosoma.,2. Equidistante de los extremos.,3. Más cerca de un extremo que de otro.,4. Fuera de la cromátida.,2,2021
109. ¿Dónde se localizan los cebadores sintetizados en la cadena retrasada?:,1. Al inicio de cada fragmento de Okazaki.,2. En varios sitios dentro de un fragmento de Okazaki.,3. Sólo en el extremo 3’ de la cadena recientemente sintetizada.,4. Sólo en el extremo 5’ de la cadena recientemente sintetizada.,1,2021
"110. En Escherichia coli, el factor sigma de la ARN polimerasa participa en:",1. La unión de la ARN polimerasa al promotor.,2. La actividad catalítica de la ARN polimerasa.,3. La elongación durante la transcripción.,4. La terminación de la transcripción.,1,2021
"111. Durante la traducción, las reglas del tambaleo (wobble) permiten:",1. Que el código genético no sea degenerado.,2. Que el código genético se superponga.,3. Que el ARNt se aparee sólo con un codón.,4. Que la tercera base presente flexibilidad en su apareamiento.,4,2021
112. Las proteínas Ras se activan cuando:,1. Unen GTP.,2. Liberan GTP.,3. Unen GDP.,4. Se acetilan.,1,2021
113. Es una enfermedad con herencia autosómica recesiva:,1. Hipercolesterolemia familiar.,2. Corea de Huntington.,3. Síndrome de Marfan.,4. Fibrosis quística.,4,2021
114. La proporción fenotípi ca dihíbrida en la epistasia simple recesiva es:,1. 9:7.,2. 12:3:1.,3. 13:3.,4. 9:3:4.,4,2021
115. ¿Cuál de las siguientes técnicas diagnostica un síndrome de Angelman?:,1. Citogenética convencional (cariotipo de bandas G).,2. Hibridación in situ con fluorescencia (FISH) con sonda telomérica.,3. Hibridación in situ con fluorescencia (FISH) con sonda locus-específica.,4. Secuenciación Sanger.,3,2021
116. ¿Cuántos pares de cromosomas metacéntricos hay en el cariotipo humano?:,1. 6.,2. 8.,3. 4.,4. 2.,3,2021
117. Es una enfermedad genética causada por expansión por repetición de trinucleótidos:,1. Distrofia muscular de Duchènne.,2. Ataxia de Friedreich.,3. Síndrome de Noonan.,4. Enfermedad de Gaucher.,2,2021
