Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
"18. En relación con el reflejo de micción, se puede afirmar que:",1. El llenado de la vejiga estimula quimiorreceptores.,2. La vejiga se llena de orina de forma instantánea.,3. Es un reflejo bulbar.,4. La estimulación parasimpática produce disfunción del reflejo.,"5. Es un reflejo medular, facilitado o inhibido por zonas superiores del sistema nervioso.",5,2007
19. Los eritrocitos humanos:,1. Producen la hormona eritropoyetina.,2. Son las células menos abundantes de la sangre.,3. Pueden ser granulosos o no granulosos.,4. Son células fagocíticas.,5. Son células anucleadas.,5,2007
20. Un hematocrito del 44% significa que:,1. El 44% de la sangre es hemoglobina.,2. El 44% de la hemoglobina está en el plasma.,3. El 44% de la hemoglobina está en los eritrocitos.,4. La persona tiene anemia ferropénica.,5. Que el 44% del volumen sanguíneo está formado por células.,5,2007
21. El hierro se almacena en las células dentro de la:,1. Transferrina.,2. Siderofilina.,3. Ceruloplasmina.,4. Hemoglobina.,5. Ferritina.,5,2007
22. El citrato es un anticoagulante ya que:,1. Tampona los grupos básicos de los factores de coagulación.,2. Se une al factor XII.,3. Se une a la vitamina K.,4. Es un quelante de calcio.,5. Es metabolizado lentamente.,4,2007
23. Una persona del grupo O tiene anticuerpos contra los hematíes del grupo:,"1. A, B y AB.",2. A.,3. B.,4. O.,5. Contra ninguno.,1,2007
24. Respecto al reflejo barorreceptor:,1. Se inicia en mecanorreceptores de las venas.,2. Sus fibras aferentes viaj an en el nervio trigémino.,3. Interviene en la regulación de la presión arterial a largo plazo.,4. Los barorreceptores responden con gran rapidez a los cambios de presión arterial.,5. Es un mecanismo de retroalimentación positiva.,4,2007
25. La inhibición presináptica es una sinapsis:,1. Axodendrítica.,2. Axosomática.,3. Dendrodendrítica.,4. Axoaxónica.,5. Dendrosomática.,4,2007
26. Durante la fase de contracción isovolumétrica:,1. La presión ventricular disminuye.,2. La presión del ventrículo izquierdo aumenta y la del derecho disminuye.,3. La válvula mitral está abierta.,4. La válvula aórtica está abierta.,5. Todas las válvulas cardiacas están cerradas.,5,2007
"27. En una persona de pie, es mayor en el ápice que en la base del pulmón:",1. La relación ventilación/perfusión.,2. El flujo sanguíneo.,3. La ventilación.,4. La presión alveolar de CO2.,5. La distensibilidad pulmonar.,1,2007
28. La menor concentración de CO2 se da en:,1. El espacio muerto anatómico.,2. La sangre en las venas pulmonares.,3. El aire alveolar.,4. El aire espirado.,5. La sangre de las venas sistémicas.,1,2007
29. El surfactante pulmonar:,1. Es una mezcla compleja de proteínas.,2. Disminuye la elasticidad pulmonar.,3. Reduce la tensión superficial alveolar.,4. Dificulta los movimientos ventilatorios.,5. Se sintetiza en el hígado.,3,2007
30. Las sinapsis eléctricas:,1. Son fatigables.,2. Necesitan transmisores químicos.,3. Originan sincitios funcionales.,4. Se dan en la unión neuromuscular.,5. No están presentes en el hombre.,3,2007
"31. Cuando los músculos respiratorios están relajados, el volumen pulmonar se corresponde con el (la):",1. Volumen residual.,2. Volumen de reserva espiratorio.,3. Capacidad residual funcional.,4. Volumen de reserva inspiratorio.,5. Capacidad pulmonar total.,3,2007
32. Inhibe la secreción de ácido gástrico la:,1. Gastrina.,2. Enterooxintina.,3. Somatostatina.,4. Acetilcolina.,5. Histamina.,3,2007
33. La grasa de la dieta es absorbida a los vasos linfáticos en forma de:,1. Monoglicéridos.,2. Diglicéridos.,3. Triglicéridos.,4. Ácidos grasos libres.,5. Quilomicrones.,5,2007
34. La acidificación del duodeno:,1. Disminuye la secreción pancreática de bicarbonato.,2. Aumenta la secreción de ácido gástrico.,3. Disminuye el vaciamiento gástrico.,4. Disminuye la contracción de la vesícula biliar.,5. Aumenta la contracción del esfínter de Oddi.,3,2007
35. Inhibe el vaciamiento de la vesícula biliar la:,1. Acetilcolina.,2. Estimulación vagal.,3. Gastrina.,4. Colecistocinina.,5. Estimulación simpática.,5,2007
36. En relación con la secreción gástrica:,1. Las células parietales u oxínticas secretan ácido clorhídrico.,2. La histamina inhibe la secreción ácida.,3. Las células principales s ecretan factor intrínseco.,4. La somatostatina estimula la secreción ácida.,5. La estimulación vagal inhibe la secreción gástrica.,1,2007
37. La secretina:,1. Es una hormona pancreática.,2. Inhibe la secreción exocrina del páncreas.,3. Estimula la secreción gástrica de ácido.,4. Contrae la vesícula biliar.,5. Estimula la secreción pancreática de bicarbonato.,5,2007
38. En el páncreas exocrino:,1. Se secreta la insulina.,2. Las células acinares producen glucagón.,3. Las células ductulares secretan bicarbonato e iones.,4. La colecistoquinina estimula la producción de ácido.,5. La secretina estimula la secreción de ácido.,3,2007
39. La probabilidad de que ocurra flujo turbulento aumenta si:,1. Aumenta la velocidad de la sangre.,2. Aumenta la viscosidad de la sangre.,3. Disminuye el diámetro de los vasos.,4. Disminuye la densidad de la sangre.,5. Aumenta la longitud de los vasos.,1,2007
40. El sistema venoso es un reservorio de sangre por:,1. Su baja distensilibidad.,2. La ausencia de músculo liso en su pared.,3. La localización superficial de las venas.,4. Su alta capacitancia.,5. La presencia de válvulas.,4,2007
"41. Respecto a la circulación sistémica, la pulmonar tiene mayor:",1. Gasto cardiaco.,2. Presión arterial.,3. Resistencia.,4. Vasoconstricción inducida por hipoxia.,5. Vasoconstricción simpática.,4,2007
42. La presión venosa central aumenta si disminuye:,1. La volemia.,2. La actividad simpática.,3. El tono venoso periférico.,4. El volumen sistólico.,5. El retorno venoso.,4,2007
43. La estimulación vagal aumenta:,1. La frecuencia cardiaca.,2. La contractilidad cardiaca.,3. El intervalo PR del electrocardiograma.,4. La fracción de eyección.,5. El gasto cardiaco.,3,2007
44. El marcapasos cardiaco:,1. Está en el ventrículo derecho.,2. Se activa exclusivamente por estimulación nerviosa.,3. Se activa por estimulación vagal.,4. No responde a hormonas.,5. Se activa por la estimulación simpática.,5,2007
45. El aumento de la concentración plasmática de potasio aumentará la secreción de:,1. Renina.,2. Aldosterona.,3. ADH.,4. Factor natriurético.,5. Angiotensina II.,2,2007
46. Contienen elevadas cantidades de lisozima las células intestinales:,1. Absorbentes.,2. Enteroendocrinas.,3. M.,4. De Paneth.,5. Caliciformes.,4,2007
47. La estructura del complejo del poro nuclear es:,1. Hexagonal.,2. Octogonal.,3. Pentagonal.,4. Rectangular.,5. Triangular.,2,2007
48. La matriz mitocondrial carece de:,1. Genoma.,2. Ribosomas.,3. Cadena transportadora de electrones.,4. Agua.,5. RNAt.,3,2007
49. Los capilares de las glándulas endocrinas son:,1. Continuos gruesos.,2. Discontinuos.,3. Continuos finos.,4. Fenestrados.,5. Abiertos.,4,2007
50. El epitelio de la mayor parte de la tráquea es:,1. Cilíndrico pseudoestratificado ciliado.,2. Cilíndrico pseudoestratificado con microvellosidades.,3. Cilíndrico simple.,4. Plano simple.,5. Plano estratificado.,1,2007
51. Las plaquetas humanas se forman a partir de:,1. Monoblastos.,2. Placas de crecimiento.,3. Células endoteliales.,4. Megacarioblastos.,5. Trombocitos.,4,2007
52. Las paperas son una inflamación de la glándula:,1. Submaxilar.,2. Sublingual.,3. Parótida.,4. Lingual.,5. Palatina.,3,2007
53. Permite ver las superficies celulares y la organización espacial de los componentes tisulares el microscopio:,1. De luz ordinario.,2. De luz polarizada.,3. Electrónico de transmisión.,4. Electrónico de barrido.,5. Citofotométrico.,4,2007
54. Está relacionada con el  ensambaje de la clatrina:,1. Gastrina.,2. Adaptina.,3. Queratina.,4. Actina.,5. Secretina.,2,2007
55. Una de las funciones del complejo de Golgi es:,1. Síntesis de enzimas.,2. Síntesis de proteínas nucleares.,3. La exportación selectiva de las proteínas.,4. Dirigir la citocinesis en células animales.,5. Síntesis de hormonas esteroideas.,3,2007
56. La transcitosis es muy frecuente en:,1. Células musculares.,2. Fibroblastos.,3. Células endoteliales.,4. Mastocitos.,5. Osteoblastos.,3,2007
57. En el sistema nervioso central la microglia:,1. Forma la mielina.,2. Fagocita.,3. Acumula iones calcio.,4. Forma los pies perivasculares de las arterias cerebrales.,5. Forma los pies perivasculares de los capilares del sistema nervioso central.,2,2007
"58. En la diáfisis de un hueso largo, el periostio se fija al hueso por:",1. Las fibras de Sharpey.,2. Fibras de celulosa.,3. Las líneas cementantes.,4. Laminillas intersticiales.,5. Substancia amorfa constituida por proteoglucanos.,1,2007
59. El páncreas es una glándula:,1. Acinar simple.,2. Tubuloacinar compuesta.,3. Tubular simple.,4. Tubular compuesta.,5. Sacular.,2,2007
60. El retículo endoplásmico sintetiza las proteínas:,1. Ribosómicas.,2. De las mitocondrias.,3. De la membrana plasmática.,4. De la matriz de los peroxisomas.,5. Nucleares.,3,2007
61. Los nucleosomas:,1. Empaquetan el material genético.,2. Transcriben el ADN ribosómico.,3. Forman la matriz nuclear.,4. Mantienen unidas las cromátidas hermanas.,5. Forman los poros nucleares.,1,2007
62. La detección de vimentina en un tumor metastático indica un origen:,1. Epitelial.,2. Neuronal.,3. Muscular esquelético.,4. Mesenquimático.,5. Glial.,4,2007
63. Los filamentos intermedios principalmente:,1. Generan movimiento.,2. Aportan estabilidad mecánica.,3. Actúan como nucleadores de microtúbulos.,4. Estabilizan los microtúbulos y los filamentos de actina.,5. Transportan orgánulos en la célula.,2,2007
64. La matriz extracelular y el citoesqueleto se comunican a través de la membrana plasmática por:,1. Proteoglucanos.,2. Integrinas.,3. Caderinas.,4. Filamentos intermedios.,5. Microtúbulos.,2,2007
65. Los citoesqueletos de células adyacentes se comunican a través de la membrana plasmática por:,1. Integrinas.,2. Selectinas.,3. Caderinas.,4. Microtúbulos.,5. Laminina.,3,2007
66. La función principal de la entactina es unir:,1. Laminina al colágeno.,2. Células a la lámina basal.,3. Células a la matriz extracelular.,4. Fibras de colágeno entre sí.,5. Filamentos de actina entre sí.,1,2007
67. Está formado por filamentos intermedios:,1. Los centriolos.,2. Los cilios.,3. La lámina nuclear.,4. Las microvellosidades.,5. El huso mitótico.,3,2007
68. Las células cebadas:,1. Almacenan triglicéridos.,2. Sintetizan anticuerpos.,3. Tienen capacidad de fagocitosis.,4. Son circulantes.,5. Intervienen en la anafilaxia.,5,2007
69. Las fibras de colágeno se ensamblan en:,1. El citosol.,2. El retículo rugoso.,3. El aparato de Golgi.,4. Las vesículas secretoras.,5. El exterior celular.,5,2007
70. Las fibras musculares rojas se caracterizan por:,1. Su gran tamaño.,2. Contracción rápida.,3. Poseer gran número de mitocondrias.,4. Ser poco resistentes a la fatiga.,5. Contener poca mioglobina.,3,2007
71. Los adipocitos de grasa parda:,1. Son de gran tamaño.,2. Su citoplasma contiene muchas gotitas lipídicas.,3. Su núcleo es aplanado y se sitúa en la periferia celular.,4. Generan gran cantidad de energía en forma de ATP.,5. Son especialmente abundantes en los humanos adultos obesos.,2,2007
72. La disociación de los receptores y las partículas LDL tienen lugar en los:,1. Endosomas tempranos.,2. Endosomas tardíos.,3. Las vesículas con clatrina.,4. Cuerpos multivesiculares.,5. Lisosomas.,1,2007
73. Son células del sistema monocito-macrófago:,1. Todas las que se originan en la médula ósea hematopoyética.,2. Las cebadas.,3. Los fibroblastos.,4. Las endoteliales.,5. La microglía del sistema nervioso central.,5,2007
"74. En la sarcómera, la titina une:",1. Los filamentos de actina a las líneas Z.,2. Los filamentos de miosina entre sí.,3. Las líneas Z con los filamentos de miosina.,4. Las miofibrillas a la membrana plasmática.,5. Los filamentos de actina entre sí.,3,2007
75. Las células madre de la epidermis se localizan en:,1. La dermis.,2. El estrato basal.,3. El estrato espinoso.,4. El estrato granular.,5. La médula ósea.,2,2007
76. La resolución de un microscopio óptico es máxima cuando se emplea luz:,1. Fluorescente.,2. Polarizada.,3. Monocromática.,4. De longitud de onda lo más larga posible.,5. De longitud de onda lo más corta posible.,5,2007
77. El colorante que se emplea en el primer paso de la tinción de Gram es:,1. Cristal violeta.,2. Púrpura de bromocresol.,3. Safranina.,4. Lugol.,5. Fucsina.,1,2007
78. Los ácidos teicoicos bacterianos son:,1. Cadenas de aminoácidos unidas al peptidoglicano.,2. Los componentes mayoritarios de los cuerpos de inclusión.,3. Polímeros de glicerol unidos por grupos fosfato.,4. Componentes exclusivos de la pared de las micobacterias.,5. Moléculas de la envoltura de la endospora.,3,2007
79. El lipopolisacárido bacteriano:,1. Es típico de la envoltura de las bacterias gram positivas.,2. Está en la cara externa de la envoltura de las bacterias gram negativas.,3. Tiene la misma composición en todas las bacterias.,"4. Está formado por lípidos, polisacáridos y proteínas.",5. Equivale al colesterol de la membrana de los eucariotas.,2,2007
80. Las endotoxinas bacterianas:,1. Son citoplasmáticas.,2. No son antigénicas.,3. Son termolábiles.,4. Son típicas de bacterias gram-negativas.,5. Pueden convertirse fácilmente en toxoides.,4,2007
81. Los ácidos micólicos so n característicos de la envoltura de:,1. Bacterias gram negativas.,2. Bacterias termófilas.,3. Bacterias ácido-alcohol resistentes.,4. Micoplasmas.,5. Levaduras.,3,2007
82. Las endosporas bacterianas:,1. Carecen de ácido nucleico.,2. Acumulan agua.,3. Son típicas de los estreptomicetos.,4. Son metabólicamente inertes.,5. Al dividirse generan dos endosporas idénticas a la original.,4,2007
83. Las fimbrias bacterianas:,1. Son apéndices fibrilares implicados en la movilidad.,2. Son un tipo de glicocálix proteico.,"3. Constan de cuerpo basal, gancho y filamento.",4. Son exclusivas de bacterias gram positivas.,5. A menudo sirven para que las bacterias se adhieran a tejidos vivos y superficies inertes.,5,2007
84. La cápsula de las bacterias:,1. Está compuesta típicamente por glicolípidos.,2. Equivale al antígeno O de los patógenos gram-negativos.,3. Puede conferir resistencia a la fagocitosis.,4. Contiene enzimas hidrolíticos para degradar los nutrientes.,5. Es sensible a la lisozima.,3,2007
85. Las bacterias aerotolerantes:,1. Respiran oxígeno a la presión atmosférica.,2. Respiran oxígeno pero en microaerofilia.,"3. Respiran nitratos, nitritos o sulfatos.",4. Comúnmente son fermentadoras y no respiran.,5. No pueden crecer en ausencia de aire.,4,2007
86. Los sistemas de “quorum sensing” o autoinducción permiten a ciertas bacterias:,1. Crecer ilimitadamente.,2. Activar o desactivar algunas funciones según la densidad poblacional.,3. Detectar la presencia de bacteriófagos.,4. Comenzar el crecimiento exponencial al detectar la presencia de nutrientes.,5. Detectar cambios en la temperatura y pH ambientales.,2,2007
87. Las radiaciones ionizantes:,1. Son agentes esterilizantes eficaces contra bacterias normales y endosporas.,2. Inducen la formación de cuerpos de inclusión en las bacterias.,3. Se utilizan para obtener cultivos bacterianos puros.,4. No tienen efecto sobre bacterias que estén en fase de latencia.,5. Producen poros en la membrana plasmática de las bacterias.,1,2007
88. El bactoprenol es un:,1. Componente del lipopolisacárido de las bacterias.,2. Componente de los ácidos teicoicos de las bacterias.,3. Transportador de precursores del peptidoglucano.,4. Intermediario de la cadena transportadora de electrones.,5. Transportador de acetato ligado al ciclo del glioxilato.,3,2007
89. La transformación bacteriana es(son):,1. La transferencia de información genética entre dos bacterias viables mediante contacto directo.,2. La activación por la luz ultravioleta de la respuesta SOS.,3. Las modificaciones que provoca un profago en el genoma de la bacteria.,4. El proceso por el que una bacteria modifica a la célula huésped a la que infecta.,5. La captación por una bacteria de un fragmento de ADN y su incorporación al cromosoma.,5,2007
90. Las paredes celulares de las arqueobacterias:,1. No contienen ácido murámico.,2. Son sensibles a la lisozima.,3. Presentan cadenas de hidrocarburos unidas al glicerol mediante enlaces de tipo éster.,4. No contienen glicerol.,5. Tienen una composición similar a la de las bacterias gram positivas.,1,2007
91. Las espiroquetas:,"1. Incluyen los géneros Treponema, Borrelia  y Leptospira.",2. Son inmóviles.,3. Son parásitos intracelulares obligados.,4. No son patogénicas para el hombre.,5. Poseen un filamento axial que les permite cambiar de morfología según la viscosidad del medio.,1,2007
92. Los micoplasmas:,1. Son sensibles a la penicilina.,2. No pueden sintetizar peptidoglucano.,3. Son Gram positivos.,4. Son los agentes causales de la tuberculosis.,5. Carecen de membrana plasmática.,2,2007
93. Los miembros del género Bacteroides:,1. Forman endosporas.,2. Son anaerobios estrictos.,3. No son comunes en el tracto digestivo humano.,4. No causan infecciones en seres humanos.,5. Son habitantes habituales de la piel humana.,2,2007
94. Es un género de bacterias patógenas intracelulares estrictas:,1. Rickettsia.,2. Mycoplasma.,3. Haemophilus.,4. Caulobacter.,5. Neisseria.,1,2007
95. Las enterobacterias son:,1. Bacilos gram positivos.,2. Incapaces de fermentar azúcares.,3. Ureasa positivas.,4. Citocromo oxidasa negativas.,5. Siempre inmóviles.,4,2007
96. Se denomina bacteriemia a la presencia de bacterias viables en:,1. Bilis.,2. Sangre.,3. Orina.,4. Tejidos internos.,5. Líquido cefalorraquídeo.,2,2007
97. Las tetraciclinas inhiben la síntesis de:,1. La pared celular.,2. El ADN.,3. Las proteínas.,4. El peptidoglucano.,5. El ácido fólico.,3,2007
98. La prueba de la catala sa sirve para diferenciar Staphylococcus aureus de:,1. Escherichia.,2. Staphylococcus epidermidis.,3. Streptococcus.,4. Neisseria.,5. Haemophilus.,3,2007
99. El agente causante de la difteria pertenece al género:,1. Campylobacter.,2. Bordetella.,3. Corynebacterium.,4. Legionella.,5. Borrelia.,3,2007
100. Rickettsia prowazekii es el agente etiológico de:,1. La erliquiosis.,2. La enfermedad de Lyme.,3. La escarlatina.,4. Las fiebres reumáticas.,5. El tifus epidémico.,5,2007
"101. Habitualmente, Listeria monocytogenes  se transmite al ser humano a través de:",1. Aerosoles.,2. Artrópodos.,3. Alimentos contaminados.,4. Fomites.,5. Sangre y fluidos corporales.,3,2007
102. Clostridium difficile produce:,1. Gangrena gaseosa.,2. Neumonías atípicas.,3. Forúnculos.,4. Colitis pseudomembranosa.,5. Infecciones urinarias.,4,2007
103. Helicobacter pylori  genera una enzima con intensa actividad:,1. Coagulasa.,2. Fibrinolítica.,3. Proteolítica.,4. Ureasa.,5. Necrótica.,4,2007
104. Francisella tularensis:,1. Comúnmente se transmite al ser humano por picaduras de artrópodos.,2. Es el agente causal de la lepra.,3. Es un parásito intracelular obligado.,4. Produce una enfermedad de transmisión sexual.,5. Produce vaginosis bacteriana.,1,2007
105. Las fiebres tifoideas son causadas por:,1. Leptospira interrogans.,2. Coxiella burnetii.,3. Chlamydia trachomatis.,4. Salmonella typhi.,5. Bartonella henselae.,4,2007
106. La mononucleosis infecciosa es causada por:,1. Haemophilus influenzae.,2. Coxiella burnetti.,3. Virus de Epstein-Barr.,4. Adenovirus.,5. Haemophilus haemolyticus.,3,2007
107. El resfriado común es causado preferentemente por:,1. Virus respiratorio sincitial.,2. Adenovirus.,3. Virus cocksackie.,4. Rinovirus.,5. Paramixovirus.,4,2007
108. De los siguientes grupos de virus sólo uno utiliza la transcriptasa inversa durante su replicación:,1. Papovavirus.,2. Poliomavirus.,3. Hepadnavirus.,4. Parvovirus.,5. Herpesvirus.,3,2007
109. La hemaglutinina presente en la superficie del virus de la gripe:,"1. Hidroliza el moco del epitelio respiratorio, facilitando la infección.",2. Provoca la formación de sincitios.,3. Reconoce a los receptores de las células diana.,4. Antagoniza la respuesta inmune al impedir el ataque del complemento.,5. Inhibe la unión de los linfocitos T citotóxicos a la célula infectada.,3,2007
110. El virus de la hepatiti s D es defectivo y precisa coinfectar con el de la hepatitis:,1. A.,2. B.,3. C.,4. E.,5. G.,2,2007
111. Pueden observarse al microscopio óptico los:,1. Citomegalovirus.,2. Virus respiratorio sincitial.,3. Coronavirus.,4. Togavirus.,5. Poxvirus.,5,2007
112. Los picornavirus se caracterizan porque presentan:,1. Genoma RNA monocatenario de polaridad positiva que da lugar a una poliproteína.,2. Genoma DNA bicatenario y establecen latencia en neuronas.,"3. Genoma segmentado, tienen envoltura y establecen latencia en hepatocitos.","4. Simetría helicoidal, tienen envoltura y se transmiten por artrópodos.","5. Genoma RNA bicatenario segmentado, son desnudos e inducen diarreas en lactantes.",1,2007
"113. Los virus de la familia Togaviridae se transmiten, en general, por artrópodos vectores. La EXCEPCIÓN es el virus de la:",1. Fiebre amarilla.,2. Encefalitis panesclerosante.,3. Rubeola.,4. Dengue.,5. Fiebre del bosque de Semliki.,3,2007
114. El herpes zoster es consecuencia de la reactivación del virus de:,1. Viruela.,2. Herpes simple tipo 2.,3. Citomegalovirus.,4. Herpes simple tipo 1.,5. Varicela.,5,2007
115. El virus de la gripe pertenece al grupo de los:,1. Paramixovirus.,2. Picornavirus.,3. Togavirus.,4. Rhabdovirus.,5. Ortomixovirus.,5,2007
116. El virus causante de la rabia pertenece al grupo de los:,1. Picornavirus.,2. Herpesvirus.,3. Parvovirus.,4. Coronavirus.,5. Rhabdovirus.,5,2007
117. El virus de Epstein-Barr ha sido asociado a la aparición del:,1. Linfoma de Hodgkin.,2. Cáncer de cervix.,3. Linfoma de Burkitt.,4. Leucemia linfoblástica.,5. Sarcoma de Kaposi.,3,2007
"118. La azidotimidina (AZT), que se utiliza en el tratamiento de las infecciones por virus de la inmunodeficiencia humana:",1. Se une a la ARN polimerasa celular y bloquea la transcripción.,2. Se une al promotor temprano del virus e impide su reconocimiento por la ARN polimerasa.,"3. Antagoniza la fosforilación de los nucleósidos, inhibiendo así la síntesis de ADN viral.",4. Bloquea el transporte activo de timidina al interior celular.,5. Inhibe a la transcriptasa inversa.,5,2007
119. El tratamiento de elección de una infección por herpes simple es:,1. Amantadina.,2. Aciclovir.,3. Rifampicina.,4. Interferón.,5. Ribavirina.,2,2007
120. La amantadina:,1. Inhibe la replicación del genoma viral.,2. Impide la pérdida de la cápsida de los viriones.,3. Bloquea el ensamblaje de las nuevas cápsidas.,4. Evita la migración del ácido nucleico viral al núcleo de la célula.,5. Inhibe el reconocimiento de los promotores virales por la ARN polimerasa.,2,2007
121. Uno de los mecanismos principales de la inmunidad innata frente a virus es la:,1. Producción de anticuerpos neutralizantes.,2. Liberación de fungicidas por los neutrófilos.,3. Activación de linfocitos T C que destruyen las células infectadas.,"4. Activación de linfocitos TH2, que favorecen la síntesis de IgE.",5. Eliminación de las células infectadas por linfocitos NK.,5,2007
122. La proteína del complemento implicada directamente en la opsonización es:,1. C3a.,2. C3b.,3. C3c.,4. C5a.,5. C5b.,2,2007
123. Los superantígenos:,1. Se unen sólo a células T gamma delta.,2. Se unen a moléculas MHC clase I.,3. Son específicamente procesados y presentados por células dendríticas a linfocitos TC.,4. Se unen simultáneamente al MHC de clase II y al TCR.,5. Son marcadores de la leucemia mieloide.,4,2007
124. Un fragmento Fab de anticuerpo:,1. Tiene capacidad de unión al antígeno.,2. Es bivalente.,3. Se une a receptores Fc.,4. Es capaz de activar al complemento sérico.,5. Sólo tiene dominios V.,1,2007
125. La cadena ligera L de un anticuerpo:,1. Interviene en la unión al antígeno.,2. Es bivalente.,3. Se une a receptores Fc.,4. Es capaz de activar al complemento sérico.,5. Sólo tiene dominios V.,1,2007
126. El mecanismo que permite que las inmunoglobulinas se sinteticen en forma unida a la membrana o secretada es:,1. Expresión codominante.,2. Exclusión alélica.,3. Cambio de isotipo.,4. Procesamiento diferencial de UNAM.,5. Recombinación génica.,0,2007
127. La IgE humana se caracteriza por:,1. Unirse a receptores Fc de fagocitos.,2. Inducir la desgranulación de las células cebadas.,3. Estar presente en la membrana de células B maduras.,4. Ser la única inmunoglobulina que cruza la placenta.,5. Ser secretada en forma pentamérica.,2,2007
128. El paso de anticuerpos a las mucosas y la leche ocurre por:,1. Translación.,2. Transporte activo.,3. Inmunización pasiva.,4. Transcitosis.,5. Difusión.,4,2007
"129. Con respecto de la respuesta primaria, los anticuerpos séricos inducidos en la secundaria:",1. Incluyen niveles más altos de IgM.,2. Presentan una afinidad mayor por el antígeno.,3. Duran menos.,4. Aparecen con más retraso.,5. Están en menor cantidad que en la respuesta primaria.,2,2007
130. La tecnología más eficiente y precisa para tipificar leucemias empleando anticuerpos monoclonales frente a antígenos de la superficie de determinados linajes celulares es la:,1. Citometría de flujo.,2. Inmunoprecipitación.,3. Reacción en cadena de polimerasa.,4. Reacción de aglutinación.,5. Inmunoabsorción ligada a enzima o ELISA.,1,2007
131. Las células dendríticas foliculares:,1. Se originan en la médula ósea.,2. Expresan moléculas MHC de clase II.,3. No expresan moléculas MHC de clase I.,4. Poseen receptores para dominios Fc de anticuerpos.,5. Procesan y presentan antígenos.,0,2007
