Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
37. Una unidad motora es el conjunto de:,1. Fibras musculares y la neurona motora que las inerva.,2. Neuronas motoras que inervan una fibra muscular.,3. Neuronas motoras que inervan un músculo.,4. Músculos antagonistas.,5. Músculos que mueven una articulación.,1,2006
38. La relajación del esfínter de Oddi es producida por la:,1. Gastrina.,2. Colecistocinina.,3. Secretina.,4. Adrenalina.,5. Bilis.,2,2006
"39. En el músculo esquelético, el tétanos se produce por:",1. Agotamiento de los neurotransmisores.,2. Sumación espacial de unidades motoras.,3. Relajación total del músculo.,4. Sumación temporal de la actividad contráctil del músculo.,5. Activación del componente elástico muscular.,4,2006
40. La inhibición postsináptica se produce por:,1. Despolarización de la membrana postsináptica.,2. Hiperpolarización de la membrana postsináptica.,3. Sinapsis axo-somáticas.,4. Disminución de la cantidad de transmisor presináptico liberado.,5. Potenciación a largo plazo.,2,2006
41. Respecto a la ovulación:,1. Aumenta la secreción de estradiol.,2. Los niveles de progesterona son máximos.,3. Se expulsa el ovocito primario hacia el útero.,4. Viene precedida por un pico de LH y FSH.,5. Coincide con el máximo espesor endometrial.,4,2006
"42. En presencia de ADH, la mayor reabsorción de agua ocurre en:",1. Túbulo contorneado distal.,2. Túbulo contorneado proximal.,3. Asa ascendente de Henle.,4. Asa descendente de Henle.,5. Túbulos colectores.,5,2006
"43. En la contracción del mú sculo liso, el calcio se une a:",1. Tropomiosina.,2. Actina.,3. Calmodulina.,4. Miosina.,5. Troponina.,3,2006
"44. Los músculos esquelético, liso y cardiaco contienen:",1. Sarcómeras.,2. Uniones gap.,3. Actividad miogénica.,4. Túbulos T.,5. Filamentos de actina y miosina.,5,2006
45. El intestino grueso absorbe fundamentalmente:,1. Aminoácidos.,2. Monosacáridos.,3. Pigmentos biliares.,4. Triglicéridos.,5. Agua.,5,2006
46. Las células fagocitarias del sistema nervioso central son:,1. Oligodendrocitos.,2. Glía del epéndimo.,3. Astrocitos.,4. Microglía.,5. Células de Kupffer.,4,2006
47. Las células de la cápsula de Bowman se denominan:,1. Endoteliales glomerulares.,2. Pedículos.,3. Podocitos.,4. Mesangiales.,5. Yuxtaglomerulares.,3,2006
48. Los gránulos se tiñen de forma metacromática en:,1. Macrófagos.,2. Leucocitos eosinófilos.,3. Leucocitos neutrófilos.,4. Mastocitos o células cebadas.,5. Células acinares del páncreas.,4,2006
"49. En células intactas, los microsomas no se ven con el microscopio electrónico porque:",1. Son muy pequeños.,2. Son transparentes a los electrones.,"3. No existen in vivo, sino que se producen tras la homogeneización de las células.",4. Es necesario utilizar técn icas histoenzimáticas específicas.,5. Son muy escasos en todos los tipos celulares.,3,2006
"50. Las células M, relacionadas con fenómenos inmunológicos están en:",1. Piel.,2. Pulmón.,3. Estómago.,4. Esófago.,5. Intestino.,5,2006
"51. En la sangre humana, las células nucleadas más abundantes son:",1. Basófilos.,2. Linfocitos.,3. Plaquetas.,4. Neutrófilos.,5. Eritrocitos.,4,2006
52. Las secuencias repetidas de ADN que protegen los extremos de los cromosomas se llaman:,1. Telómeros.,2. Centrómeros.,3. Cinetocoros.,4. ADN satélite.,5. Cromátidas.,1,2006
53. Si una fracción subcelular de hepatocitos presenta actividad fosfatasa ácida elevada probablemente contiene:,1. Núcleos.,2. Lisosomas.,3. Mitocondrias.,4. Retículo endoplásmico.,5. Citosol.,2,2006
54. La mayor proporción de histonas acetiladas se encuentra en:,1. Cromatina activa.,2. Heterocromatina constitutiva.,3. Heterocromatina facultativa.,4. Telómeros de los cromosomas.,5. Centrómeros de los cromosomas.,1,2006
"55. Durante la contracción del músculo esquelético, en las sarcómeras:",1. La banda A es más pequeña.,2. La banda I es mayor.,3. La banda H disminuye.,4. Los discos Z se separan.,5. El tamaño total de la sarcómera aumenta.,3,2006
56. Presentan un nucléolo de mayor tamaño:,1. Neuronas.,2. Linfocitos.,3. Fibra muscular esquelética.,4. Adipocitos.,5. Osteocitos.,1,2006
57. Las células musculares  cardiacas se contraen sincrónicamente por estar conectadas mediante:,1. Uniones estrechas.,2. Uniones “gap”.,3. Zónulas adherens.,4. Desmosomas.,5. Hemidesmosomas.,2,2006
58. Contienen mayor número de mitocondrias:,1. Fibras musculares de contracción rápida.,2. Fibras musculares de contracción lenta.,3. Hepatocitos.,4. Adipocitos.,5. Macrófagos.,2,2006
59. Tiene un menor contenido proteico la:,1. Membrana interna de la mitocondria.,2. Membrana plasmática.,3. Vaina de mielina.,4. Membrana del retículo endoplásmico.,5. Membrana de los lisosomas.,3,2006
60. El término centrómero designa:,1. El cinetocoro.,2. La constricción primaria vista al microscopio óptico.,3. El organizador nucleolar.,4. La constricción secundaria.,5. Un acúmulo de cromómeros.,2,2006
61. Las desmoplaquinas son proteínas presentes en:,1. La placa ecuatorial.,2. Desmosomas.,3. Placa motora.,4. Plasmodesmos.,5. Poros nucleares.,2,2006
62. En el aparato de Golgi:,1. La cara CIS es la más próxima a la membrana plasmática.,2. La cara CIS es la más próxima al retículo endoplasmático rugoso.,3. Se da la síntesis de proteínas.,4. Las vesículas de transición se fusionan en la zona TRANS.,5. La liberación de cualquier tipo de vesículas sólo tiene lugar en la cara TRANS.,2,2006
63. El músculo esquelético:,1. Carece de células madre.,2. Sus células madre son las propias fibras musculares diferenciadas.,3. Sus células madre son las células “satélite”.,4. Se regenera a partir de fibroblastos.,5. Se regenera a partir de las células endoteliales.,3,2006
64. El epitelio de la tráquea es:,1. Cilíndrico simple ciliado.,2. Cilíndrico pseudoestratificado ciliado.,3. Cúbico simple.,4. Plano estratificado queratinizado.,5. Cúbico estratificado.,2,2006
65. Se observan células caliciformes en:,1. Piel.,2. Esófago.,3. Vejiga urinaria.,4. Intestino delgado.,5. Ovario.,4,2006
"66. En el hombre, el cartílago más abundante es:",1. Hialino.,2. Elástico.,3. Fibrocartílago.,4. Cartílago mucoso.,5. Condrocartílago.,1,2006
67. El acrosoma puede s er considerado como un:,1. Cuerpo mielínico.,2. Gránulo de secreción.,3. Lisosoma.,4. Vesícula de transición.,5. Cuerpo pigmentario.,3,2006
68. En el adulto la cavidad medular ósea está ocupada por:,1. Médula ósea roja.,2. Médula ósea amarilla (tejido adiposo mayoritariamente).,3. Tejido conjuntivo fibrilar denso.,4. Tejido pulposo.,5. Cartílago en degeneración.,0,2006
69. Las proteínas de secreción y las lisosomales siguen rutas diferentes a partir de:,1. El retículo endoplásmico.,2. El ERGIC.,3. El cis-Golgi.,4. La región media del Golgi.,5. El trans-Golgi.,5,2006
70. Adquieren sus proteínas por transporte vesicular:,1. Mitocondrias.,2. Retículo endoplásmico.,3. Núcleo.,4. Lisosoma.,5. Peroxisoma.,4,2006
"71. En la osificación endocondral, la muerte de los condrocitos del modelo cartilaginoso está causada por:",1. Calcificación de la matriz cartilaginosa.,2. Ausencia de vasos sanguíneos.,3. Inactivación de la hormona de crecimiento.,4. Acción de los condroclastos.,5. Acción de los osteoclastos.,1,2006
72. La principal estación de clasificación de la ruta endocítica es:,1. El endosoma temprano.,2. El endosoma de reciclaje.,3. Los cuerpos multivesiculares.,4. El endosoma tardío.,5. Los lisosomas.,1,2006
73. Las vesículas COPI transportan material desde:,1. La membrana plasmática al endosoma temprano.,2. El cis-Golgi al trans-Golgi.,3. El trans-Golgi a la membrana plasmática.,4. El trans-Golgi a los lisosomas.,5. El cis-Golgi al RE.,5,2006
74. La principal estación de clasificación de la vía secretora es:,1. Retículo endoplásmico.,2. ERGIC.,3. cis-Golgi.,4. trans-Golgi.,5. Lisosomas.,4,2006
75. Las células están unidas entre sí por uniones estrechas en:,1. Epineuro.,2. Endoneuro.,3. Perineuro.,4. Células del epineuro con las del perineuro.,5. Células del perineuro con las del endoneuro.,3,2006
76. En la tinción de Gram  el resultado positivo es consecuencia de:,1. La carga negativa conferida por los ácidos teicoicos.,2. La disolución de la membrana externa durante la decoloración con alcohol.,3. La retención del cristal violeta debida a la contracción de la pared de los Gram positivos durante la decoloración con alcohol.,4. La afinidad de las proteínas de los Gram positivos por el cristal violeta.,5. La baja permeabilidad al cristal violeta de la membrana externa de los Gram negativos.,3,2006
77. El tiempo de reducción decimal es el necesario para:,1. Eliminar el 90% de los microorganismos de una muestra a una temperatura concreta.,2. Esterilizar una muestra en el autoclave.,3. Destruir todos los microorganismos de una muestra a una temperatura concreta.,4. Eliminar el 10% de los microorganismos de una muestra a una temperatura concreta.,5. Destruir una población de microorganismos a121ºC.,1,2006
78. El componente más característico de la membrana externa de las proteobacterias es el(la):,1. Bactoprenol.,2. Lipopolisacárido.,3. Pilina.,4. Lipoproteína de Bayer.,5. Ácidos lipoteicoicos.,2,2006
79. Los flagelos bacterianos:,1. Contienen 9 pares de fibras proteicas.,2. Requieren directamente ATP para moverse.,3. Tienen un filamento unido a un cuerpo basal a través del “gancho”.,4. Pueden tener varios filamentos unidos al mismo cuerpo basal a través de los respectivos “ganchos”.,5. Son el único mecanismo descrito de motilidad bacteriana.,3,2006
80. El peptidoglucano de las bacterias Gram negativas está formado por cadenas:,1. De aminoazúcares unidas por tetrapéptidos.,2. De aminoazúcares unidas por pentapéptidos.,3. Polipeptídicas unidas por tetrasacáridos.,4. Proteicas unidas por glucosamina y murámico.,5. Polisacarídicas ligadas a proteínas de membrana externa.,1,2006
81. NO se detecta peptidoglucano en:,1. Rickettsia.,2. Anabaena.,3. Streptomyces.,4. Treponema.,5. Mycoplasma.,5,2006
"82. En la endospora bacteriana, contribuyen directamente a proteger el DNA:",1. El exosporio.,2. La existencia de abundantes dímeros de timina.,3. Ciertas proteínas ácido-solubles de bajo peso molecular (SASPs).,4. Una hiper-metilación de algunas bases.,5. Una hiper-hidratación del citoplasma.,3,2006
83. Las capas mucosas producidas por muchas bacterias:,1. Son exclusivas de bacterias Gram positivas.,2. Son típicas de bacterias planctónicas.,3. Tienen como fin favorecer la dispersión de la bacteria.,4. A menudo actúan como estructuras de adherencia.,5. No actúan como factores de virulencia.,4,2006
"84. Para solubilizar y captar Fe 3+, los microorganismos producen:",1. Heminas.,2. Quelantes.,3. Ferrilactonas.,4. Ferrimicinas.,5. Sideróforos.,5,2006
"85. Cuando E. coli crece en presencia de una mezcla de glucosa, lactosa y sales minerales:",1. No muestra crecimiento exponencial.,2. No fermenta.,3. Usa primero el azúcar que está en mayor concentración.,4. Usa simultáneamente varios azúcares.,5. Usa primero la glucosa.,5,2006
86. Las bacterias pueden respirar:,1. Amonio.,2. Sulfuro de hidrógeno.,3. Sulfatos.,4. Acetato.,5. Formato.,3,2006
87. La concentración mí nima inhibitoria de un antibiótico se determina por el método de:,1. Kirby-Bauer.,2. La difusión con discos impregnados.,3. El antibiograma.,4. Las diluciones límites.,5. La nefelometría.,4,2006
88. Se une al pentapéptido  y bloquea la transpeptidación (síntesis del peptidoglucano) la(el):,1. Vancomicina.,2. D-cicloserina.,3. Bacitracina.,4. Penicilina.,5. Ácido nalidíxico.,1,2006
89. El género de bacterias más abundante en heces humanas es:,1. Escherichia.,2. Enterococcus.,3. Veillonela.,4. Clostridium.,5. Bacteroides.,5,2006
90. Las clamidias:,1. Generan clamidiosporas que soportan elevadas temperaturas.,2. Son metabólicamente versátiles y pueden respirar o fermentar.,3. Son parásitos afines a las rickettsias (alfaproteobacterias).,4. Forman “cuerpos reticulados” durante la multiplicación intracelular obligada.,5. Son parásitos intracelulares facultativos.,4,2006
91. El agente del tifus epidémico pertenece al género:,1. Coxiella.,2. Rickettsia.,3. Bordetella.,4. Rochalimaea.,5. Clostridium.,2,2006
92. El agente de la tos ferina pertenece al género:,1. Francisella.,2. Bartonella.,3. Bordetella.,4. Corynebacterium.,5. Mycobacterium.,3,2006
93. Es una propiedad de todos los miembros del orden Enterobacteriaceae:,1. La flagelación polar.,2. Ser negativas en la prueba de la citocromo C oxidasa.,3. Ser negativas en la prueba de la catalasa.,4. Producir butanodiol.,5. Fermentar la lactosa.,2,2006
94. Presentan un filamento axial de naturaleza flagelar las(los):,1. Espirilos.,2. Espiroquetas.,3. Mixobacterias.,4. Actinobacterias.,5. Flavobacterias.,2,2006
95. El género Mycobacterium:,1. Es un Gram positivo del grupo con bajo contenido en guaninacitosina.,2. Genera endosporas en condiciones desfavorables.,3. Incluye especies que producen gangrena gaseosa.,4. Presenta ácidos micólicos en la pared.,5. Posee una membrana externa muy permeable.,4,2006
96. Muchas bacterias productoras de antibióticos empleadas por la industria pertenecen al género:,1. Corynebacterium.,2. Myxococcus.,3. Chondromyces.,4. Penicillium.,5. Streptomyces.,5,2006
97. Genera endosporas en situaciones de estrés nutricional:,1. Clostridium.,2. Lactobacillus.,3. Staphylococcus.,4. Myxococcus.,5. Streptococcus.,1,2006
98. Es un género frecuente y abundante en la piel humana:,1. Pseudomonas.,2. Escherichia.,3. Lactobacillus.,4. Bacteroides.,5. Staphylococcus.,5,2006
99. La toxina diftérica de Corynebacterium difteriae es producida por:,1. Todas las cepas de la especie.,2. Sólo las cepas infectadas por un transposón conjugativo.,3. Un plásmido conjugativo presente en algunas cepas.,4. Un plásmido no conjugativo presente en algunas cepas de la especie.,5. Cepas lisogenizadas por el fago beta.,5,2006
100. Incorpora esteroles en su membrana:,1. Mycobacterium.,2. Mycoplasma.,3. Myxococcus.,4. Rickettsia.,5. Acholeoplasma.,2,2006
101. La toxina botulínica:,1. Cataliza la ADP-ribosilación del factor 2 de elongación en la síntesis de proteínas eucarióticas.,2. Bloquea la liberación de glicina en las sinapsis nerviosas.,3. Activa la adenilato ciclasa tras fijarse a un gangliósido.,4. Bloquea la liberación de acetilcolina de la membrana presináptica en la unión neuromuscular.,5. Bloquea la neurotransmisión al degradar la mielina.,4,2006
102. Es causa frecuente de intoxicaciones alimentarias:,1. Staphylococcus aureus.,2. Clostridium tetani.,3. Streptococcus pneumoniae.,4. Pseudomonas aeruginosa.,5. Rickettsia prowazekii.,1,2006
103. Es un Gram positivo parásito intracelular facultativo:,1. Pseudomonas aeruginosa.,2. Campylobacter jejuni.,3. Escherichia coli O157:H7.,4. Listeria monocytogenes.,5. Brucella abortus.,4,2006
104. Ha sido implicado en la formación de caries dental:,1. Staphylococcus.,2. Actinomyces.,3. Fusobacterium.,4. Streptococcus.,5. Treponema.,4,2006
105. Son factores de virulencia bacterianos:,1. Ciertas fimbrias.,2. Los plásmidos de resistencia antibióticos.,3. Los endoflagelos.,4. Las autolisinas.,5. Las secuencias de inserción.,1,2006
106. Para purificar viriones se puede emplear la:,1. Electroforesis bidimensional.,2. Cromatografía en capa fina.,3. Cromatografía de alta presión con columnas de fase reversa.,4. Microscopía láser confocal.,5. Centrifugación diferencial y por gradiente de densidad.,5,2006
107. Una de las siguientes familias de virus se replica en el citoplasma celular por contener DNA y RNA polimerasa propias en el virión:,1. Poxviridae.,2. Parvoviridae.,3. Arenaviridae.,4. Paramyxoviridae.,5. Adenoviridae.,1,2006
"108. En ciertos bacteriófagos, el profago es:",1. Un intermediario en el proceso de ensamblaje.,2. La forma infectiva.,3. Un antecesor evolutivo.,4. Una forma replicativa intermediaria del ácido nucleico.,5. La forma latente del genoma fágico en el interior de una bacteria lisogénica.,5,2006
109. El determinante principal de especificidad de infección de un virus por un determinado hospedador y/o tejido es la:,1. Virulencia de la cepa de virus.,2. Ausencia de una respuesta inmune efectiva en el hospedador.,3. Morfología y simetría del virión.,4. Existencia de moléculas celulares receptoras que se unan a la superficie del virión.,5. Clase de ácido nucleico contenido en el virión.,4,2006
"110. Para una infección efectiva, precisan de más de una molécula receptora en la célula algunos miembros de la familia:",1. Picornaviridae.,2. Herpesviridae.,3. Orthomyxoviridae.,4. Rhabdoviridae.,5. Inoviridae.,2,2006
111. La diferencia entre un virón envuelto y otro desnudo es que el primero posee:,1. Especificidad de infección y el segundo no.,2. Cápsida y el segundo no.,3. Ácido nucleico y el segundo no.,4. Envoltura lipoproteica y el segundo no.,5. Envoltura glicolipídica y el segundo no.,4,2006
112. El tipo de genoma más común entre los bacteriófagos es:,1. RNA lineal de cadena sencilla.,2. DNA circular de cadena sencilla.,3. RNA lineal de cadena sencilla.,4. DNA de cadena doble.,5. RNA de cadena doble.,4,2006
113. A la existencia de secuencias repetidas en ambos extremos de una molécula de ácido nucleico vírico se le denomina:,1. Redundancia terminal directa.,2. Repetición terminal invertida.,3. Extremos cohesivos.,4. Permutación circular.,5. Extremos en horquilla.,1,2006
114. Una de las siguientes características está implicada en los fenómenos de restricciónmodificación fágica:,1. Bases glicosiladas en un genoma RNA bicatenario.,2. Permutación circular  en un genoma DNA bicatenario.,3. Proteína A unida a los extremos 5 ′ de un genoma DNA bicatenario.,4. La existencia de 5-hidroximetilcitosina en el genoma DNA  bicatenario.,5. Extremos cohesivos en el genoma de DNA bicatenario.,4,2006
115. Algunas personas son resistentes al desarrollo del SIDA porque carecen de la (el):,1. Interleucina I (IL-1).,2. Factor de crecimiento derivado de plaquetas (PDGF).,3. Proteína receptora de quimiocinas CCR5.,4. Factor de necrosis tumoral (TNF).,5. Integrina ICAM-1.,3,2006
116. Un mecanismo de evasión de las defensas del hospedador utilizado por el virus de la hepatitis B es la:,1. Infección de células del sistema inmune.,2. Infección de células que no expresan complejo principal de histocompatibilidad.,3. Inhibición de la función del complejo principal de histocompatibilidad.,4. Sobreproducción de antígenos víricos no asociados a viriones infectivos.,5. Inducción de la fusión de células del hospedador para pasar de una célula a otra.,4,2006
117. La amantadina resulta útil en las infecciones por:,1. El virus de la gripe.,2. Herpesvirus.,3. Rotavirus.,4. El virus de la hepatitis B.,5. El virus de la rubeola.,1,2006
118. La vacuna triple vírica del calendario español de vacunaciones protege frente a:,"1. Varicela, herpes simple y sarampión.","2. Difteria, tétanos y tos ferina.","3. Hepatitis A, varicela y rubéola.","4. Parotiditis, sarampión y rubéola.","5. Rubéola, hepatitis A y varicela.",4,2006
119. La recombinación entre virus de la gripe de origen humano y aviar que da lugar al “cambio antigénico” ocurre en:,1. Vacas.,2. Cerdos.,3. Gatos.,4. Ratas.,5. Felinos.,2,2006
"120. De los siguientes grupos de virus con DNA bicatenario, sólo uno se replica en el citoplasma:",1. Papovavirus.,2. Herpesvirus.,3. Adenovirus.,4. Poliomavirus.,5. Poxvirus.,5,2006
121. Atraviesa la barrera placentaria la:,1. IgA.,2. IgD.,3. IgE.,4. IgG.,5. IgM.,4,2006
122. El isotipo de una molécula de anticuerpo está determinado por la secuencia de aminoácidos de la(s) región(es):,1. Constante de la cadena ligera.,2. Variable de la cadena ligera.,3. Constante de la cadena pesada.,4. Variable de la cadena pesada.,5. Variables de las cadenas pesada y ligera.,3,2006
123. Es correcto afirmar que:,1. La IgM tiene 5 sitios de unión para el antígeno porque es dimérica.,2. La IgA es el isotipo predominante en las mucosas.,3. Todos los isotipos de las inmunoglobulinas presentan subclases.,4. La IgE es multimérica.,5. La IgD activa complemento.,2,2006
124. El sentido biológico del proceso tímico de la selección positiva es:,1. Rescatar células que reconozcan MHC propio.,2. Adjudicar la especifici dad antigénica de los linfocitos T.,3. Impedir que se responda a lo propio.,4. Reducir la viabilidad linfocitaria.,5. Frenar la involución tímica.,0,2006
125. NO es una función de linfocitos T la:,1. Producción de citoquinas.,2. Lisis de células diana.,3. Inducción de cambio de clase de inmunoglobulinas.,4. Citotoxicidad celular dependiente de anticuerpos.,5. Cooperación con el linfocito B.,4,2006
126. Los productos de los genes TAP-1 y TAP-2:,1. Se unen a beta2-microglobulina.,2. Impiden la unión de péptidos a las moléculas MHC.,3. Forman parte del proteosoma.,4. Transportan péptidos al interior del retículo endoplásmico para su unión con moléculas MHC de clase II.,5. Transportan péptidos al retículo endoplásmico para su unión a MHC de Clase I.,5,2006
127. CD80 se expresa en:,1. Mastocitos especializados.,2. Células plasmáticas.,3. Todos los linfocitos T.,4. Células NK.,5. Células que estimulan la proliferación de los linfocitos T.,5,2006
128. Es correcto afirmar que la células:,1. Th2 producen citoquinas que activan preferentemente linfocitos T CD8+.,2. Th1 producen citoquinas que inactivan a macrófagos.,3. Th1 producen mayoritariamente IL-10.,4. Th2 producen citoquinas importantes en las reacciones alérgicas.,5. Th2 producen mayoritariamente IFN-gamma.,4,2006
129. Sólo una de las siguientes asociaciones tienen sentido:,1. MHC I – péptidos de más de 24 aminoácidos.,2. MHC I – péptidos exógenos.,3. MHC II – endosomas.,4. Beta-2 microglobulina-polimorfismo.,5. MHC I – cadena invariante.,3,2006
130. El complejo genético HLA en humanos se localiza en el cromosoma:,1. 1.,2. 6.,3. 12.,4. 17.,5. 21.,2,2006
"131. Al menos en ratones, el cambio de isotipo hacia IgG1 e IgE es inducido preferencialmente por la:",1. IL-3.,2. IL-4.,3. IL-6.,4. IL-7.,5. IL-8.,2,2006
132. Una proteína del sistema del complemento que no es activada por proteolisis es:,1. C3.,2. Factor B.,3. Factor D.,4. C2.,5. C4.,3,2006
133. Un aloinjerto es un tipo de trasplante:,1. Entre individuos de distinta especie.,2. Entre individuos idénticos genéticamente.,3. En el que se trasplantan órganos del mismo individuo.,4. Entre individuos de la misma especie genéticamente distintos.,5. Que no tiene problemas de histocompatibilidad.,4,2006
