Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
17. Los glucocorticoides:,1. Aumentan los niveles de ACTH.,2. Estimulan la secreción de CRH.,3. Son antiinflamatorios.,4. Son hipoglucemiantes.,5. Aumentan las respuestas inmunitarias.,3,2013
18. El lactógeno placentari o tiene efectos equivalentes a:,1. GH,2. Insulina.,3. Oxitocina.,4. Estrógenos.,5. FSH.,1,2013
19. Carece de control hipotalámico:,1. Glucagón.,2. ACTH.,3. Prolactina.,4. GH.,5. LH.,1,2013
20. Los riñones secretan la hormona:,1. Calcitriol.,2. Renina.,3. Angiotensina II.,4. Aldosterona.,5. Calcitonina.,1,2013
21. La neurohipófisis:,1. Es una continuación del hipotálamo.,2. Presenta doble control hipotalámico.,3. Recibe hormonas hipotalámicas vía sanguínea.,4. Es irrigada por el sistema porta hipotálamohipofisis.,5. Produce prolactina.,1,2013
22. La secreción de GH:,1. Cesa tras la pubertad.,2. Aumenta durante el ayuno.,3. Disminuye durante el sueño.,4. Es estimulada por la somatostatina.,5. Es inhibida por el ejercicio.,2,2013
23. Las hormonas tiroideas inhiben:,1. El metabolismo basal.,2. La producción de calor corporal.,3. El crecimiento.,4. El desarrollo y maduración del sistema nervioso central.,5. La secreción de TSH.,5,2013
24. La prolactina estimula la:,1. Secreción de leche.,2. Eyección láctea.,3. Depósito de grasa en las mamas.,4. Formación de los conductos mamarios.,5. Formación de las células secretoras mamarias.,1,2013
25. El segundo ruido cardíaco coincide con:,1. Final de la diástole ventricular.,2. Final de la diástole auricular.,3. Apertura de la válvula aórtica.,4. Sístole auricular.,5. Cierre de las válvulas semilunares.,5,2013
26. La activación de los barorreceptores arteriales causa:,1. Estimulación del centro presor bulbar.,2. Activación del parasimpático.,3. Aumento de la presión arterial.,4. Taquicardia.,5. Efecto inotrópico positivo.,2,2013
27. La velocidad del flujo sanguíneo es máxima en:,1. Grandes arterias.,2. Arterias de distribución.,3. Arteriolas.,4. Capilares.,5. Vénulas.,1,2013
28. Son esenciales para la coagulación sanguínea:,1. Glóbulos rojos.,2. Glóbulos blancos.,3. Plaquetas.,4. La linfa.,5. La glucosa sérica.,3,2013
29. El fibrinógeno se activa por:,1. Tapón plaquetario.,2. Plasmina.,3. Trombina.,4. Tromboplastina.,5. Factor von Willebrand,3,2013
30. El llenado ventricular es mayor durante:,1. Relajación isovolumétrica ventricular.,2. Primer tercio de la diástole ventricular.,3. Sístole auricular.,4. Fase intermedia de la diástole ventricular.,5. Es uniforme.,2,2013
31. Los principales vasos que regulan el flujo sanguíneo son:,1. Arterias.,2. Arteriolas.,3. Capilares.,4. Vénulas.,5. Venas.,2,2013
32. Tras la sístole ventricular el volumen de sangre en el ventrículo es:,1. Cero.,2. El telesistólico.,3. El sistólico.,4. El telediastólico.,5. Mayor en el ventrículo derecho que en el izquierdo.,2,2013
33. El intervalo QT del electrocardiograma indica la duración de la:,1. Contracción auricular.,2. Contracción ventricular.,3. Relajación ventricular.,4. Relajación auricular.,5. Retraso en el nodo aurículo-ventricular.,2,2013
34. Activa el sistema renina-angiotensinaaldosterona un aumento de la:,1. Presión arterial.,2. Actividad parasimpática.,3. Concentración de Ca2+ en plasma.,4. Concentración de Na+ en plasma.,5. Actividad simpática.,5,2013
35. Durante la sístole ventricular:,1. Se expulsa toda la sangre ventricular.,2. La presión intraventricular es igual en ambos ventrículos.,3. El volumen ventricula r empieza a disminuir desde el principio de la contracción.,4. Las válvulas aurículo-ventriculares están abiertas.,5. Las aurículas están relajadas.,5,2013
36. El flujo linfático desde los pies:,1. Aumenta al ponerse de pie.,2. Aumenta por compresión externa.,3. Aumenta al disminuir la permeabilidad capilar.,4. Disminuye durante la inspiración.,5. Disminuye por el ejercicio.,2,2013
37. La ADH aumenta la:,1. Diuresis.,2. Natriuresis.,3. Reabsorción de sodio.,4. Reabsorción de urea.,5. Osmolaridad plasmática.,0,2013
38. La reabsorción de glucosa en la nefrona:,1. No tiene tasa máxima.,2. Es inferior al 50% de la filtrada.,3. Se realiza en el túbulo proximal.,4. Está mediada por la insulina.,5. Es por difusión simple.,3,2013
39. La orina es hipoosmolar respecto al plasma en:,1. Cápsula de Bowman.,2. Túbulo proximal.,3. Zona medular del asa de Henle.,4. Zona inicial del túbulo distal.,5. Túbulo colector en presencia de ADH.,4,2013
"40. En el sistema digestivo, el vago:",1. Estimula la contracción del cardias.,2. Media el reflejo gastro-cólico.,3. Disminuye la secreción de ácido gástrico.,4. Inhibe la secreción de bicarbonato pancreático.,5. No es colagogo.,2,2013
41. La colecistocinina:,1. Inhibe la secreción de bicarbonato pancreático.,2. Reduce la motilidad gástrica.,3. Estimula el apetito.,4. Reduce la motilidad del colédoco.,5. Relaja el esfínter de Oddi.,0,2013
42. Inhibe la secreción de gastrina la:,1. Estimulación parasimpática.,"2. Vista, aroma y gusto del alimento.",3. Distensión del estómago.,4. Presencia de proteínas en el estómago.,5. Somatostatina.,5,2013
43. La presión alveolar supera a la atmosférica:,1. En la fase inicial de la inspiración.,2. En la fase media de la inspiración.,3. En la fase media de una espiración.,4. Al finalizar la espiración.,5. Al finalizar la inspiración.,3,2013
44. El espacio muerto anatómico:,1. Es siempre mayor que el fisiológico.,2. Secreta surfactantes.,3. Incluye bronquiolos de mediano calibre.,4. Permite intercambio gaseoso.,5. Incluye el volumen de reserva inspiratoria.,3,2013
45. Si la pO 2 arterial disminuye a 60 mm de Hg:,1. Disminuye la ventilación.,2. Se activan los quimiorreceptores centrales.,3. Se deprimen los quimiorreceptores centrales.,4. Se activan los quimiorreceptores arteriales.,5. Produce pérdida de consciencia.,4,2013
46. Las neuronas piramidales están en:,1. Cerebelo.,2. Cerebro.,3. Médula espinal.,4. Ganglios raquídeos.,5. Hipófisis.,2,2013
47. La inclusión lipídica de los adipocitos uniloculares está rodeada por:,1. Filamentos de actina.,2. Filamentos de miosina.,3. Filamentos de vimentina.,4. Microtúbulos.,5. Membrana proveniente del retículo endoplasmático liso.,3,2013
48. La presencia de fosfatid ilserina en la superficie celular indica:,1. Senescencia celular.,2. Apoptosis.,3. Necrosis.,4. Mitosis.,5. Estimulación hormonal.,2,2013
49. Las hidrolasas de los lisosomas actúan en medio:,1. Ácido.,2. Básico.,3. Neutro.,4. Depende del material a digerir.,5. A cualquier pH.,1,2013
50. La heterocromatina carece de:,1. Histona H1.,2. Nucleosomas.,3. Exones.,4. Actividad transcripcional.,5. Orígenes de replicación.,4,2013
51. El epitelio de la epidermis es:,1. Plano estratificado queratinizado.,2. Plano estratificado no queratinizado.,3. Cilíndrico simple queratinizado.,4. Cilíndrico estratificado queratinizado.,5. Cúbico estratificado.,1,2013
52. La célula se destruye para liberar la secreción:,1. Merocrina.,2. Apocrina.,3. Endocrina.,4. Holocrina.,5. Paracrina.,4,2013
"53. De entre las siguientes, la primera célula precursora de los granulocitos neutrófilos es:",1. Monoblasto.,2. Mieloblasto.,3. Metamielocito.,4. Célula en banda (o en cayado),5. Promielocito.,2,2013
54. El sistema en T:,1. Está presente en todas las células musculares sin excepción.,2. Forma parte del retículo sarcoplásmico.,3. Posee una ATPasa activada por Ca2+.,4. Es una invaginación tubular de la membrana plásmica.,5. Libera Ca2+ al citosol durante la contratación.,4,2013
55. En las células eucariotas los lípidos de la membrana se sintetizan principalmente en:,1. Retículo endoplásmico rugoso.,2. Aparato de Golgi.,3. Retículo endoplasmático liso.,4. Mitocondrias.,5. Ribosomas.,3,2013
56. El cartílago fibroso es típico de:,1. Tráquea.,2. Bronquios.,3. Pabellón auricular,4. Discos intervertebrales.,5. Conducto auditivo externo.,4,2013
57. Presenta células centroacinosas la glándula:,1. Parótida.,2. Submaxilar.,3. Sublingual.,4. Páncreas.,5. Hígado.,4,2013
58. Los capilares continuos son típicos de:,1. Sistema nervioso central.,2. Hígado.,3. Glándulas.,4. Riñón.,5. Tubo digestivo.,1,2013
59. Las células de Müller de la retina son:,1. Neuronales modificadas.,2. Glandulares.,3. Neurogliales de soporte.,4. De la microglía.,5. De la capa pigmentaria.,3,2013
60. El espacio entre membrana externa e interna mitocondrial:,1. Es químicamente equivalente al citosol.,2. Contiene las enzimas del ciclo del ácido cítrico.,3. Alberga reacciones de oxidación de la cadena transportadora de electrones,4. Contiene muchas enzimas líticas.,5. Contiene solamente agua.,0,2013
61. Las subunidades ribosómicas se forman en el:,1. Nucleoplasma.,2. Nucléolo.,3. Lámina nuclear.,4. Poro nuclear.,5. Citoplasma.,2,2013
62. La lámina nuclear está formada por:,1. Actina.,2. Tubulina.,3. Filamentos intermedios.,4. Fibronectina.,5. Laminina.,3,2013
63. La importina interviene en el transporte de proteínas desde el citoplasma a:,1. Núcleo.,2. Retículo endoplásmico.,3. Mitocondria.,4. Peroxisoma.,5. Lisosoma.,1,2013
64. Se forman por maduración de los endosomas tardíos:,1. Lisosomas.,2. Fagosomas.,3. Cuerpos multivesiculares.,4. Gránulos de secreción.,5. Proteosomas.,1,2013
65. El desplazamiento celular por reptación depende de:,1. Cilios.,2. Estereocilios.,3. Flagelos.,4. Filamentos de actina.,5. Microvellosidades.,4,2013
66. Poseen ribosomas propios:,1. Lisosomas.,2. Peroxisomas.,3. Endosomas.,4. Gránulos de secreción.,5. Mitocondrias.,5,2013
67. Quinesina y dineína son:,1. Proteínas de adhesión.,2. Motores microtubulares.,3. Enzimas degradativas.,4. Componentes de la cubierta vesicular.,5. Factores transcripcionales.,2,2013
68. Producen mielina en el sistema nervioso central:,1. Astrocitos.,2. Células ependimarias.,3. Células satélites.,4. Células de Schwann.,5. Oligodendrocitos.,5,2013
69. NO ocurre durante la apoptosis:,1. Rotura de la membrana plasmática.,2. Condensación de la cromatina.,3. Colapso del citoesqueleto.,4. Fragmentación del ADN.,5. Formación de cuerpos apoptóticos.,1,2013
70. Los desmosomas:,1. Comunican los citoplasmas de células contiguas.,2. Sellan el espacio intercelular.,3. Rodean todo el perímetro celular.,4. Unen la célula a la lámina basal.,5. Son uniones adhesivas intercelulares puntuales.,5,2013
71. Es avascular el tejido:,1. Cartilaginoso.,2. Adiposo.,3. Óseo.,4. Muscular.,5. Nervioso.,1,2013
72. Las células caliciformes pertenecen al tejido:,1. Epitelial.,2. Conjuntivo.,3. Cartilaginoso.,4. Óseo.,5. Adiposo.,1,2013
73. Los mastocitos o células cebadas pertenecen al tejido:,1. Epitelial.,2. Conjuntivo.,3. Adiposo,4. Linfoide.,5. Nervioso.,2,2013
74. Producen la resorción ósea:,1. Fibroblastos.,2. Osteoblastos.,3. Osteoclastos.,4. Osteocitos.,5. Osteona.,3,2013
75. Son fragmentos del citoplasma de una célula precursora:,1. Linfocitos.,2. Megacariocitos.,3. Monocitos.,4. Plaquetas.,5. Eritrocitos.,4,2013
"76. Si un test estadístico ofrece un valor p<0,05:",1. Se acepta la hipótesis nula.,2. Se rechaza la hipótesis alternativa.,3. Se rechaza la hipótesis nula.,4. No se puede rechazar la hipótesis nula.,5. No existe evidencia a favor de la hipótesis alternativa.,3,2013
77. Un intervalo de confianza para estimar la media poblacional será tanto más preciso cuanto:,1. Menor sea el nivel de confianza.,2. Mayor sea la dispersión de la muestra.,3. Menor sea el tamaño de la muestra.,4. Mayor sea el error típico muestral.,5. Mayor sea el nivel de confianza.,1,2013
"78. Si los resultados de un test de normalidad ofrecen un valor p<0,005:",1. Se puede asumir que la variable no sigue una distribución normal.,2. No se puede asumir que la variable no sigue una distribución normal.,3. Se puede asumir que la variable sigue una distribución normal.,4. El test ha resultado ser significativo.,5. El test ha resultado ser muy significativo.,0,2013
"79. Si una muestra de tamaño 100 tiene una desviación típica de 10, su error típico es:",1. 10.,2. 100.,"3. 0,1.",4. 1.,5. No hay datos suficientes para calcularlo.,4,2013
80. ¿Cuántos grados de libertad tiene un test de t de Student aplicado a dos muestras relacionadas con un total de 25 individuos?,1. 26.,2. 24.,3. 23.,4. 48.,5. 47.,2,2013
81. El embarazo ectópico más habitual se produce en:,1. La trompa de Falopio.,2. El tubo oviductal.,3. El cuello uterino.,4. El ovario.,5. El abdomen.,1,2013
82. El blastocisto se desprende de la zona pelúcida en:,1. El ovario.,2. La trompa de Falopio.,3. Tubo oviductal.,4. El útero.,5. La vagina.,4,2013
83. El término que engloba los cambios del endometrio durante el embarazo es:,1. Eclosión.,2. Aposición.,3. Adhesión.,4. Invasión.,5. Decidualización.,5,2013
"84. Tras la gastrulación, el epiblasto se transforma en:",1. Endodermo.,2. Mesodermo.,3. Ectodermo.,4. Celoma.,5. Vellosidades coriónicas.,3,2013
85. En la formación de la piel intervienen:,1. Solo el ectodermo.,"2. El ectodermo, mesodermo y células de la cresta neural.",3. El ectodermo y mesodermo.,4. El ectodermo y células de la cresta neural.,5. Solo el mesodermo.,2,2013
"86. En el genoma humano, las secuencias codificantes se denominan:",1. Exones.,2. Promotores.,3. Intensificadores.,4. Intrones.,5. Adaptadores.,1,2013
87. A la cantidad de ADN en un genoma se le denomina valor:,1. A.,2. D.,3. An.,4. C.,5. Cn.,4,2013
88. El mecanismo más frecuente que induce la activación del protooncogen ABL en la leucemia mieloide crónica es la:,1. Mutación puntual.,2. Ampliación génica.,3. Metilación del promotor.,4. Deleción.,5. Translocación.,5,2013
89. Tiene una herencia recesiva ligada al cromosoma X la:,1. Acatalasemia.,2. Hemofilia A.,3. Síndrome de Rett.,"4. Fibrosis quística,",5. Hipofosfatemia.,2,2013
"90. En eucariotas, la RNA polimerasa que transcribe ARNs ribosómicos pequeños es la:",1. II.,2. I.,3. IV.,4. III.,5. V.,4,2013
91. Para silenciar el ARN mensajero (ARNm) los siARN y los miARN se unen generalmente a su:,1. Caja TATA.,2. 5´-UTR.,3. Casquete 5´.,4. 3´-UTR.,5. Cola de poli (A) 3.,4,2013
92. Genera fragmentos romos de ADN el enzima de restricción:,1. Bam HI.,2. Hae III.,3. Hind III.,4. Eco RI.,5. Eco RII,2,2013
"93. En eucariotas, los intrones del grupo II están en genes:",1. De ARNr.,2. De ARNt.,3. Que codifican proteínas en el núcleo.,4. Que codifican proteínas en las mitocondrias.,5. Ninguna es correcta.,4,2013
"94. En eucariotas, la ARN polimerasa I transcribe:",1. ARNr pequeños.,2. Pre-ARNm.,3. ARNsno.,4. ARNt.,5. ARNr grandes.,5,2013
95. ¿Qué enzima utiliza un retrovirus para sintetizar ADN copia de su genoma?,1. ADN polimerasa I.,2. cADN polimerasa I.,3. ARN polimerasa I.,4. cADN polimerasa II.,5. Transcriptasa inversa.,5,2013
96. ¿Cuántas secuencias palindrómicas existen en el cromosoma Y humano que permiten la recombinación Y-Y?:,1. 8.,2. 6.,3. 4.,4. 10.,5. 12.,1,2013
97. Es un oncogen:,1. NF1.,2. P53.,3. RB.,4. cMYC.,5. WT1.,4,2013
98. Es un codón de terminación de la traducción:,1. AUG.,2. UAU.,3. UGA.,4. UAC.,5. UGU.,3,2013
99. En la replicación del ADN de eucariotas las funciones que corresponden a la ADN polimerasa gamma (γ) son:,1. Síntesis translacional del ADN nuclear.,2. Replicación y reparación del ADN mitocondrial.,3. Iniciación de la síntesis del ADN nuclear.,4. Reparación del ADN nuclear.,5. Síntesis de la cadena líder y retrasada del ADN nuclear.,2,2013
"100. Si el porcentaje de guanina de una molécula de ADN de doble hebra es del 30%, el de adenina es:",1. 10%.,2. 70%.,3. 80%.,4. 20%.,5. 30%.,4,2013
"101. De entre los 5 tipos de histonas de la cromatina, la de menor peso molecular es:",1. H2A.,2. H2B.,3. H1.,4. H4.,5. H3.,4,2013
102. La estructura tridimensional del B-ADN:,1. Es más corta y ancha que la del A-ADN.,2. Posee alrededor de 20pb por cada giro de360º de la hélice.,3. Es la estructura más estable en condiciones fisiológicas.,4. Aparece cuando el ADN es colocado en una solución salina.,5. Es una hélice levógira.,3,2013
103. El Síndrome de Williams-Beuren se caracteriza por una microdeleción del brazo largo del cromosoma:,1. 4.,2. 22.,3. 15.,4. 17.,5. 7.,5,2013
104. El fenómeno genético que explica que la expresión de un gen esté influida por el sexo del progenitor es:,1. Característica limitada por el sexo.,2. Característica ligada al sexo.,3. Herencia citoplasmática.,4. Impronta genómica.,5. Efecto genético materno.,4,2013
105. En un pedrigrí de un rasgo autosómico dominante se observa que:,1. El rasgo aparece más frecuentemente en varones.,2. Las personas no afectadas no transmiten el rasgo.,3. El rasgo tiende a saltar generaciones.,4. Las personas afectadas tienen a ambos progenitores afectados.,5. El rasgo tiende a aparecer en la progenia de padres emparentados.,2,2013
"106. En la mitosis, la membrana nuclear se desintegra y los microtúbulos del huso se fijan a los cinetocoros en:",1. Citocinesis.,2. Prometafase.,3. Metafase.,4. Interfase.,5. Profase.,2,2013
107. Tiene una herencia dominante ligada al cromosoma X la:,1. Distrofia muscular de Duchenne.,2. Enfermedad de Fabry.,3. Corea de Huntington.,4. Fibrosis quística.,5. Síndrome de Rett.,5,2013
108. Tiene una herencia autosómica dominante la:,1. Alcaptonuria.,2. Corea de Huntington.,3. Síndrome de Rett.,4. Daltonismo.,5. Distrofia muscular de Duchenne.,2,2013
"109. El número de corpúsculos de Barr de las células de un hombre con cariotipo 48,XXXY es:",1. 2.,2. 1.,3. 0.,4. 3.,5. 4.,1,2013
110. El tipo de epistasia que explica la proporción fenotípica dihíbrida 15:1 es la:,1. Doble dominante.,2. Simple recesiva.,3. Doble dominante recesiva.,4. Doble recesiva.,5. Simple dominante.,1,2013
111. Para calcular el número de genotipos distintos en cualquier serie alélica se aplica la fórmula:,1. (n-1)/2.,2. n x (n+1)/2.,3. n x (n-1)/2.,4. (n-1) x (n+1)/2.,5. (2n-1)/2.,2,2013
112. Corresponde a una mutación por transversión el cambio:,1. T → C.,2. A → T.,3. G → A.,4. C → T.,5. A → G.,2,2013
113. El orden de las etapas del ciclo celular es:,"1. S, G1, Mitosis, G2.","2. G2, G1, S, Mitosis.","3. G1, Mitosis, G2, S.","4. S, G0, Mitosis, G1.","5. G1, S, G2, Mitosis.",5,2013
114. ¿Cuántos cromosomas tendría un varón con nulisomía para los cromosomas 17 y 18?,1. 43.,2. 45.,3. 44.,4. 42.,5. 40.,4,2013
115. NO está asociada con defectos en la reparación del ADN la:,1. Anemia de Fanconi.,2. Síndrome de Li-Fraumeni.,3. Síndrome de Bloom.,4. Xeroderma pigmentosa.,5. Anemia Falciforme.,5,2013
116. La desnaturalización de proteínas:,1. Altera la conformación nativa sin afectar la actividad biológica.,2. Siempre es irreversible.,3. Únicamente se puede conseguir mediante tratamiento con ácidos fuertes.,4. No afecta la estructura primaria.,5. Produce la hidrólisis de la proteína.,4,2013
117. En relación a la estructura de las proteínas:,1. Todas las proteínas globulares tienen los mismos dominios.,2. La estructura terciaria está presente únicamente en proteínas oligoméricas.,3. La hemoglobina es la única proteína que posee estructura cuaternaria.,4. Los dominios de las proteínas son regiones de plegamiento compacto que ejercen una determinada función.,5. Las estructuras terciaria y cuaternaria están mantenidas únicamente por los enlaces peptídicos.,4,2013
118. Respecto a los cofactores enzimáticos:,1. Todos los enzimas los requieren para ser activos.,2. Su unión al enzima siempre es de tipo covalente.,3. No hay dos enzimas que utilicen el mismo cofactor.,4. Pueden ser iones metálicos.,5. Únicamente tienen función estructural.,4,2013
119. En relación a la inhibición enzimática:,1. Un inhibidor irreversible provoca la desnaturalización del enzima.,2. Los inhibidores acompetitivos se unen al sustrato de la reacción.,3. Un inhibidor no competitivo no necesita unirse al enzima para ejercer su actividad.,4. Todos los inhibidores modifican Vmàx.,5. Un inhibidor competitivo aumenta el valor de Km.,5,2013
120. Contiene azufre la cadena lateral de:,1. Lisina.,2. Triptófano.,3. Cisteína.,4. Serina.,5. Alanina.,3,2013
121. Contiene un grupo imidazol la cadena lateral de:,1. Arginina.,2. Tirosina.,3. Glutamina.,4. Histidina.,5. Lisina.,4,2013
122. La ruta de los fosfatos de pentosa produce:,1. NADH y acetil-CoA.,2. NADPH y ribosa-5-fosfato.,3. NADH y ribosa-5-fosfato.,4. Urea.,"5. Ribulosa-1,5-bisfosfato.",2,2013
123. El oxígeno que consumimos en la cadena respiratoria se transforma en:,1. Acetil-CoA.,2. Dióxido de carbono.,3. Monóxido de carbono.,4. Agua.,5. Ácido carbónico.,4,2013
124. Cuando un enzima cataliza una reacción:,1. No se modifica y puede reutilizarse.,"2. No se modifica, pero pierde su actividad.",3. Siempre requiere la participación de cofactores.,4. Se desnaturaliza para facilitar la unión con el sustrato.,5. Siempre requiere energía.,1,2013
125. La velocidad máxima de una reacción enzimática:,1. Depende de la concentración de sustrato.,2. Depende de la concentración de enzima.,3. Se duplica al duplicar la concentración de sustrato.,4. Es Km/2.,5. Es la misma para todos los enzimas.,2,2013
126. Los cuerpos cetónicos:,1. Son utilizados por el hígado para sintetizar ácidos grasos.,2. Únicamente se forman en condiciones de buena alimentación.,3. Su formación es especialmente activa en músculo esquelético.,4. Se forma a partir de acetil-CoA.,5. Nunca dan acetona.,4,2013
"127. En general, los enzimas alostéricos:",1. Unen los efectores en el centro activo.,2. Forman enlaces covalentes con sus efectores negativos.,3. Originan curvas hiperbólicas de velocidad ante la concentración de sustrato.,4. Cambian de conformación cuando unen efectores.,5. Se modifican irreversiblemente cuando son inhibidos.,4,2013
128. Se oxida completamente en el ciclo del ácido cítrico:,1. -cetoglutarato.,2. Succinato.,3. Citrato.,4. Acetil-CoA.,5. Oxalacetato.,4,2013
129. Los animales NO  pueden sintetizar glucosa a partir de:,1. Glicerol.,2. Alanina.,3. Palmitato.,4. Oxalacetato.,5. Lactato.,3,2013
130. La piruvato carboxilasa:,1. Requiere biotina.,2. Usa un grupo metilo activado como fuente de carbono.,3. Cataliza la producción de acetil-CoA y dióxido de carbono.,4. Se activa en el músculo durante el ciclo de Cori.,5. Es un intermediario del ciclo del ácido cítrico.,1,2013
131. El ciclo de Cori:,1. Implica la síntesis y la degradación de glucógeno.,2. No implica la conversión de lactato en piruvato.,3. Únicamente tiene lugar en el hígado.,4. Oxida ácidos tricarboxílicos.,5. Implica glicolisis y gluconeogénesis.,5,2013
132. Se activa cuando se le une AMP cíclico la:,1. Adenilato ciclasa.,2. Proteína quinasa A.,3. Glucógeno fosforilasa quinasa.,4. Piruvato quinasa.,5. Fosfofructo quinasa 1.,2,2013
133. Los enantiómeros de una molécula son:,1. Muy distintos en todas sus propiedades químicas y físicas.,2. Imágenes especulares superponibles.,3. Distinguibles por su actividad óptica.,4. El resultado de la ciclación de una molécula en distintas posiciones.,5. Interconvertibles sin ruptura de enlaces covalentes.,3,2013
134. Las fuerzas que estabilizan la hélice alfa son:,1. Puentes de hidrógeno intracatenarios paralelos al eje de la hélice.,2. Puentes disulfuro entre metioninas.,3. Puentes de hidrógeno entre cadenas perpendiculares al eje de la hélice.,4. Fuerzas de van der Waals entre los radicales.,5. Enlaces entre radicales de lisina.,1,2013
135. La hemoglobina:,1. Disminuye su afinidad por el O2 a pH bajo.,2. Presenta una curva de saturación con O 2 desplazada hacia la derecha al aumentar el pH.,"3. Cuando une O2, une también H+.",4. Cuando pasa a la forma tensa libera H+.,5. Aumenta su afinidad por el O 2 al aumentar el pH.,0,2013
136. Los grupos fosfato de los nucleótidos:,1. Se estabilizan por unión a aniones divalentes.,2. Forman enlaces de baja energía de hidrólisis.,"3. Se denominan X, Y y Z según se alejan de la ribosa.",4. Están unidos al C3´ de la ribosa.,5. Presentan carga negativa.,5,2013
137. Sobre el enlace entre la base nitrogenada y la ribosa de los nucleótidos:,1. El carbono anomérico de la ribosa se encuentra en configuración alfa.,2. Es un enlace N-glucosídico.,3. Implica al C5´ de la ribosa.,4. En él participan grupos fosfato.,5. Es de distinta naturaleza para cada base nitrogenada.,2,2013
138. El enlace fosfodiéster:,1. Se forma por ataque de una base nitrogenada a un fosfato.,2. Se forma empleando como sustrato NMP.,3. En su formación se consume PPi.,4. Implica a un fosfato alfa de un nucleótido y a un grupo OH de la ribosa de otro.,5. No necesita catálisis enzimática.,4,2013
139. Las ARNt-aminoacil-transferasas:,1. Unen el aminoácido al ribosoma.,2. Unen el aminoácido al anticodón del ARNt.,3. Son RNA polimerasas.,4. Garantizan la fidelidad de la traducción.,5. No son importantes en la traducción.,4,2013
"140. En la traducción de procariotas, el primer ARNt:",1. Se introduce en el sitio A.,2. Une un aminoácido metilado.,3. Va acompañado del factor IF2.,4. Se empareja con un codón de inicio UGA.,5. Une siempre serina.,3,2013
141. Sobre la síntesis de proteínas es correcto afirmar que:,1. Comienza por el extremo carboxilo.,2. El ARNm se traduce desde el extremo 5´ al3´.,3. En eucariotas tiene lugar en el núcleo.,4. La primera subunidad del ribosoma en unirse al ARNm es la mayor.,5. No consume energía.,2,2013
