Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
"13. Según el mecanismo de Frank-Starling, un aumento del volumen sistólico se debe a:",1. Activación del sistema simpático.,2. Activación del sistema parasimpático.,3. Aumento del volumen diastólico final.,4. Aumento de la frecuencia cardíaca.,5. Aumento de la presión arterial.,3,2011
14. Hay capilares fenestrados en:,1. Pulmón.,2. Barrera hematoencefálica.,3. Riñón.,4. Músculo.,5. Corazón.,3,2011
15. Las válvulas auriculoventriculares se cierran al comienzo de la fase de:,1. Contracción ventricular isovolumétrica.,2. Relajación ventricular isovolumétrica.,3. Diástasis.,4. Contracción auricular.,5. Eyección.,1,2011
16. Disminuye el volumen sistólico el aumento de:,1. Presión arterial.,2. Venoconstricción.,3. Contractilidad.,4. Tono simpático.,5. Retorno venoso.,1,2011
17. Un aumento de la filtración capilar aumentará:,1. La volemia.,2. El retorno venoso.,3. El gasto cardiaco.,4. La presión arterial.,5. El flujo linfático.,5,2011
18. Inicia la vía extrínseca de la coagulación:,1. Activación del factor VII por tromboplastina (factor III).,2. Activación de factores plaquetarios.,3. Agregación plaquetaria.,4. Agregación de protombina.,5. Activación del factor de coagulación XII.,1,2011
19. La presión arterial aumenta si:,1. Aumenta el gasto cardiaco.,2. Hay vasodilatación periférica.,3. Disminuye el retorno venoso.,4. Aumenta el tono vagal.,5. Disminuye la volemia.,1,2011
20. ¿Qué células gástricas secretan el factor intrínseco?:,1. Parietales.,2. G.,3. D.,4. Principales.,5. Mucosas.,1,2011
21. La llegada de los alimentos al estómago:,1. Inhibe la secreción de gastrina.,2. Estimula la secreción de colecistoquinina.,3. Inhibe la secreción de protones.,4. Relaja el píloro.,5. Estimula la secreción de pepsinógeno.,5,2011
22. En la absorción de proteínas participan:,1. Cotransportadores K+/ aminoácido.,2. Micelas mixtas.,3. Peptidasas.,4. Factor intrínseco.,5. Sales biliares.,3,2011
23. Las células gástricas tipo enterocromafín secretan:,1. Protones.,2. Gastrina.,3. Pepsinógeno.,4. Bicarbonato.,5. Histamina.,5,2011
24. Estimula la secreción pancreática de HCO 3 -:,1. Colecistoquinina.,2. Secretina.,3. Gastrina.,4. Somatostatina.,5. Péptido intestinal vasoactivo (VIP).,2,2011
25. El íleon es el principal lugar de absorción de:,1. Aminoácidos.,2. Sales biliares conjugadas.,3. Ca2+.,4. Azúcares.,5. Acido fólico.,2,2011
26. La Colecistocinina (CCK) inhibe la:,1. Contracción de la vesícula biliar.,2. Secreción de enzimas pancreáticos.,3. Secreción de bilis.,4. Motilidad y secreción gástrica.,5. Relajación del esfínter de Oddi.,4,2011
27. Las neuronas que gen eran el ritmo respiratorio están en:,1. Protuberancia.,2. Bulbo raquídeo.,3. Centro apnéustico.,4. Centro pneumotáxico.,5. Complejo pre-Bötzinger.,2,2011
28. La disminución local de la presión alveolar de oxígeno:,1. Vasodilata arteriolas pulmonares próximas.,2. Vasoconstriñe arteriolas pulmonares próximas.,3. Cierra los bronquiolos cercanos.,4. Activa los quimiorreceptores centrales.,5. Activa los quimiorreceptores arteriales.,2,2011
29. Una hipoventilación crónica provocará:,1. Acidosis respiratoria,2. Alcalosis respiratoria.,3. Acidosis metabólica.,4. Alcalosis metabólica.,5. Depresión de los quimi orreceptores periféricos.,1,2011
30. La fuerza responsable de la entrada de aire durante la inspiración la genera la:,1. Presión atmosférica.,2. Contracción muscular.,3. Relajación muscular.,4. Tensión superficial.,5. Elasticidad del pulmón.,2,2011
31. El volumen de aire que permanece en el pulmón después de una espiración normal es:,1. La capacidad residual funcional.,2. El volumen residual.,3. El espacio muerto.,4. Cero.,5. Volumen espiratorio de reserva.,1,2011
32. La orina es isoosmolar con el plasma en:,1. Túbulo proximal.,2. Rama descendente del asa de Henle.,3. Rama ascendente del asa de Henle.,4. Túbulo distal.,5. Túbulo colector.,1,2011
33. El túbulo proximal secreta:,1. Glucosa.,2. Protones.,3. Fosfatos.,4. Sodio.,5. Aminoácidos.,2,2011
"34. En el túbulo colector, la ADH causa:",1. Secreción de potasio.,2. Reabsorción de agua.,3. Secreción de urea.,4. Dilución de la orina.,5. Secreción de sodio.,2,2011
35. Si el umbral renal para la glucosa es de 300 mg/ml y la concentración  plasmática de glucosa aumenta de 100 a 200 mg/ml se producirá un aumento de:,1. La excreción renal de glucosa.,2. El transporte tubular máximo de glucosa.,3. La diuresis.,4. La reabsorción renal de glucosa.,5. El número de transportadores de glucosa.,4,2011
36. En los capilares peri tubulares está favorecida la:,1. Filtración de fluido.,2. Reabsorción de fluido.,3. Secreción de glucosa.,4. Secreción de aminoácidos.,5. Reabsorción de para-aminohipúrico.,2,2011
37. El reflejo de micción se produce por la estimulación:,1. Somática del músculo detrusor.,2. Parasimpática del esfínter uretral interno.,3. Parasimpática del músculo detrusor.,4. Simpática del esfínter uretral externo.,5. Somática del esfínter uretral externo.,3,2011
38. La TSH:,1. Estimula la liberación de TRH.,2. Estimula la captación de yoduro por la tiroides.,3. Es una hormona liposoluble.,4. Se libera al sistema porta hipotálamohipofisario.,5. Su diana son las células C tiroideas.,2,2011
39. La oxitocina induce:,1. Relajación del miometrio.,2. Formación láctea.,3. Crecimiento de glándulas mamarias.,4. Eyección láctea.,5. Liberación de prolactina.,4,2011
40. Se libera a los vasos porta hipotálamohipofisarios la:,1. Adrenocorticotropina.,2. Hormona antidiurética.,3. Somatostatina.,4. Oxitocina.,5. Tirotropina.,3,2011
41. La insulina:,1. La secretan las células delta pancreáticas.,2. Es hiperglucemiante.,3. Inhibe la glucolisis.,4. Favorece la incorporación del transportador GLUT 4 en la membrana celular.,5. Su liberación se inhibe por aminoácidos plasmáticos.,4,2011
42. Las células de Leydig:,1. Sintetizan fundamentalmente testosterona.,2. Sintetizan fundamentalmente estrógenos.,3. Son las principales células productoras de ABPs (proteínas fijadoras de andrógenos).,4. Son las principales células productoras de inhibina.,5. Presentan altos niveles de aromatasa.,1,2011
43. La aldosterona aumenta la excreción renal de:,1. Na+.,2. K+.,3. Agua.,4. H+.,5. Ca++.,2,2011
"44. Es una neurohormona, la hormona:",1. Adrenocorticotropina o ACTH.,2. Antidiurética o ADH.,3. Estimulante de los folículos o FSH.,4. Estimulante del Tiroides o TSH.,5. Luteinizante o LH.,2,2011
45. La parathormona disminuye la:,1. Resorción ósea.,2. Absorción intestinal del calcio.,3. Reabsorción renal del calcio.,4. Reabsorción renal de fosfato.,5. Síntesis de calcitriol.,4,2011
46. La cromatina es el conjunto formado por:,1. ADN y proteínas asociadas.,2. ADN y nucleosomas.,3. Cromosomas somáticos y sexuales.,4. ADN y ARN.,5. Genes y secuencias no codificadoras.,1,2011
47. La lámina nuclear cubre:,1. La membrana nuclear externa.,2. La membrana nuclear interna.,3. El espacio intermembrana.,4. Los poros nucleares.,5. El nucleolo.,2,2011
48. La envoltura nuclear se conecta físicamente a:,1. Mitocondrias.,2. Peroxisomas.,3. Retículo endoplásmico.,4. Aparato de Golgi.,5. Membrana plasmática.,3,2011
49. NUNCA viajan al complejo de Golgi las proteínas residentes en:,1. Núcleo.,2. Retículo endoplásmico.,3. Lisosomas.,4. Membrana plasmática.,5. Matriz extracelular.,1,2011
50. Los receptores de la membrana plasmática endocitados vuelven a ella vía:,1. Caveolas.,2. Endosomas.,3. Lisosomas.,4. Peroxisomas.,5. Aparato de Golgi.,2,2011
51. Tras su deterioro funcional las mitocondrias son destruidas en:,1. Proteosomas.,2. Endosomas.,3. Lisosomas.,4. Autofagosomas.,5. Peroxisomas.,4,2011
52. Las mitocondrias desempeñan un papel destacado en la:,1. Apoptosis.,2. Necrosis.,3. Fagocitosis.,4. Simbiosis.,5. Meiosis.,1,2011
53. Es una célula multinucleada:,1. Osteoclasto.,2. Fibra muscular lisa.,3. Condrocito.,4. Célula adiposa.,5. Neurona.,1,2011
54. Durante la meiosis se produce recombinación entre cromátidas:,1. Idénticas.,2. Hermanas.,3. No homólogas.,"4. Homólogas, pero no hermanas.",5. Homólogas y hermanas.,4,2011
55. Una tríada es el conjunto de:,1. Dos sarcómeras consecutivas y la línea Z intermedia.,2. Tres cisternas terminales del retículo sarcoplásmico.,3. Tres túbulos en T.,4. Dos túbulos en T y una cisterna terminal.,5. Un túbulo en T y dos cisternas terminales.,5,2011
56. Poseen microvellosidades las células:,1. Epiteliales.,2. Conjuntivas.,3. Sanguíneas.,4. Musculares.,5. Nerviosas.,1,2011
57. En las células epiteliales la composición molecular de la superficie apical difiere de la basal gracias a las:,1. Microvellosidades.,2. Uniones gap o comunicantes.,3. Desmosomas.,4. Uniones ocluyentes o estrechas.,5. Interdigitaciones.,4,2011
58. Las fibras de colágeno son un componente de:,1. El citoesqueleto.,2. El plasma sanguíneo.,3. La matriz extracelular.,4. El glicocálix.,5. La lámina nuclear.,3,2011
59. Derivan de los monocitos de la sangre:,1. Fibroblastos.,2. Células Cebadas.,3. Macrófagos.,4. Células Endoteliales.,5. Células Adiposas.,3,2011
60. Forman la vaina de mielina en el sistema nervioso periférico:,1. Astrocitos.,2. Oligodendrocitos.,3. Células microgliales.,4. Células de Schwann.,5. Células satélites.,4,2011
61. Los segmentos externos de los conos y bastones de la retina están en relación con:,1. Capa de la fibra del nervio óptico.,2. Epitelio de la capa pigmentaria.,3. Capa de células bipolares.,4. Células ganglionares.,5. Coroides.,2,2011
62. Las células mioepiteliales:,1. Derivan del mesenquima.,2. Derivan del endodermo.,3. Derivan del ectodermo.,4. Son células multinucleadas.,5. Presentan discos intercalares.,3,2011
63. El organizador nucleolar es /son:,1. Los telómeros de los cromosomas.,2. La constricción secundaria o telomérica de los cromosomas.,3. La parte “activa” del cromosoma X.,4. La constricción primaria o centrómero.,5. Cualquier zona del los cromosomas.,2,2011
64. Los límites entre los sistemas de Havers y los sistemas intersticiales se denominan:,1. Periostio.,2. Endostio.,3. Líneas cementantes.,4. Fibras de sharpey.,5. Articulaciones óseas internas.,3,2011
65. Los conductos intralobulillares de las glándulas salivares están revestidas por epitelio:,1. Cúbico simple.,2. Plano simple.,3. Plano estratificado.,4. Cilíndrico estratificado.,5. Pseudoestratificado.,1,2011
66. Tiene más desmosomas:,1. Epidermis.,2. Enterocitos.,3. Hepatocitos.,4. Oligodentrocitos.,5. Glándulas del estómago.,1,2011
67. Las proteínas de adhesión célula-matriz de los hemidesmosomas son:,1. Integrinas.,2. Cadherinas.,3. Conexinas.,4. Fibrinas.,5. Angiotensinas.,1,2011
68. Las glándulas sudoríparas son:,1. Tubulares compuestas.,2. Tubulares simples contorneadas.,3. Acinares simples.,4. Acinares compuestas.,5. Alveolares compuestas.,2,2011
69. El principal director del tráfico macromolecular de la célula es:,1. El retículo endoplasmático liso.,2. El retículo endoplasmático rugoso.,3. La mitocondria.,4. El aparato de Golgi,5. El lisosoma.,4,2011
70. El fibrocartílago o cartílago fibroso está en:,1. Tráquea.,2. Bronquios.,3. Cartílago de crecimiento de los huesos largos.,4. Discos intervertebrales.,5. Pabellón auricular.,4,2011
71. Las plaquetas se forman a partir de:,1. Megacariocitos.,2. Osteoclastos.,3. Macrófagos.,4. Monocitos.,5. Normoblastos.,1,2011
72. Las células reticulares del estroma de los órganos linfoides:,1. Son las dendríticas.,2. Tienen origen en el mesénquima.,3. Forman parte del sistema fagocítico mononuclear.,4. Pueden transformarse en linfocitos.,5. Pueden sintetizar hormonas peptídicas.,2,2011
73. Las desmogleínas son:,1. Proteínas de la matriz extracelular.,2. Glucoproteínas transmembrana de los desmosomas.,3. Proteínas de las uniones focales.,4. Filamentos intermedios de las células de la glía.,5. Enzimas lisosómicas.,2,2011
74. El tejido conjuntivo denso ordenado está en:,1. Lámina propia del digestivo.,2. Lámina propia del endometrio.,3. Tendones.,4. Estroma de la médula ósea.,5. Cordón umbilical.,3,2011
75. El surfactante alveolar está producido por:,1. Los neumocitos tipo I.,2. Las células endoteliales.,3. Los neumocitos tipo II.,4. Los macrófagos pulmonares.,5. El epitelio de los bronquios.,3,2011
"76. Típicamente, contiene ácido micólico en la pared celular:",1. Myxococcus.,2. Mycoplasma.,3. Mycobacterium.,4. Myxosarcina.,5. Mycomonospora.,3,2011
77. En la tinción Ziehl–Neelsen se utiliza:,1. Solución yodada.,2. Safranina alcohólica.,3. Verde de malaquita.,4. Violeta de genciana.,5. Fucsina básica.,5,2011
78. La fermentación ácido mixta se detecta con la prueba:,1. Rojo de metilo.,2. Desaminasa.,3. Voges- Proskauer.,4. Oxidación/Fermentación (O/F).,5. Descarboxilasa.,1,2011
79. El término endotoxina se aplica a la/el:,1. Lipoproteína.,2. Antígeno K.,3. Porina.,4. Lipopolisacárido.,5.    Antígeno H.,4,2011
80. Un procedimiento habitual para aislar Staphylococcus se basa en que es:,1. Acidófilo.,2. Halófilo.,3. Alcalófilo.,4. Halotolerante.,5. Anaerobio.,4,2011
"81. La vía Entner-Doudoroff, típica de Pseudomonas, es una vía catabólica de.",1. Azúcares.,2. Aminoácidos aromáticos.,3. Lípidos.,4. Hidrocarburos alifáticos.,5. Hidrocarburos aromáticos.,1,2011
"82. Son patógenos intracelulares facultativos, las especies del género:",1. Haemophilus.,2. Brucella.,3. Streptococcus.,4. Rickettsia.,5. Chlamydia.,2,2011
"83. Para sobrevivir en el pH ácido del estómago, Helicobacter pylori produce:",1. Proteasas.,2. Lipasas.,3. Fosfatasa alcalina.,4. Ureasa.,5. Triptofanasa.,4,2011
84. Es una bacteria gram-negativa:,1. Staphylococcus.,2. Pseudomonas.,3. Clostridium.,4. Nocardia.,5. Listeria.,2,2011
85. Son microaerófilas la s bacterias del género:,1. Salmonella.,2. Proteus.,3. Bacillus.,4. Shigella.,5. Campylobacter.,5,2011
86. La clasificación de los Streptococcus según el sistema de Lancefield se basa en el/las:,1. Tipo de hemólisis.,2. Perfil proteico.,3. Características serológicas.,4. Perfil plasmídico.,5. Características bioquímicas.,3,2011
87. Son inhibidores de la síntesis de ácidos nucleicos:,1. Sulfonamidas.,2. Quinolonas.,3. Macrólidos.,4. Fosfomicinas.,5. Cefalosporinas.,2,2011
88. El mecanismo de acción de la penicilina es:,1. Inhibir la transpeptidación del peptidoglicano.,2. Alterar la membrana celular y su permeabilidad.,3. Inhibir la DNA girasa.,4. Bloquear la síntesis proteica.,5. Inhibir la RNA polimerasa y síntesis de mRNA.,1,2011
89. Los genes responsables de la transferencia por conjugación de genes cromosómicos bacterianos están en:,1. Secuencias de inserción.,2. Plásmidos.,3. Transposones.,4. Integrones.,5. Bacteriófagos.,2,2011
90. El antígeno somático de Salmonella se denomina también antígeno:,1. K.,2. Vi.,3. O.,4. H.,5. D.,3,2011
91. El género Clostridium es:,1. Microaerófilo.,2. Aerotolerante.,3. Aerobio estricto,4. Aerobio facultativo.,5. Anaerobio estricto.,5,2011
92. Produce la toxina pertusis (exotoxina de la tosferina) una especie de:,1. Brucella.,2. Corynebacterium.,3. Bordetella.,4. Streptococcus.,5. Neisseria.,3,2011
93. La denominada peste bubónica o peste negra afecta primariamente a:,1. Aves.,2. Humanos.,3. Roedores.,4. Zorros.,5. Perros.,3,2011
94. Está implicado en el desarrollo de las caries dental:,1. Clostridium putrefaciens.,2. Staphylococcus aureus,3. Bacillus cereus.,4. Streptococcus mutans.,5. Leuconostoc mesenteroides.,4,2011
95. Bacillus anthracis es:,1. Causante de la fiebre Q.,2. Gram-negativo.,3. Aerotolerante.,4. Anaerobio.,5. Formador de endosporas.,5,2011
96. El medio de MacConkey es:,1. Selectivo.,2. Diferencial.,3. Mínimo.,4. De enriquecimiento.,5. Selectivo y diferencial.,5,2011
97. La isoniazida es sólo eficaz frente a:,1. Mycobacterium.,2. Borrelia.,3. Coxiella.,4. Francisella.,5. Brucella.,1,2011
98. Puede ser un aceptor terminal de electrones de la respiración:,1. H2S.,2. H2.,3. Pirúvico.,4. NO3 - .,5. NH4+.,4,2011
99. Los Bacteroides son:,1. Gram-negativas anaerobias.,2. Gram-positivas.,3. Gram-negativas aerobias.,4. Espiroquetas.,5. Dinoflagelados.,1,2011
100. Son bacterias patógenas intracelulares con una estricta dependencia metabólica del huésped:,1. Rickettsia.,2. Salmonella.,3. Haemophilus.,4. Bacteroides.,5. Neisseria.,1,2011
101. Las enterobacterias son:,1. Bacilos Gram-negativos anaerobios estrictos.,2. Incapaces de fermentar azúcares.,3. Ureasa positivas.,4. Citocromo oxidasa negativas.,5. Siempre inmóviles.,4,2011
102. Puede transmitirse al ser humano por la picadura de una garrapata:,1. Yersinia pestis.,2. Bacillus anthracis.,3. Borrelia burgdorferi.,4. Clostridium perfringens.,5. Bordetella pertussis.,3,2011
103. Las fiebres reumáticas y la glomerulonefritis se asocian a infecciones por:,1. Staphylococus.,2. Salmonella typhi.,3. Streptococcus pneumoniae.,4. Haemophilus influenzae,5. Streptococcus pyogenes.,5,2011
104. Causa una diarrea acuo sa similar a la producida por Vibrio Cholerae:,1. Salmonella typhimurium.,2. Escherichia coli enterotoxigénico.,3. Shigella dysenteriae.,4. Shigella flexneri.,5. Salmonella typhi.,2,2011
"105. Típicamente, la listeriosis se transmite por:",1. Las aguas fecales.,"2. Contacto con saliva, heces u orina de animales contaminados.",3. Los alimentos.,4. Picaduras de mosquitos.,5. Contacto con garrapatas infectadas.,3,2011
106. La cápside de un virus es:,"1. El conjunto de ácido nucleico, proteínas y cubierta lipídica.",2. La cubierta proteica que rodea su ácido nucleico.,3. El complejo ácido nucleico- proteínas.,4. La partícula infectiva.,5. La envoltura lipídica que contiene el ácido nucleico.,2,2011
107. La clasificación de los virus según Baltimore:,1. Se basa en la morfología de su cápside.,2. Tiene en cuenta la cubierta lipídica.,3. Considera la relación entre el material genético y el mRNA.,4. Se establece de acuerdo con el tipo de ácido nucleico que posee.,5. Atiende a si su ácido nucleico es de cadena sencilla o doble.,3,2011
108. Una retrotranscriptasa vírica es una:,1. DNA polimerasa que utiliza RNA como molde.,2. RNA polimerasa que sintetiza RNA a partir de DNA.,3. DNA polimerasa que fabrica RNA.,4. RNA polimerasa que puede emplear desoxirribonucleótidos para sintetizar RNA.,5. DNA polimerasa capaz de sintetizar tanto DNA como RNA usando DNA.,1,2011
109. El material genético del virus del sarcoma de Rous es:,1. ssRNA (-).,2. ssRNA(+).,3. ssDNA(+).,4. ssDNA(-).,5. dsDNA.,2,2011
110. Los retrovirus y los hepadnavirus se parecen en que:,1. Utilizan una transcriptasa inversa en su ciclo replicativo.,2. Su material genético está fragmentado en los virones.,3. Sus nucleocápsides tienen estructura helicoidal.,4. Sus ácido núcleicos son de doble cadena.,5. Sus virones son resistentes al éter.,1,2011
111. Se transmiten por artrópodos los:,1. Rotavirus.,2. Hantavirus.,3. Citomegalovirus.,4. Virus de la fiebre de Lassa.,5. Virus de la fiebre del valle del Rift.,5,2011
112. Las hemaglutininas de determinados virus:,1. Protegen al virus del sistema inmune al rodearlo con eritrocitos.,2. Facilitan la dispersión por artrópodos hematófagos.,3. Facilitan la unión del virión a la célula huésped.,4. Estabilizan la estructura de los viriones.,5. Interfieren con la acción del complemento.,3,2011
113. Son virus zoonóticos los:,1. Poliovirus.,2. Hantavirus.,3. Coronavirus.,4. Adenovirus.,5. Togavirus.,2,2011
114. Replican su material genético tan sólo en el núcleo celular los:,1. Hepadnavirus.,2. Picornavirus.,3. Retrovirus.,4. Papilomavirus.,5. Poxvirus.,4,2011
115. Tiene(n) RNA como material genético el (los):,1. Virus de la viruela.,2. Virus del herpes simple.,3. Virus del papiloma.,4. Citomegalovirus.,5. Virus del sarampión.,5,2011
116. El desarrollo del sarcoma de Kaposi está asociado con:,1. Adenovirus y el VIH.,2. El virus Epstein- Barr y el VIH.,3. El herpesvirus humano 8 y el VIH.,4. Togavirus y el VIH.,5. Citomegalovirus y el VIH.,3,2011
117. Penetra en la célula hospedadora mediante fusión del virión con la membrana celular el virus:,1. Rotavirus.,2. De la hepatitis E.,3. De la hepatitis A.,4. De las paperas.,5. Del resfriado común.,4,2011
118. Para llevar a cabo su ciclo reproductivo el virus de la hepatitis D necesita utilizar del de la hepatitis B la:,1. Proteína de la cápsida.,2. Proteína de la cápsida y la RNA polimerasa.,3. Proteína de la cápsida y la DNA polimerasa.,4. RNA polimerasa.,5. DNA polimeras.,1,2011
119. Presentan cápside con simetría helicoidal los virus de la familia:,1. Picornaviridae.,2. Reoviridae.,3. Paramyxoviridae.,4. Parvoviridae.,5. Papillomaviridae.,3,2011
120. La penetración del virus VIH en su célula hospedadora tiene lugar por:,1. Fagocitocis.,2. Fusión de membranas.,3. Pinocitosis.,4. Endocitosis.,5. Transporte activo.,2,2011
121. Una citocina clave para la maduración y desarrollo de los linfocitos B en la médula ósea es la:,1. IL-7.,2. IL-2.,3. IL-12.,4. IL-6.,5. IL-5.,1,2011
122. Regula la expresión de las moléculas del MHC la citocina:,1. IL-7.,2. IFN-γ (IFN-gamma).,3. IL-10.,4. IL-5.,5. TGF-β (TGF-beta).,2,2011
123. Los leucotrienos son mediadores inflamatorios que:,1. Están preformados en los basófilos.,2. Están preformados en los neutrófilos.,3. Actúan como opsoninas.,4. Son sintetizadas de novo.,5. Causan vasoconstricción.,0,2011
124. Sobre las células Th1 es correcto afirmar que:,1. Producen elevadas cantidades de TGF-β.,2. Producen IFN-gamma que bloquea la respuesta Th2 inhibiendo su proliferación.,3. Se inducen en presencia de IL-23 producida por las células dendríticas.,4. El factor de transcripción de linaje es GATA3.,"5. Expresan CD3, CD8, CD28, LFA-3.",2,2011
125. Está implicado en la diferenciación hacia células Th17 el factor de transcripción:,1. RORγT.,2. T-Bet.,3. GATA-3.,4. FoxP3.,5. Bcl-6.,1,2011
"126. Sobre CD40, es correcto afirmar que:",1. Constituye la segunda señal para la activación de los linfocitos T.,2. Intervienen en la proliferación de las células B.,3. Se induce en las células T tras su activación.,4. Interviene en la maduración de afinidad.,5. En su ausencia se produce un aumento de IgG sérica.,0,2011
127. Durante la selección posi tiva en el timo se seleccionan los timocitos:,1. Doble negativos que reconocen MHC propio.,2. Cuyo TCR ha sido reordenado y se expresa correctamente.,3. αβ y γδ que reconocen los complejos MHCpéptido con alta afinidad.,4. Doble positivos que interaccionan con MHC propio.,5. TCR+CD3-CD4+CD8+ restringidos por MHC autólogo.,4,2011
128. Los eosinófilos exp resan receptores de baja afinidad para:,1. IgM.,2. C3a.,3. C4a.,4. Histamina.,5. IgE.,5,2011
129. La fase inicial de rodamiento de los neutrófilos sobre los endotelios está mediada por:,1. Integrinas leucocitarias.,2. Selectinas.,3. Moléculas ICAM.,4. CD34.,5. Eotaxinas.,2,2011
130. Las moléculas HLA de clase I:,1. Son reconocidas por CD4.,2. Son reconocidas por linfocitos T γδ.,3. Están formadas por dos cadenas polipeptídicas muy polimórficas.,4. Presentan péptidos prefentemente de origen endógeno.,5. Asocian la llamada cadena invariante.,4,2011
131. La IgD de superficie de un linfocito B:,1. Indica que es incapaz de reconocimiento antigénico.,2. Se pierde después de la estimulación antigénica.,3. Es un marcador de activación.,4. Es un marcador de un linfocito B que aún no ha abandonado la médula ósea.,5. Se adquiere tras reconocimiento antigénico.,2,2011
"132. En el sistema del complemento, la opsonización y la eliminación de inmunocomplejos es atribuible a:",1. C3a y C5a.,"2. C5b, C6, C7, C8 y C9.",3. C3 convertasa.,4. C3b.,5. Bb.,4,2011
"133. En una molécula de anticuerpo, el lugar de unión al complemento sérico reside en:",1. Los dominios CL.,2. Los dominios VH.,3. La región bisagra.,4. Los dominios CH2.,5. El extremo carboxilo.,4,2011
134. Los idiotipos de inmunoglobulinas son variantes antigénicas que se localizan en:,1. Regiones constantes de cadenas pesadas.,2. Regiones constantes de cadenas ligeras.,3. Dominios Fc.,4. Los lugares de unión al antígeno.,5. Las regiones bisagra de los anticuerpos.,4,2011
135. La hipermutación somática de genes de inmunoglobulinas se centra en:,1. Las regiones FR.,2. Las CDRs.,3. Los dominios CH1.,4. Los dominios CL.,5. Los dominios CH3.,2,2011
"136. Durante la maduración de los linfocitos B, el primer tipo de cadena de inmunoglobulina que se expresa es la:",1. Pseudoligera.,2. Ligera kappa.,3. Ligera lambda.,4. Delta.,5. Pesada mu.,5,2011
137. El  receptor antigénico de los linfocitos T maduros:,1. Experimenta cambio de clase.,2. Experimenta hipermutación somática.,3.  Aparece en formas secretadas solubles.,4.  Posee CDRs.,5. Reconoce antígenos libres en solución.,4,2011
138. Las células dendríticas maduras:,1. Poseen una elevada actividad de pinocitosis.,2. Son preferentemente sedentarias.,3. Expresan niveles elevados de CD28.,4. Presentan una secreción mínima de citocinas.,5. Expresan niveles elevados de moléculas coestimuladoras de linfocitos T.,5,2011
139. La base de la patogenia de la anafilaxia es la activación de:,1. Células endoteliales.,2. Macrófagos tisulares.,3. Mastocitos y basófilos.,4. Linfocitos TH1.,5. Eosinófilos.,3,2011
140. Las reacciones de hipersensibilidad de tipo retardado están medidas por:,1. IgE.,2. Linfocitos TH2.,3. Mastocitos.,4. Linfocitos TH1.,5. Eosinófilos.,4,2011
141. La eritroblastosis fetal o enfermedad hemolítica del neonato es:,1. Una enfermedad autoinmune sistémica.,2. Un ejemplo de inmunodeficiencia primaria congénita.,3. Producida cuando la madre es Rh + y el feto Rh-.,4. Una reacción por transfusión de eritrocitos de un individuo A+ a uno AB+.,5. Causada por una reacción de hipersensibilidad dependiente de anticuerpos.,5,2011
142. En la Miastenia Gravis se forman autoanticuerpos contra:,1. El receptor de la hormona estimulante del tiroides.,2. GAD (decarboxilasa de ácido glutámico).,3. Ácidos nucleicos e histonas.,4. El receptor de la acetilcolina.,5. Plaquetas.,4,2011
