Año,Num Q,RC,Enunciado
2022,15,4, 15. ¿Qué parte de la estructura de la eritromicina  es responsable de su ine stabilidad química?:    1=> El fragmento de β-hidroxicarbonilo.  2=> El resto de aminoazúcar.  3=> El grupo lactona.  4=> Los dos fragmentos de γ-hidroxicarbonilo.   
2022,16,1,"16. Las oripavinas son análogos rígidos de la mor- fina. Se obtienen a partir del alcaloide tebaína,  aprovechando la presencia en su estructura de  un sistema de dos dobles enlaces conjugados,  por medio de la sig uiente reacción:     1=> Cicloadición [4+2].  2=> Expansión de anillo.  3=> Cicloadición [3+2].  4=> Contracción de anillo.   "
2022,17,3,"17. En el diseño de fármacos, la sustitución de una  función éster por un grupo carbamato, ¿qué  consecuencia tiene?:   1=> Un aumento de la lipofilia y, por tanto, mejor  absorción.  2=> Una disminución de la vida media.  3=> Un aumento de la estabilidad metabólica.  4=> Un incremento del impedimento estérico.   "
2022,18,3,18. ¿Qué característica estructural es común en los  agentes intercalantes del ADN?:    1=> Una cadena peptídica.  2=> Un anillo de aziridina.  3=> Un sistema plano de anillos aromáticos o  heteroaromáticos.  4=> Un fragmento de β- hidroxicarbonilo.   
2022,19,1,19. ¿Cuál es la respuesta correcta respecto al mi- croorganismo Hafnia alvei ?:    1=> Es una enterobacteria.  2=> Es un bacilo gramnegativo no fermentador.  3=> Es una espiroqueta.  4=> Es una bacteria intracelular. 
2022,20,4,20. ¿Cuál es la respuesta INCORRECTA respecto  al virus de la parotiditis?:   1=> Pertenece a la familia Paramyxoviridae.   2=> El único hospedador es el ser humano.  3=> Puede producir epidídimo-orquitis.  4=> Es un virus ARN monocatenario con simetría  icosaédrica.                              
2022,21,2, 21=> ¿Cuál de las siguientes respuestas es correcta  respecto al virus SARS-CoV-2?:   1=> Es un virus ARN bicatenario de simetría heli- coidal.  2=> Reconoce el receptor humano ACE2 (enzima  convertidora de angiotensina 2).  3=> El gen estructural S es idéntico al del virus  SARS-CoV-1=>  4=> Pertenece a la familia Orthomyxoviridae .   
2022,22,2,22=> ¿Por qué es difícil el aislamiento microbiológico  de Francisella tularensis ?:    1=> Solo crece en anaerobiosis tras una incuba- ción prolongada.  2=> Necesita medios de cultivo enriquecidos con  cisteína y una incubación prolongada .  3=> Necesita medios de cultivo enriquecidos con  carbón vegetal y una incubación prolongada.  4=> Necesita sistemas de cultivo celulares y una  incubación p rolongada.   
2022,23,4,23=> ¿Cuál de las siguientes afirmaciones es INCO- RRECTA respecto al género Bartonella ?:    1=> Son pequeños cocobacilos o bacilos gram- negativos con requerimientos de crecimiento exigentes.  2=> Bartonella bacilliformis  es responsable de la  enfermedad de Carrión.  3=> Bartonella quintana  se transmite de persona a  persona a través de los piojos.  4=> Bartonella henselae  s e  t r a n s m i t e  a  t r a v é s  d e   las moscas de la arena.   
2022,24,4,24=> Señale cuál de las siguientes afirmaciones sobre  Campylobacter jejuni  es INCORRECTA:    1=> Es un bacilo gramnegativo curvo.  2=> Gran parte de las infecciones que produce  están relacionadas con el consumo de pollo.  3=> Para su aislamiento a partir de heces se re- quiere la incubación con atmósfera de micro- aerofilia.  4=> Es resistente a los macrólidos.    
2022,25,1,25. ¿Cuál de los siguientes microorganismos es  grampositivo?:    1=> Listeria monocytogenes.  2=>  Bordetella pertussis.   3=> Francisella tularensis.  4=> Helicobacter pylori.                               
2022,26,3, 26. Señale la respuesta correcta sobre el género  Mycobacterium :    1=> Mycobacterium chelonae  es una micobacteria  de crecimiento lento.  2=> Mycobacterium kansasii  es una micobacteria  no cromógena.  3=> Mycobacterium tuberculosis  da positiva la  prueba de niacina.  4=> Mycobacterium bovis  es sensible a pirazi- namida.   
2022,27,2,27. Las micosis sistémica s endémicas son aquellas  causadas por:    1=> Dermatofitos.  2=> Hongos dimórficos.  3=> Mucorales.  4=> Hongos hialinos.   
2022,28,1,28. Señale cuál de los siguientes microorganismos  presenta resistencia int rínseca de bajo nivel a  vancomicina:    1=> Enterococcus casseliflavus.  2=> Abiotrophia defectiva.  3=> Streptococcus gallolyticus.  4=> Gemella haemolysans.   
2022,29,3,"29. En el cultivo de un aspirado bronquial, tras 24  horas de incubación a 37 ºC, se observa creci- miento en agar MacConkey. Las colonias son  oxidasa positiva y presentan pigmento verde. ¿Cuál sería la identificación presuntiva?:    1=> Staphylococcus aureus .  2=> Escherichia coli .  3=> Pseudomonas aeruginosa .  4=>  Acinetobacter baumannii .   "
2022,30,2,30. ¿Qué microorganismo es el principal agente  causal de infección de tracto urinario en pobla-ción general?:    1=> Staphylococcus saprophyticus .  2=> Escherichia coli .  3=> Pseudomonas aeruginosa .  4=> Proteus mirabilis .   
2022,31,3,31=> ¿Cuál de los siguientes fármacos NO se utiliza  en el tratamiento de la tuberculosis?:    1=> Amikacina.  2=> Bedaquilina.  3=> Vancomicina.  4=> Isoniazida.                       
2022,32,1, 32=> Señale la relación INCORRECTA entre anti- biótico y mecanismo de acción:   1=> Ciprofloxacino – inhibición de la síntesis de  la pared bacteriana.  2=> Colistina – acción sobre el lipopolisacárido de  la membrana bacteriana.  3=> Vancomicina – bloqueo de la transglucosila- ción en la síntesis d el peptidoglicano.  4=> Gentamicina – alteración de la síntesis protei- ca.   
2022,33,4,33=> ¿Cuál de los siguientes antibióticos NO es activo  frente a bacterias grampositivas?:    1=> Daptomicina.  2=> Linezolid.  3=> Dalbavancina.  4=> Colistina.   
2022,34,3,34=> En la tinción de Gram de un exudado uretral se  observan diplococos gramnegativos intracelula-res y un predominio de leucocitos polimorfonu- cleares. ¿Qué microorganismo cuenta con un  alto grado de sospecha?:    1=> Mycoplasma genitalium .  2=> Chlamydia trachomatis .  3=> Neisseria gonorrhoeae .  4=> Haemophilus ducreyi .   
2022,35,1,35. ¿Cuál de los siguientes antibióticos sería ade- cuado para tratar una infección causada por Klebsiella pneumoniae  productora de β- lactamasa de espectro  extendido (BLEE)?:    1=> Ertapenem.  2=> Amoxicilina.  3=> Cefotaxima.  4=> Aztreonam.   
2022,36,4,36. ¿Cuál de las siguientes NO es una forma de  tularemia?:    1=> Enfermedad pulmonar.  2=> Enfermedad ulceroglandular.  3=> Enfermedad oculoganglionar.  4=> Enfermedad de Brill-Zinsser.   
2022,37,1,37. ¿Cuál de los siguientes microorganismos es un  patógeno humano estricto?:    1=> Shigella dysenteriae.  2=> Yersinia pestis .  3=> Campylobacter jejuni .  4=> Francisella tularensis .   
2022,38,1,38. ¿Qué parásito se distribuye mayoritariamente  en Estados Unidos?:   1=> Babesia microti .  2=> Clonorchis sinensis.   3=> Diphyllobothrium latum .  4=>  Acanthotrema felis
2022,39,4," 39. ¿Qué afirmación es cierta en relación al ciclo  biológico de Trichuris trichura ?:    1=> Los huevos embrionados se excretan en las  heces.   2=> Después de la ingesta, los huevos eclosionan  en el intestino grueso.  3=> Las larvas maduran en adultos y se establecen  en el intestino delgado.  4=> Los gusanos adultos viven en el ciego.    "
2022,40,2,"40. Una niña de 5 años natural de Ecuador presen- ta epigastralgias, falta de apetito, y déficit de desarrollo corporal. En el examen parasitológi- co de las heces se observa la presencia de un  huevo ovalado de 45 x 38 µm, que contiene un embrión hexacanto y 4 filamentos polares entre  las dos membranas. ¿A qué parásito correspon- de la descripción?:   1=> Taenia saginata.  2=> Hymenolepis nana .  3=> Hymenolepis diminuta .  4=> Dipylidium caninum .   "
2022,41,1,"41=> El planteamiento matemático de Arrhenius  d e n t r o  d e l  c a m p o  d e l  d e s a r r o l l o  f a r m a c é u t i c o   sirve para estimar:   1=> La velocidad de degradación de un fármaco a  diferentes temperaturas a partir de la tempera- tura cinética media.  2=> La solubilidad real de un fármaco a partir de  su solubilidad ideal, según los valores de en- talpía de disolución.  3=> La velocidad de disolución de un fármaco a  diferentes temperaturas, según los valores de  entalpía de fusión.  4=> La solubilidad de un fármaco a diferentes  temperaturas según los valores de entalpía de  fusión.   "
2022,42,2,"42=> ¿Para qué sirve el test de activación de monoci- tos (MAT)?:    1=> Detección y cuantificación de bacterias gram- negativas en preparados de administración pa- renteral.  2=> Detección, in vitro , de pirógenos en prepara- dos de administración parenteral.   3=> Detección, in vivo , de pirógenos en prepara- dos de administración parenteral.   4=> Detección de monocitos en preparados de  administración parenteral.                              "
2022,43,4," 43=> ¿Mediante qué procedimientos se puede obte- ner agua para preparaciones inyectables de acuerdo con la normativa europea?:    1=> Solamente puede obtenerse mediante destila- ción a partir de agua purificada, apta para ela- boración de medicamentos.  2=> Solamente puede obtenerse mediante retro- ósmosis con electro-desionización, a partir de  agua purificada, apta para elaboración de me- dicamentos.  3=> Puede obtenerse mediante esterilización por  calor a partir de agua potable, apta para con-sumo humano, y posterior envasado estéril.  4=> Puede obtenerse mediante destilación o me- diante un proceso equivalente como la retro-ósmosis con electro-desionización.   "
2022,44,1,44=> ¿Cuál de los siguientes parámetros expresa la  fluidez de un material pulverulento según la  relación entre las densidades apelmazada y  aparente?:   1=> El índice de Hausner.  2=> El parámetro de dens ificación de Ostwald.  3=> El índice de densificación de Heckel.  4=> El índice de porosidad.   
2022,45,4,"45. ¿Qué finalidad tienen los sistemas de vectoriza- ción activa de fármacos?:    1=> Modular la velocidad de liberación del fárma- co basándose en el cambio de pH o entorno enzimático, como por ejemplo un comprimi- do con recubrimiento entérico.  2=> Dirigir la liberación del fármaco en un lugar  determinado basándose en técnicas que in- crementan el tiempo de residencia de la for- mulación mediante procedimientos de estabi-lización como la pegilación.  3=> Dirigir la liberación del fármaco en un órgano  determinado basándose en técnicas de micro o nano encapsulación.  4=> Dirigir la liberación del fármaco en un lugar  determinado basándose en la unión a ligandos específicos.   "
2022,46,2,"46. ¿Deben ser estériles las preparaciones líquidas  para inhalación no presurizadas?:    1=> Solamente en aquellas destinadas a uso qui- rúrgico o heridas abiertas.  2=> Solo en preparaciones presentadas en disposi- tivos unidosis, los cuales están exentos de  conservantes, o en multidosis que no conten- gan conservante.  3=> No es necesario en ningún caso, ya que estos  preparados deben incluir conservantes en su  composición salvo que posean propiedades antimicrobianas propias.  4=> Sí. Es un requisito indispensable de farmaco- pea para este tipo de formulaciones, salvo que la formulación presente  propiedades antimi- crobianas"
2022,47,1,  47. El mecanismo de pulverización por roce o fric- ción da lugar a partículas con una forma más próxima a la siguiente:    1=> Esférica.   2=> Acicular.  3=> Elipsoide.  4=> Dentrítica.   
2022,48,4,48. La presión de pulso es una medida de:    1=> La suma de las presiones diastólica y sistóli- ca.   2=> El número de latidos cardiacos por minuto.  3=> La diferencia entre las presiones arterial y  venosa.   4=> La diferencia entre las presiones sistólica y  diastólica. 
2022,49,2,"49. Los factores que det erminan la presión de un  gas disuelto en un líquido, como, por ejemplo, el  aire alveolar y la sangre, se relacionan mediante una de las siguientes leyes:    1=> Ley de Ohm.   2=> Ley de Henry.   3=> Ley de Fick.   4=> Ley de Laplace.   "
2022,50,2,"50. Según la clasificación de sensibilidad de las  fibras nerviosas, las del grupo Ib son:    1=> Fibras procedentes de las terminaciones anu- loespirales de los husos musculares.  2=> Fibras procedentes de los órganos tendinosos  de Golgi.  3=> Fibras procedentes de los órganos táctiles de  la piel y de las terminaciones en ramillete.  4=> Fibras que conducen la temperatura, el tacto  grueso y las sensaciones  de dolor y escozor.   "
2022,51,1,"51=> ¿Cómo se denomina la hendidura o depresión  del riñón a través del cual pasan la arteria y  venas renales, los vasos linfáticos, la inervación  y el uréter?:   1=> Hilio renal.   2=> Pirámide renal.   3=> Pelvis renal.  4=> Columna renal.   "
2022,52,2,"52=> Los receptores de estiramiento del arco aórtico  y del seno carotídeo:   1=> Sirven como barorreceptores que estimulan la  secreción de péptido na triurético auricular.  2=> Sirven como barorreceptores que afectan la  actividad del centro de control vasomotor y  cardiaco del bulbo raquídeo.  3=> Sirven como osmorreceptores que estimulan  la liberación de ADH.  4=> Sirven como barorreceptores que estimulan la  secreción de renina, aumentando la formación   "
2022,53,1," 53=> ¿Cuál de los siguientes fenómenos está asociado  a un desplazamiento hacia la derecha de la curva de disociación de oxígeno-hemoglobina?:    1=> Disminución del pH.  2=> Disminución de 2,3-difosfoglicerato.  3=> Disminución de CO 2  4=> Disminución de la temperatura.   "
2022,54,3,54=> ¿En cuál de las siguientes células se produce la  secreción de gastrina?:    1=> Células S del duodeno.  2=> Células I del duodeno y del yeyuno.  3=> Células G del antro.  4=> Células K del duodeno y del yeyuno.   
2022,55,4,55. ¿Cuál de las siguientes sustancias produce un  aumento de la filtra ción glomerular?:    1=> Noradrenalina.  2=> Adrenalina.  3=> Endotelina.  4=> Prostaglandina E2=>   
2022,56,1,56 .  E l  e p i te l i o q u e  s e  ob s e r v a e n  e l  e s óf a g o d e  B a- rret es:    1=> Columnar simple.  2=> Escamoso estratificado.  3=> Columnar estratificado.  4=> Escamoso simple.   
2022,57,2,57. El conducto toráci co drena la linfa en:    1=> La vena yuxtaglome rular derecha.  2=> La vena subclavia izquierda.  3=> La arteria subaracnoidea.  4=> La arteria linfática prefrontal.   
2022,58,1,58. Los órganos accesorio s de reproducción mascu- linos derivan de:   1=> Los conductos wolffianos (mesofrénicos).  2=> Los conductos mullerianos (paramesofréni- cos).  3=> Los conductos seminíferos (paramesentéri- cos).  4=> Los conductos antimullerianos (paramesofré- nicos).   
2022,59,2,59. La síntesis y liberaci ón de aldosterona ocurren:    1=> En la zona glomerular suprarrenal y están  reguladas por la angiotensina I.  2=> En la zona glomerular suprarrenal y están  reguladas por la angiotensina II.  3=> En la zona fasciculada suprarrenal y están  reguladas por la angiotensina II.  4=> En la zona fasciculada suprarrenal y están  reguladas por la angiotensina I.        
2022,60,2," 60. ¿Cuál es el orden correcto de maduración de la  línea mieloide?:   1=> Promielocito, metamielocito, mielocito, caya- do.  2=> Promielocito, mielocito, metamielocito, caya- do.  3=> Mielocito, promielocito, metamielocito, ca- yado.  4=> Metamielocito, promielocito, mielocito, ca- yado.   "
2022,61,3,"61=> ¿Qué entidad hematológica cursa con una cifra  elevada de hematíes, hemoglobina en rango  normal o muy próximo a este, y un volumen  corpuscular medio  (VCM) bajo?:    1=> Drepanocitosis.   2=> Policitemia vera.  3=> Talasemia menor.  4=> Anemia ferropénica. "
2022,62,3,62=> La presencia en sangre periférica de una cifra  anormalmente elevada de linfocitos pequeños  con cromatina en “caparazón de tortuga” o “grumelée ” es típica de la siguiente neoplasia  linfoide:    1=> Linfoma-leucemia de Burkitt.  2=> Linfoma del manto.  3=> Leucemia linfática crónica.  4=> Leucemia prolinfocítica B.   
2022,63,4,"63=> Los hematíes que presentan formas irregulares,  con espículas alargadas repartidas de forma  asimétrica por la superficie, y que aparecen en pacientes con hepatopatí a grave se denominan:     1=> Equinocitos.  2=> Drepanocitos.  3=> Esquistocitos.  4=> Acantocitos.                                                                        "
2022,64,2," 64=> Señale la respuesta correcta respecto al impacto  de las interferencias preanalíticas en los resul-tados de las pruebas de coagulación:    1=> Cuando existe hemoglobina libre después de  la centrifugación se altera la línea de base de- tectada por el analizador, debido a la dismi- nución de absorbancia de la misma a las lon-gitudes de onda usadas en los métodos coagu- lométricos.  2=> La liberación de moléculas citoplasmáticas y  de moléculas de membrana pueden activar la  coagulación y las plaquetas, generando un sesgo en los resultados del análisis por activa- ción temprana de la coagulación o por con- sumo de factores  de coagulación.  3=> La hemólisis de la muestra raramente se debe  a problemas en la to ma de muestras.   4=> Aunque la interferencia por hiperbilirrubi- nemia se debe a un solapamiento espectral, en  el caso de la hipertrigliceridemia la turbidez  de la muestra no afecta a la dispersión de la luz.   "
2022,65,3,65. Señale la afirmación cierta para la tricoleuce- mia o leucemia de células peludas clásica:    1=> Es una neoplasia de linfocitos T.  2=> Es frecuente en niños.  3=> Cursa con monocitopenia .  4=> Las células presentan un citoplasma altamente  basófilo.   
2022,66,1,66. ¿En cuál de las siguientes entidades hematológi- cas encontraremos ma crotrombocitos?:    1=> Trombocitopenia asociada al gen MYH9.  2=> Anemia megaloblástica.  3=> Anemia aplásica.  4=> Leucemia linfoide crónica.   
2022,67,1,"67. Un bloqueo cardiaco de primer grado se carac- teriza porque:    1=> El intervalo PR del electrocardiograma está  alargado.  2=> Resulta esencial tratarlo con verapamilo, el  antiarrítmico de elección en estos casos.  3=> La onda T del electrocardiograma está inver- tida.  4=> La onda P del electrocardiograma solamente  en ocasiones va seguida de un complejo  QRS.                                   "
2022,68,4," 68. Señale la afirmación correcta en relación con la  degeneración macular asociada a la edad (DMAE) de tipo exudativo o húmeda:     1=> La única alternativa disponible para tratarla es  el uso de vitaminas C, E y zinc para retrasar  su aparición.  2=> Se inicia por acumulación de depósitos extra- celulares denominados drusas.  3=> Es una enfermedad típica de personas jóve- nes, entre 20 y 30 años.  4=> Los factores de crecimiento vascular endote- lial (VEGF) tienen un papel central en su desarrollo.   "
2022,69,1,"69. ¿Cuál de las siguientes afirmaciones es correcta  en relación a los diferen tes tipos de shock?:     1=> En un shock séptico refractario, emplear va- sopresina por su acción agonista del receptor  V1 podría resultar una opción adecuada.  2=> Tras una hemorragia masiva, lo más probable  es encontrarnos ante un shock distributivo.  3=> La noradrenalina se utiliza frecuentemente en  los estados de shock para aumentar la fre-cuencia cardíaca.  4=> En un shock cardiogénico no hay manifesta- ciones de isquemia tisular, como es el aumen-to de lactato en sangre, a diferencia del resto  de subtipos.   "
2022,70,3,"70. AG es una mujer de 82 años, con antecedentes  de hipertensión arterial mal controlada a pesar de recibir tratamiento con ramipril 5 mg cada  24 horas, diabetes mellitus tipo 2 insulinode- pendiente en seguimiento por endocrinología, y reciente diagnóstico de fibrilación auricular  apenas sintomática. ¿Qué actitud sería la más  adecuada ante e ste diagnóstico reciente?:    1=> Realizar un control de ritmo con fármacos  que ralenticen el paso del impulso cardiaco de las aurículas a los ventrículos y un control de  la frecuencia con fármacos que intenten re- vertir el ritmo a un ritmo sinusal.  2=> Dada la edad de la paciente, la actitud más  recomendada sería una estrategia conservado- ra donde no se usen fármacos, priorizando el control del estrés y la modificación del estilo  de vida, para mejorar los factores desencade- nantes de la fibrilación auricular.  3=> La paciente aparentemente cumple criterios  para iniciar tratamiento anticoagulante como una de las primeras actitudes a tomar.  4=> Es esencial observar el tamaño de las ondas P  del electrocardiograma antes de decidir qué hacer.                    "
2022,71,4," 71=> Acerca del accidente isquémico transitorio  (AIT) es cierto que:   1=> Se trata de una lesión isquémica de menos de  24 horas de evolución, detectada radiológi-camente (en TC o RMN), sin manifestaciones  clínicas, por lo que suele pasar inadvertida  para los pacientes.  2=> Cuando se diagnostica, es necesario comenzar  una triple terapia antiagregante plaquetaria,  ya que esta ha demostrado reducir el riesgo de  desarrollo posterior de ictus.  3=> El factor de riesgo más influyente para desa- rrollarlo es presentar valores de LDL por en- cima de los valores de referencia de forma  sostenida.  4=> Puede aparecer amaurosis  fugax , que consiste  en la pérdida trans itoria de la visión.   "
2022,72,2,72=> ¿Cuál de los siguientes trastornos tiene un ori- gen hereditario autosómico dominante?:    1=> Distrofia muscular de Duchenne.  2=> Hipertermia maligna.  3=> Miastenia gravis.  4=> Botulismo.   
2022,73,3,"73=> Con respecto a la forma ción de cálculos renales:   1=> El 80% de los cálculos encontrados están  compuestos por ácido úrico.  2=> Habitualmente la aparición de cálculos de  oxalato cálcico se acompaña de niveles altos de citrato en orina.  3=> Los cálculos de fosfato amónico y magnésico  son típicos de personas con orina alcalina de-bido a ciertas infecciones del tracto urinario.  4=> Previo al inicio del tratamiento de una leuce- mia, es importante acidificar la orina para prevenir la formación de cálculos de ácido  úrico.   "
2022,74,3,74=> La fibrosis pulmonar idiopática:    1=> Es una enfermedad pulmonar obstructiva.  2=> Se diagnostica en la mayoría de los pacientes  en la infancia.  3=> En la actualidad carece de un tratamiento  farmacológico curativo.  4=> Puede manifestarse como consecuencia de la  utilización de fármacos an tagonistas de PD-1=>                                          
2022,75,3," 75. En cuanto a las enfer medades relacionadas con  la mielina, indique e l enunciado correcto:    1=> Los anticuerpos anti-acuaporina 4 (AQP4)  son patognomónicos de la esclerosis múltiple.  2=> Una hiponatremia debe corregirse rápidamen- te, ya que subidas menores a 8 mmoles/L de  sodio diarios pueden conducir a un síndrome de desmielinización osmótica.  3=> El bloqueo de la vía del complemento o de la  señalización de la interleucina 6 son estrate- gias útiles para tratar la  neuromielitis óptica.  4=> Actualmente existen disponibles más fárma- cos para tratar las formas de esclerosis múlti- ple progresiva primaria que las formas remi- tentes-recurrentes.   "
2022,76,2,"76. ¿Cuál de las siguientes interleucinas (IL) se  asocia con la patogenia del asma y, por tanto, es una diana terapéutica e n su tratamiento?:    1=> IL-1=>  2=> IL-5.  3=> IL-6.  4=> IL-17.   "
2022,77,2,"77. BT es una paciente mayor que presenta diabe- tes mellitus tipo 2 en tratamiento con metfor-mina y dapagliflozina, pero no es muy adheren- te. ¿Cuál de las siguientes complicaciones NO  esperaríamos encontrar en ella?:    1=> Otitis externa maligna que curse con otalgia y  otorrea.  2=> Estado de hiperosmolaridad plasmática, aci- dosis metabólica y elevación de cuerpos cetó-nicos.  3=> Polineuropatía distal simétrica.  4=> Edema macular con reducción de la agudeza  visual.   "
2022,78,3,"78. Acerca de las hemorragias digestivas, señale la  afirmación correcta:    1=> Es esperable un descenso de la frecuencia  cardiaca, una disminución de la presión arte- rial, y un descenso de la hemoglobina.  2=> La hematemesis es típica de hemorragias  digestivas de tubo alto y las melenas de las  hemorragias de tubo digestivo bajo.  3=> La hematoquecia puede tener lugar tanto en  hemorragias de tubo digestivo alto como en  hemorragias de tubo digestivo bajo, si bien es más frecuente en las segundas.  4=> La elevación de nitrógeno ureico en sangre es  característica de hemorragias de colon debido a la absorción de las proteínas plasmáticas  procedentes del sangrado.                   "
2022,79,4," 79. MS es una mujer de 28 años que acude a con- sulta con múltiples úlcer as en la boca, fatiga  importante, eritema facial, y dolor articular. Se  sospecha entonces de un Lupus Eritematoso  Sistémico (LES). ¿Cuál de los siguientes enfo-ques es correcto?:    1=> Si en una analítica los anticuerpos antipéptido  citrulinado salieran positivos, la sospecha de  LES se afianzaría.  2=> El uso de anticuerpos anti-interleucina 2 en  estos pacientes mejora  la sintomatología.  3=> El síndrome de Behçet es una forma específi- ca de LES con afectación fundamentalmente  renal.  4=> Una característica esperable en esta paciente  sería la detección de niveles bajos de factores  del complemento.   "
